#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.731000e+00      1.731000e+00      0.000000e+00
           2      1.745365e+00      1.738183e+00      5.078616e-03
           3      1.760771e+00      1.745712e+00      7.018363e-03
           4      1.772489e+00      1.752406e+00      7.830482e-03
           5      1.798243e+00      1.761574e+00      1.031869e-02
           6      1.772175e+00      1.763341e+00      8.748877e-03
           7      1.845798e+00      1.775120e+00      1.323533e-02
           8      1.849153e+00      1.784374e+00      1.445860e-02
           9      1.805725e+00      1.786747e+00      1.304526e-02
          10      1.796624e+00      1.787734e+00      1.177807e-02
          11      1.822618e+00      1.790906e+00      1.112608e-02
          12      1.788938e+00      1.790742e+00      1.020012e-02
          13      1.738529e+00      1.786725e+00      1.017556e-02
          14      1.799321e+00      1.787625e+00      9.488423e-03
          15      1.824162e+00      1.790061e+00      9.163180e-03
          16      1.781345e+00      1.789516e+00      8.606658e-03
          17      1.844480e+00      1.792749e+00      8.686467e-03
          18      1.817868e+00      1.794145e+00      8.315224e-03
          19      1.791106e+00      1.793985e+00      7.879119e-03
          20      1.864612e+00      1.797516e+00      8.238612e-03
          21      1.767253e+00      1.796075e+00      7.971342e-03
          22      1.786890e+00      1.795658e+00      7.619934e-03
          23      1.750723e+00      1.793704e+00      7.534924e-03
          24      1.787766e+00      1.793456e+00      7.225030e-03
          25      1.795993e+00      1.793558e+00      6.936741e-03
          26      1.782098e+00      1.793117e+00      6.683931e-03
          27      1.850538e+00      1.795244e+00      6.766266e-03
          28      1.837138e+00      1.796740e+00      6.687994e-03
          29      1.799055e+00      1.796820e+00      6.457850e-03
          30      1.820934e+00      1.797624e+00      6.292415e-03
          31      1.751940e+00      1.796150e+00      6.259619e-03
          32      1.792097e+00      1.796023e+00      6.065287e-03
          33      1.784794e+00      1.795683e+00      5.891028e-03
          34      1.771220e+00      1.794964e+00      5.761535e-03
          35      1.800414e+00      1.795119e+00      5.599024e-03
          36      1.812731e+00      1.795609e+00      5.464825e-03
          37      1.801690e+00      1.795773e+00      5.319598e-03
          38      1.772138e+00      1.795151e+00      5.215842e-03
          39      1.753942e+00      1.794094e+00      5.188024e-03
          40      1.725978e+00      1.792391e+00      5.330479e-03
          41      1.693776e+00      1.789986e+00      5.717425e-03
          42      1.687787e+00      1.787553e+00      6.077084e-03
          43      1.717718e+00      1.785929e+00      6.148940e-03
          44      1.661111e+00      1.783092e+00      6.631348e-03
          45      1.703799e+00      1.781330e+00      6.714009e-03
          46      1.785498e+00      1.781421e+00      6.568664e-03
          47      1.766339e+00      1.781100e+00      6.436739e-03
          48      1.795396e+00      1.781398e+00      6.309527e-03
          49      1.801158e+00      1.781801e+00      6.193636e-03
          50      1.760590e+00      1.781377e+00      6.084273e-03
