#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1     -3.780462e-01     -3.780462e-01      0.000000e+00
                 2     -3.160391e-01     -3.470427e-01      2.192281e-02
                 3     -3.052617e-01     -3.331157e-01      1.851787e-02
                 4     -4.149015e-01     -3.535621e-01      2.250401e-02
                 5     -4.308093e-01     -3.690116e-01      2.269501e-02
                 6     -4.194651e-01     -3.774205e-01      2.041098e-02
                 7     -4.163249e-01     -3.829783e-01      1.823610e-02
                 8     -4.359855e-01     -3.896042e-01      1.711805e-02
                 9     -4.243194e-01     -3.934614e-01      1.564459e-02
                10     -3.762936e-01     -3.917446e-01      1.417401e-02
                11     -3.903282e-01     -3.916159e-01      1.288605e-02
                12     -3.993262e-01     -3.922584e-01      1.182822e-02
                13     -4.254077e-01     -3.948083e-01      1.118984e-02
                14     -4.235991e-01     -3.968648e-01      1.057785e-02
                15     -4.172724e-01     -3.982253e-01      9.959772e-03
                16     -4.031561e-01     -3.985335e-01      9.342053e-03
                17     -3.826552e-01     -3.975995e-01      8.839088e-03
                18     -3.762832e-01     -3.964153e-01      8.426985e-03
                19     -3.923580e-01     -3.962017e-01      7.986165e-03
                20     -4.357575e-01     -3.981795e-01      7.827928e-03
                21     -4.237557e-01     -3.993974e-01      7.549320e-03
                22     -4.195516e-01     -4.003135e-01      7.261540e-03
                23     -4.377433e-01     -4.019409e-01      7.125844e-03
                24     -4.591452e-01     -4.043244e-01      7.216561e-03
                25     -4.640700e-01     -4.067142e-01      7.312905e-03
                26     -4.194580e-01     -4.072044e-01      7.048046e-03
                27     -4.041841e-01     -4.070925e-01      6.787895e-03
                28     -4.229301e-01     -4.076581e-01      6.568995e-03
                29     -3.737618e-01     -4.064893e-01      6.445626e-03
                30     -3.909664e-01     -4.059719e-01      6.251506e-03
                31     -3.835615e-01     -4.052490e-01      6.091500e-03
                32     -3.923293e-01     -4.048452e-01      5.914505e-03
                33     -4.225984e-01     -4.053832e-01      5.759692e-03
                34     -4.286360e-01     -4.060671e-01      5.630747e-03
                35     -3.989059e-01     -4.058625e-01      5.473584e-03
                36     -4.031583e-01     -4.057874e-01      5.322056e-03
                37     -3.971049e-01     -4.055527e-01      5.183387e-03
                38     -3.698352e-01     -4.046128e-01      5.131497e-03
                39     -3.745044e-01     -4.038408e-01      5.057659e-03
                40     -4.665365e-01     -4.054082e-01      5.168386e-03
                41     -4.557482e-01     -4.066360e-01      5.186117e-03
                42     -4.060781e-01     -4.066227e-01      5.062655e-03
                43     -3.683105e-01     -4.057317e-01      5.022709e-03
                44     -4.061953e-01     -4.057422e-01      4.908568e-03
                45     -3.948440e-01     -4.055001e-01      4.805459e-03
                46     -3.982535e-01     -4.053425e-01      4.703574e-03
                47     -3.863150e-01     -4.049377e-01      4.620888e-03
                48     -4.148936e-01     -4.051451e-01      4.529272e-03
                49     -4.396481e-01     -4.058492e-01      4.491239e-03
                50     -4.619374e-01     -4.069710e-01      4.539343e-03
