#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      4.667955e-02      4.667955e-02      0.000000e+00
           2      5.049431e-02      4.858693e-02      1.348723e-03
           3      5.434601e-02      5.050662e-02      1.807009e-03
           4      4.916115e-02      5.017025e-02      1.386210e-03
           5      4.851752e-02      4.983971e-02      1.147702e-03
           6      4.843622e-02      4.960579e-02      9.799653e-04
           7      5.230837e-02      4.999187e-02      9.128609e-04
           8      4.689262e-02      4.960447e-02      8.771149e-04
           9      4.792191e-02      4.941752e-02      7.993330e-04
          10      4.708230e-02      4.918400e-02      7.527384e-04
          11      4.750486e-02      4.903135e-02      6.996143e-04
          12      4.810958e-02      4.895453e-02      6.455162e-04
          13      4.701694e-02      4.880549e-02      6.128264e-04
          14      4.863229e-02      4.879312e-02      5.691780e-04
          15      4.738906e-02      4.869951e-02      5.388746e-04
          16      4.864594e-02      4.869616e-02      5.052054e-04
          17      5.205967e-02      4.889402e-02      5.127685e-04
          18      5.369744e-02      4.916087e-02      5.493493e-04
          19      4.826438e-02      4.911369e-02      5.224586e-04
          20      5.125794e-02      4.922090e-02      5.072168e-04
          21      4.397418e-02      4.897106e-02      5.411101e-04
          22      5.063344e-02      4.904662e-02      5.217634e-04
          23      4.747823e-02      4.897843e-02      5.035144e-04
          24      5.211527e-02      4.910913e-02      4.992101e-04
          25      4.687103e-02      4.901961e-02      4.872028e-04
          26      5.077361e-02      4.908707e-02      4.731118e-04
          27      5.058868e-02      4.914269e-02      4.588463e-04
          28      4.879769e-02      4.913036e-02      4.426244e-04
          29      4.814468e-02      4.909637e-02      4.286645e-04
          30      5.257618e-02      4.921237e-02      4.297827e-04
          31      4.636683e-02      4.912058e-02      4.256082e-04
          32      5.087288e-02      4.917534e-02      4.158157e-04
          33      4.942612e-02      4.918294e-02      4.032846e-04
          34      4.586839e-02      4.908545e-02      4.030339e-04
          35      5.186350e-02      4.916482e-02      3.992579e-04
          36      5.054987e-02      4.920330e-02      3.900167e-04
          37      4.985612e-02      4.922094e-02      3.798746e-04
          38      4.738742e-02      4.917269e-02      3.729296e-04
          39      4.909721e-02      4.917075e-02      3.633724e-04
          40      4.629507e-02      4.909886e-02      3.613299e-04
          41      4.514311e-02      4.900238e-02      3.651710e-04
          42      4.690388e-02      4.895242e-02      3.598784e-04
          43      5.012450e-02      4.897967e-02      3.525399e-04
          44      4.649656e-02      4.892324e-02      3.490154e-04
          45      4.757538e-02      4.889329e-02      3.425423e-04
          46      5.030202e-02      4.892391e-02      3.364620e-04
          47      4.875498e-02      4.892032e-02      3.293224e-04
          48      5.211901e-02      4.898696e-02      3.291348e-04
          49      5.078820e-02      4.902372e-02      3.244641e-04
          50      4.794993e-02      4.900224e-02      3.186847e-04
