#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                 1      1.180078e+00      1.180078e+00      0.000000e+00
                 2      1.138750e+00      1.159414e+00      1.461171e-02
                 3      1.131519e+00      1.150115e+00      1.235027e-02
                 4      1.204674e+00      1.163755e+00      1.501099e-02
                 5      1.215281e+00      1.174060e+00      1.513829e-02
                 6      1.207821e+00      1.179687e+00      1.362091e-02
                 7      1.205643e+00      1.183395e+00      1.216932e-02
                 8      1.218730e+00      1.187812e+00      1.142160e-02
                 9      1.211028e+00      1.190391e+00      1.043976e-02
                10      1.178938e+00      1.189246e+00      9.458393e-03
                11      1.188208e+00      1.189152e+00      8.599010e-03
                12      1.194276e+00      1.189579e+00      7.893022e-03
                13      1.211634e+00      1.191275e+00      7.465971e-03
                14      1.210411e+00      1.192642e+00      7.056693e-03
                15      1.206239e+00      1.193549e+00      6.644209e-03
                16      1.196824e+00      1.193753e+00      6.232099e-03
                17      1.183191e+00      1.193132e+00      5.896393e-03
                18      1.178915e+00      1.192342e+00      5.621469e-03
                19      1.189639e+00      1.192200e+00      5.327402e-03
                20      1.218559e+00      1.193518e+00      5.221508e-03
                21      1.210631e+00      1.194333e+00      5.036053e-03
                22      1.207771e+00      1.194944e+00      4.844046e-03
                23      1.219928e+00      1.196030e+00      4.753675e-03
                24      1.234149e+00      1.197618e+00      4.813633e-03
                25      1.237538e+00      1.199215e+00      4.878749e-03
                26      1.207727e+00      1.199542e+00      4.702078e-03
                27      1.197510e+00      1.199467e+00      4.528530e-03
                28      1.209960e+00      1.199842e+00      4.382275e-03
                29      1.177189e+00      1.199061e+00      4.300219e-03
                30      1.188593e+00      1.198712e+00      4.171010e-03
                31      1.183673e+00      1.198227e+00      4.064574e-03
                32      1.189528e+00      1.197955e+00      3.946636e-03
                33      1.209759e+00      1.198312e+00      3.843216e-03
                34      1.213776e+00      1.198767e+00      3.756995e-03
                35      1.193991e+00      1.198631e+00      3.652129e-03
                36      1.196839e+00      1.198581e+00      3.551021e-03
                37      1.192742e+00      1.198423e+00      3.458552e-03
                38      1.174570e+00      1.197796e+00      3.424031e-03
                39      1.177623e+00      1.197278e+00      3.375076e-03
                40      1.238987e+00      1.198321e+00      3.448011e-03
                41      1.231878e+00      1.199139e+00      3.459688e-03
                42      1.198796e+00      1.199131e+00      3.377324e-03
                43      1.173507e+00      1.198535e+00      3.350944e-03
                44      1.198802e+00      1.198541e+00      3.274792e-03
                45      1.191259e+00      1.198380e+00      3.206015e-03
                46      1.193561e+00      1.198275e+00      3.138029e-03
                47      1.185638e+00      1.198006e+00      3.082760e-03
                48      1.204634e+00      1.198144e+00      3.021626e-03
                49      1.221087e+00      1.198612e+00      2.996017e-03
                50      1.235977e+00      1.199360e+00      3.027861e-03
