#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1      1.392070e+00      1.392070e+00      0.000000e+00
                 2      1.392085e+00      1.392078e+00      5.246140e-06
                 3      1.392016e+00      1.392057e+00      1.712935e-05
                 4      1.392110e+00      1.392070e+00      1.718829e-05
                 5      1.392112e+00      1.392079e+00      1.561271e-05
                 6      1.392267e+00      1.392110e+00      3.147786e-05
                 7      1.392140e+00      1.392114e+00      2.726718e-05
                 8      1.392109e+00      1.392114e+00      2.386719e-05
                 9      1.392222e+00      1.392126e+00      2.405520e-05
                10      1.392114e+00      1.392125e+00      2.167759e-05
                11      1.391984e+00      1.392112e+00      2.318095e-05
                12      1.392088e+00      1.392110e+00      2.133376e-05
                13      1.392043e+00      1.392105e+00      2.029749e-05
                14      1.392017e+00      1.392098e+00      1.978793e-05
                15      1.392086e+00      1.392098e+00      1.848651e-05
                16      1.392080e+00      1.392096e+00      1.736180e-05
                17      1.392132e+00      1.392099e+00      1.646371e-05
                18      1.392089e+00      1.392098e+00      1.555773e-05
                19      1.392101e+00      1.392098e+00      1.473958e-05
                20      1.392080e+00      1.392097e+00      1.402922e-05
                21      1.392191e+00      1.392102e+00      1.404753e-05
                22      1.392105e+00      1.392102e+00      1.340992e-05
                23      1.392149e+00      1.392104e+00      1.298168e-05
                24      1.392078e+00      1.392103e+00      1.248658e-05
                25      1.392237e+00      1.392108e+00      1.308704e-05
                26      1.392133e+00      1.392109e+00      1.261908e-05
                27      1.392080e+00      1.392108e+00      1.219694e-05
                28      1.392010e+00      1.392105e+00      1.225474e-05
                29      1.392021e+00      1.392102e+00      1.216656e-05
                30      1.391923e+00      1.392096e+00      1.313158e-05
                31      1.391948e+00      1.392091e+00      1.354267e-05
                32      1.391963e+00      1.392087e+00      1.370014e-05
                33      1.392040e+00      1.392086e+00      1.336004e-05
                34      1.392028e+00      1.392084e+00      1.307350e-05
                35      1.392081e+00      1.392084e+00      1.270019e-05
                36      1.392100e+00      1.392084e+00      1.235560e-05
                37      1.392007e+00      1.392082e+00      1.219453e-05
                38      1.392019e+00      1.392080e+00      1.198597e-05
                39      1.391931e+00      1.392077e+00      1.227940e-05
                40      1.391944e+00      1.392073e+00      1.241158e-05
                41      1.392068e+00      1.392073e+00      1.210950e-05
                42      1.392115e+00      1.392074e+00      1.186268e-05
                43      1.391949e+00      1.392071e+00      1.193695e-05
                44      1.392008e+00      1.392070e+00      1.175124e-05
                45      1.392045e+00      1.392069e+00      1.150346e-05
                46      1.392088e+00      1.392070e+00      1.126090e-05
                47      1.392142e+00      1.392071e+00      1.112640e-05
                48      1.392057e+00      1.392071e+00      1.089855e-05
                49      1.391982e+00      1.392069e+00      1.082599e-05
                50      1.392028e+00      1.392068e+00      1.064086e-05
