#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.9864      1.9864           0
           2     1.98638     1.98639 6.32773e-06
           3     1.98633     1.98637 1.75485e-05
           4     1.98624     1.98634 3.12731e-05
           5     1.98611     1.98629 4.71186e-05
           6     1.98595     1.98624 6.48368e-05
           7     1.98576     1.98617 8.42536e-05
           8     1.98553     1.98609 0.000105239
           9     1.98526       1.986 0.000127694
          10     1.98495     1.98589 0.000151539
          11     1.98461     1.98578 0.000176709
          12     1.98424     1.98565 0.000203153
          13     1.98383     1.98551 0.000230827
          14     1.98338     1.98535 0.000259696
          15     1.98289     1.98519  0.00028973
          16     1.98237     1.98501 0.000320906
          17     1.98181     1.98483 0.000353204
          18     1.98121     1.98462 0.000386608
          19     1.98057     1.98441 0.000421105
          20     1.97989     1.98418 0.000456687
          21     1.97917     1.98395 0.000493347
          22     1.97842     1.98369 0.000531081
          23     1.97762     1.98343 0.000569885
          24     1.97678     1.98315 0.000609761
          25      1.9759     1.98286 0.000650709
          26     1.97498     1.98256 0.000692727
          27     1.97402     1.98224 0.000735809
          28     1.97301     1.98191  0.00077996
          29     1.97196     1.98157 0.000825193
          30     1.97086     1.98121 0.000871521
          31     1.96972     1.98084 0.000918952
          32     1.96853     1.98046  0.00096749
          33     1.96729     1.98006  0.00101714
          34       1.966     1.97965  0.00106792
          35     1.96467     1.97922  0.00111984
          36     1.96329     1.97878   0.0011729
          37     1.96185     1.97832  0.00122713
          38     1.96037     1.97785  0.00128255
          39     1.95883     1.97736  0.00133918
          40     1.95723     1.97685  0.00139704
          41     1.95558     1.97634  0.00145615
          42     1.95387      1.9758  0.00151653
          43     1.95211     1.97525   0.0015782
          44     1.95028     1.97468  0.00164119
          45      1.9484      1.9741  0.00170551
          46     1.94645      1.9735  0.00177118
          47     1.94444     1.97288  0.00183824
          48     1.94236     1.97224  0.00190671
          49     1.94022     1.97159   0.0019766
          50     1.93802     1.97092  0.00204794
          51     1.93574     1.97023  0.00212077
          52     1.93339     1.96952   0.0021951
          53     1.93097     1.96879  0.00227097
          54     1.92848     1.96805  0.00234839
          55     1.92592     1.96728  0.00242741
          56     1.92327     1.96649  0.00250805
          57     1.92055     1.96569  0.00259034
          58     1.91775     1.96486   0.0026743
          59     1.91487     1.96401  0.00275996
          60      1.9119     1.96315  0.00284734
          61     1.90885     1.96226  0.00293649
          62     1.90572     1.96134  0.00302741
          63     1.90249     1.96041  0.00312016
          64     1.89918     1.95945  0.00321475
          65     1.89577     1.95847  0.00331122
          66     1.89227     1.95747   0.0034096
          67     1.88867     1.95644  0.00350993
          68     1.88498     1.95539  0.00361223
          69     1.88118     1.95432  0.00371654
          70     1.87729     1.95322  0.00382288
          71     1.87329     1.95209   0.0039313
          72     1.86918     1.95094  0.00404182
          73     1.86497     1.94976  0.00415447
          74     1.86065     1.94856  0.00426928
          75     1.85623     1.94733  0.00438627
          76     1.85169     1.94607  0.00450546
          77     1.84703     1.94478   0.0046269
          78     1.84226     1.94347  0.00475059
          79     1.83738     1.94212  0.00487657
          80     1.83238     1.94075  0.00500485
          81     1.82726     1.93935  0.00513547
          82     1.82201     1.93792  0.00526843
          83     1.81665     1.93646  0.00540377
          84     1.81116     1.93497  0.00554149
          85     1.80555     1.93345  0.00568162
          86     1.79981     1.93189  0.00582418
          87     1.79395     1.93031  0.00596916
          88     1.78795     1.92869  0.00611659
          89     1.78183     1.92704  0.00626648
          90     1.77559     1.92536  0.00641883
          91     1.76921     1.92364  0.00657364
          92      1.7627     1.92189  0.00673092
          93     1.75607     1.92011  0.00689066
          94      1.7493     1.91829  0.00705288
          95     1.74241     1.91644  0.00721755
          96     1.73538     1.91455  0.00738467
          97     1.72823     1.91263  0.00755422
          98     1.72096     1.91068  0.00772618
          99     1.71355     1.90868  0.00790055
         100     1.70603     1.90666  0.00807729
         101     1.69837      1.9046  0.00825637
         102      1.6906      1.9025  0.00843777
         103     1.68271     1.90036  0.00862145
         104      1.6747     1.89819  0.00880738
         105     1.66657     1.89599  0.00899551
         106     1.65833     1.89375  0.00918579
         107     1.64999     1.89147  0.00937819
         108     1.64153     1.88915  0.00957264
         109     1.63297      1.8868  0.00976908
         110     1.62431     1.88442  0.00996746
         111     1.61555     1.88199   0.0101677
         112     1.60671     1.87954   0.0103698
         113     1.59777     1.87704   0.0105736
         114     1.58875     1.87451    0.010779
         115     1.57964     1.87195    0.010986
         116     1.57047     1.86935   0.0111945
         117     1.56122     1.86672   0.0114044
         118     1.55191     1.86405   0.0116156
         119     1.54253     1.86135    0.011828
         120     1.53311     1.85861   0.0120416
         121     1.52363     1.85584   0.0122562
         122      1.5141     1.85304   0.0124717
         123     1.50454     1.85021   0.0126881
         124     1.49494     1.84734   0.0129052
         125     1.48532     1.84445   0.0131229
         126     1.47567     1.84152   0.0133412
         127       1.466     1.83856   0.0135598
         128     1.45632     1.83558   0.0137788
         129     1.44664     1.83256    0.013998
         130     1.43696     1.82952   0.0142172
         131     1.42728     1.82645   0.0144365
         132     1.41761     1.82335   0.0146556
         133     1.40796     1.82023   0.0148745
         134     1.39833     1.81708    0.015093
         135     1.38872     1.81391   0.0153111
         136     1.37915     1.81071   0.0155287
         137     1.36961     1.80749   0.0157456
         138     1.36012     1.80425   0.0159617
         139     1.35067     1.80099    0.016177
         140     1.34128      1.7977   0.0163913
         141     1.33194      1.7944   0.0166046
         142     1.32266     1.79108   0.0168167
         143     1.31345     1.78774   0.0170275
         144     1.30431     1.78438   0.0172371
         145     1.29525     1.78101   0.0174451
         146     1.28627     1.77762   0.0176517
         147     1.27737     1.77422   0.0178567
         148     1.26856      1.7708   0.0180599
         149     1.25984     1.76737   0.0182614
         150     1.25122     1.76393    0.018461
         151      1.2427     1.76048   0.0186586
         152     1.23429     1.75701   0.0188543
         153     1.22598     1.75354   0.0190478
         154     1.21779     1.75007   0.0192392
         155     1.20972     1.74658   0.0194284
         156     1.20178     1.74309   0.0196152
         157     1.19396     1.73959   0.0197996
         158     1.18626     1.73609   0.0199816
         159     1.17871     1.73258   0.0201611
         160     1.17129     1.72907    0.020338
         161     1.16401     1.72556   0.0205123
         162     1.15688     1.72205   0.0206839
         163      1.1499     1.71854   0.0208527
         164     1.14307     1.71503   0.0210187
         165      1.1364     1.71153   0.0211818
         166     1.12989     1.70802   0.0213421
         167     1.12355     1.70452   0.0214993
         168     1.11737     1.70103   0.0216536
         169     1.11136     1.69754   0.0218047
         170     1.10553     1.69406   0.0219528
         171     1.09987     1.69058   0.0220977
         172      1.0944     1.68712   0.0222394
         173     1.08911     1.68366   0.0223779
         174       1.084     1.68021   0.0225131
         175     1.07908     1.67678    0.022645
         176     1.07435     1.67336   0.0227735
         177     1.06982     1.66995   0.0228987
         178     1.06548     1.66655   0.0230205
         179     1.06134     1.66317   0.0231389
         180     1.05739      1.6598   0.0232538
         181     1.05364     1.65645   0.0233652
         182     1.05009     1.65312   0.0234732
         183     1.04675     1.64981   0.0235776
         184      1.0436     1.64651   0.0236785
         185     1.04066     1.64324   0.0237759
         186     1.03791     1.63999   0.0238698
         187     1.03537     1.63675   0.0239601
         188     1.03302     1.63354   0.0240469
         189     1.03087     1.63035   0.0241302
         190     1.02891     1.62719   0.0242099
         191     1.02715     1.62404   0.0242862
         192     1.02557     1.62093   0.0243589
         193     1.02418     1.61784   0.0244281
         194     1.02297     1.61477   0.0244939
         195     1.02195     1.61173   0.0245562
         196     1.02109     1.60872   0.0246151
         197     1.02041     1.60573   0.0246707
         198     1.01989     1.60277   0.0247229
         199     1.01954     1.59984   0.0247717
         200     1.01933     1.59694   0.0248173
         201     1.01928     1.59406   0.0248597
         202     1.01937     1.59122   0.0248989
         203     1.01959      1.5884    0.024935
         204     1.01994     1.58562    0.024968
         205     1.02042     1.58286   0.0249979
         206     1.02101     1.58013   0.0250249
         207     1.02171     1.57743    0.025049
         208     1.02252     1.57477   0.0250703
         209     1.02342     1.57213   0.0250887
         210     1.02441     1.56952   0.0251045
         211     1.02548     1.56694   0.0251175
         212     1.02662     1.56439    0.025128
         213     1.02783     1.56187    0.025136
         214      1.0291     1.55938   0.0251415
         215     1.03043     1.55692   0.0251447
         216     1.03181     1.55449   0.0251455
         217     1.03322     1.55209   0.0251441
         218     1.03467     1.54972   0.0251406
         219     1.03615     1.54737   0.0251349
         220     1.03765     1.54505   0.0251272
         221     1.03917     1.54277   0.0251176
         222      1.0407      1.5405    0.025106
         223     1.04224     1.53827   0.0250927
         224     1.04378     1.53606   0.0250776
         225     1.04532     1.53388   0.0250608
         226     1.04686     1.53173   0.0250424
         227     1.04838      1.5296   0.0250224
         228     1.04989     1.52749    0.025001
         229     1.05138     1.52541   0.0249781
         230     1.05286     1.52336   0.0249538
         231     1.05431     1.52133   0.0249283
         232     1.05573     1.51932   0.0249015
         233     1.05713     1.51734   0.0248735
         234      1.0585     1.51538   0.0248444
         235     1.05984     1.51344   0.0248142
         236     1.06115     1.51152   0.0247829
         237     1.06242     1.50963   0.0247507
         238     1.06366     1.50775   0.0247175
         239     1.06486      1.5059   0.0246835
         240     1.06603     1.50407   0.0246486
         241     1.06717     1.50226   0.0246129
         242     1.06827     1.50046   0.0245764
         243     1.06933     1.49869   0.0245392
         244     1.07036     1.49693   0.0245014
         245     1.07135     1.49519   0.0244629
         246      1.0723     1.49348   0.0244238
         247     1.07323     1.49177   0.0243841
         248     1.07411     1.49009   0.0243438
         249     1.07497     1.48842   0.0243031
         250      1.0758     1.48677   0.0242619
         251     1.07659     1.48514   0.0242202
         252     1.07736     1.48352    0.024178
         253      1.0781     1.48192   0.0241355
         254     1.07881     1.48033   0.0240926
         255     1.07949     1.47876   0.0240494
         256     1.08016      1.4772   0.0240058
         257     1.08079     1.47566   0.0239619
         258     1.08141     1.47413   0.0239177
         259     1.08201     1.47262   0.0238732
         260     1.08258     1.47112   0.0238285
         261     1.08315     1.46963   0.0237835
         262     1.08369     1.46816   0.0237383
         263     1.08422      1.4667   0.0236929
         264     1.08473     1.46525   0.0236473
         265     1.08524     1.46382   0.0236015
         266     1.08573      1.4624   0.0235555
         267     1.08621     1.46099   0.0235094
         268     1.08668     1.45959   0.0234631
         269     1.08715     1.45821   0.0234167
         270      1.0876     1.45683   0.0233702
         271     1.08805     1.45547   0.0233235
         272     1.08849     1.45412   0.0232768
         273     1.08893     1.45279   0.0232299
         274     1.08936     1.45146    0.023183
         275     1.08979     1.45014   0.0231359
         276     1.09022     1.44884   0.0230888
         277     1.09064     1.44755   0.0230417
         278     1.09105     1.44626   0.0229944
         279     1.09147     1.44499   0.0229471
         280     1.09188     1.44373   0.0228998
         281     1.09228     1.44248   0.0228525
         282     1.09268     1.44124   0.0228051
         283     1.09308     1.44001   0.0227576
         284     1.09348     1.43879   0.0227102
         285     1.09387     1.43758   0.0226627
         286     1.09425     1.43638   0.0226153
         287     1.09463     1.43519   0.0225678
         288     1.09501     1.43401   0.0225203
         289     1.09538     1.43284   0.0224728
         290     1.09575     1.43167   0.0224254
         291     1.09611     1.43052    0.022378
         292     1.09646     1.42938   0.0223306
         293     1.09681     1.42824   0.0222832
         294     1.09715     1.42711   0.0222358
         295     1.09749       1.426   0.0221885
         296     1.09781     1.42489   0.0221412
         297     1.09813     1.42379    0.022094
         298     1.09844      1.4227   0.0220468
         299     1.09875     1.42161   0.0219997
         300     1.09904     1.42054   0.0219526
         301     1.09933     1.41947   0.0219056
         302     1.09961     1.41841   0.0218586
         303     1.09988     1.41736   0.0218118
         304     1.10014     1.41632    0.021765
         305     1.10039     1.41528   0.0217182
         306     1.10064     1.41425   0.0216716
         307     1.10088     1.41323    0.021625
         308     1.10112     1.41222   0.0215785
         309     1.10134     1.41121   0.0215322
         310     1.10157     1.41021   0.0214858
         311     1.10179     1.40922   0.0214396
         312       1.102     1.40824   0.0213935
         313     1.10222     1.40726   0.0213475
         314     1.10243     1.40629   0.0213016
         315     1.10264     1.40532   0.0212558
         316     1.10285     1.40437     0.02121
         317     1.10306     1.40342   0.0211644
         318     1.10328     1.40247   0.0211189
         319      1.1035     1.40154   0.0210735
         320     1.10372     1.40061   0.0210282
         321     1.10395     1.39968   0.0209829
         322     1.10418     1.39876   0.0209378
         323     1.10443     1.39785   0.0208928
         324     1.10468     1.39695   0.0208479
         325     1.10494     1.39605   0.0208031
         326     1.10521     1.39516   0.0207585
         327      1.1055     1.39427   0.0207139
         328     1.10579     1.39339   0.0206694
         329      1.1061     1.39252    0.020625
         330     1.10642     1.39165   0.0205807
         331     1.10675     1.39079   0.0205365
         332      1.1071     1.38994   0.0204924
         333     1.10746     1.38909   0.0204484
         334     1.10783     1.38825   0.0204045
         335     1.10821     1.38741   0.0203607
         336     1.10861     1.38658   0.0203171
         337     1.10902     1.38576   0.0202735
         338     1.10943     1.38494   0.0202299
         339     1.10986     1.38413   0.0201865
         340     1.11029     1.38332   0.0201432
         341     1.11072     1.38252      0.0201
         342     1.11117     1.38173   0.0200569
         343     1.11161     1.38094   0.0200139
         344     1.11206     1.38016    0.019971
         345     1.11251     1.37938   0.0199281
         346     1.11295     1.37861   0.0198854
         347     1.11339     1.37785   0.0198428
         348     1.11383     1.37709   0.0198003
         349     1.11425     1.37634   0.0197578
         350     1.11466     1.37559   0.0197155
         351     1.11506     1.37485   0.0196733
         352     1.11545     1.37411   0.0196312
         353     1.11582     1.37338   0.0195893
         354     1.11617     1.37265   0.0195474
         355     1.11649     1.37193   0.0195056
         356      1.1168     1.37121    0.019464
         357     1.11708      1.3705   0.0194225
         358     1.11733      1.3698   0.0193811
