#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.849756e+00     -3.849756e+00      0.000000e+00
           2     -3.849717e+00     -3.849737e+00      1.376809e-05
           3     -3.849652e+00     -3.849709e+00      2.470680e-05
           4     -3.849562e+00     -3.849672e+00      3.679192e-05
           5     -3.849445e+00     -3.849627e+00      5.008124e-05
           6     -3.849303e+00     -3.849573e+00      6.451890e-05
           7     -3.849135e+00     -3.849510e+00      8.004096e-05
           8     -3.848941e+00     -3.849439e+00      9.659071e-05
           9     -3.848721e+00     -3.849359e+00      1.141204e-04
          10     -3.848475e+00     -3.849271e+00      1.325906e-04
          11     -3.848203e+00     -3.849174e+00      1.519686e-04
          12     -3.847905e+00     -3.849068e+00      1.722277e-04
          13     -3.847579e+00     -3.848954e+00      1.933463e-04
          14     -3.847227e+00     -3.848830e+00      2.153070e-04
          15     -3.846848e+00     -3.848698e+00      2.380959e-04
          16     -3.846441e+00     -3.848557e+00      2.617024e-04
          17     -3.846006e+00     -3.848407e+00      2.861189e-04
          18     -3.845543e+00     -3.848248e+00      3.113400e-04
          19     -3.845052e+00     -3.848080e+00      3.373529e-04
          20     -3.844544e+00     -3.847903e+00      3.638692e-04
          21     -3.844007e+00     -3.847717e+00      3.909751e-04
          22     -3.843442e+00     -3.847523e+00      4.187321e-04
          23     -3.842846e+00     -3.847320e+00      4.471857e-04
          24     -3.842069e+00     -3.847101e+00      4.790850e-04
          25     -3.841413e+00     -3.846873e+00      5.110893e-04
          26     -3.840576e+00     -3.846631e+00      5.458149e-04
          27     -3.839857e+00     -3.846380e+00      5.804121e-04
          28     -3.839105e+00     -3.846120e+00      6.151049e-04
          29     -3.838319e+00     -3.845851e+00      6.500684e-04
          30     -3.837047e+00     -3.845558e+00      6.914848e-04
          31     -3.836042e+00     -3.845251e+00      7.341580e-04
          32     -3.835153e+00     -3.844935e+00      7.760805e-04
          33     -3.833774e+00     -3.844597e+00      8.229700e-04
          34     -3.832508e+00     -3.844242e+00      8.722019e-04
          35     -3.831505e+00     -3.843878e+00      9.200648e-04
          36     -3.830464e+00     -3.843505e+00      9.670193e-04
          37     -3.829079e+00     -3.843115e+00      1.016449e-03
          38     -3.827955e+00     -3.842716e+00      1.065115e-03
          39     -3.826337e+00     -3.842296e+00      1.117542e-03
          40     -3.825126e+00     -3.841867e+00      1.169141e-03
          41     -3.823720e+00     -3.841424e+00      1.221541e-03
          42     -3.821966e+00     -3.840961e+00      1.277297e-03
          43     -3.820465e+00     -3.840484e+00      1.333565e-03
          44     -3.818918e+00     -3.839994e+00      1.390419e-03
          45     -3.817017e+00     -3.839484e+00      1.450250e-03
          46     -3.815065e+00     -3.838953e+00      1.512760e-03
          47     -3.813360e+00     -3.838408e+00      1.575532e-03
          48     -3.811300e+00     -3.837844e+00      1.640808e-03
          49     -3.809185e+00     -3.837259e+00      1.708382e-03
          50     -3.807464e+00     -3.836663e+00      1.775101e-03
          51     -3.805080e+00     -3.836043e+00      1.845158e-03
          52     -3.802936e+00     -3.835407e+00      1.916374e-03
          53     -3.800729e+00     -3.834752e+00      1.988781e-03
          54     -3.798458e+00     -3.834080e+00      2.062400e-03
          55     -3.795819e+00     -3.833385e+00      2.139010e-03
          56     -3.793416e+00     -3.832671e+00      2.216695e-03
          57     -3.790942e+00     -3.831939e+00      2.295512e-03
          58     -3.788095e+00     -3.831183e+00      2.377145e-03
          59     -3.785386e+00     -3.830407e+00      2.460322e-03
          60     -3.782950e+00     -3.829616e+00      2.543277e-03
          61     -3.780287e+00     -3.828807e+00      2.627005e-03
          62     -3.777244e+00     -3.827975e+00      2.713087e-03
          63     -3.774122e+00     -3.827121e+00      2.801452e-03
          64     -3.771218e+00     -3.826247e+00      2.890648e-03
          65     -3.768078e+00     -3.825352e+00      2.981486e-03
          66     -3.765153e+00     -3.824440e+00      3.072664e-03
          67     -3.761987e+00     -3.823508e+00      3.165035e-03
