#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.636556e+00      1.636556e+00      0.000000e+00
           2      1.637880e+00      1.637218e+00      4.681474e-04
           3      1.666537e+00      1.646991e+00      7.985674e-03
           4      1.657422e+00      1.649599e+00      6.400881e-03
           5      1.651783e+00      1.650036e+00      5.135594e-03
           6      1.659636e+00      1.651636e+00      4.522049e-03
           7      1.625207e+00      1.647860e+00      5.219356e-03
           8      1.620598e+00      1.644452e+00      5.569411e-03
           9      1.663494e+00      1.646568e+00      5.337332e-03
          10      1.650662e+00      1.646978e+00      4.819274e-03
          11      1.625909e+00      1.645062e+00      4.746509e-03
          12      1.674587e+00      1.647523e+00      4.947716e-03
          13      1.629234e+00      1.646116e+00      4.762935e-03
          14      1.639449e+00      1.645640e+00      4.446468e-03
          15      1.670320e+00      1.647285e+00      4.444057e-03
          16      1.671970e+00      1.648828e+00      4.426012e-03
          17      1.635853e+00      1.648065e+00      4.230952e-03
          18      1.656373e+00      1.648526e+00      4.020999e-03
          19      1.638477e+00      1.647997e+00      3.843996e-03
          20      1.647866e+00      1.647991e+00      3.651802e-03
          21      1.638632e+00      1.647545e+00      3.504994e-03
          22      1.685979e+00      1.649292e+00      3.755906e-03
          23      1.669260e+00      1.650160e+00      3.691577e-03
          24      1.669453e+00      1.650964e+00      3.624228e-03
          25      1.653300e+00      1.651057e+00      3.480463e-03
          26      1.694166e+00      1.652715e+00      3.720627e-03
          27      1.649635e+00      1.652601e+00      3.584576e-03
          28      1.631958e+00      1.651864e+00      3.531563e-03
          29      1.639169e+00      1.651426e+00      3.436808e-03
          30      1.667982e+00      1.651978e+00      3.366263e-03
          31      1.684719e+00      1.653034e+00      3.419341e-03
          32      1.640470e+00      1.652642e+00      3.334952e-03
          33      1.631222e+00      1.651993e+00      3.296454e-03
          34      1.620151e+00      1.651056e+00      3.329878e-03
          35      1.644076e+00      1.650857e+00      3.240705e-03
          36      1.627594e+00      1.650210e+00      3.214464e-03
          37      1.677489e+00      1.650948e+00      3.211018e-03
          38      1.649379e+00      1.650906e+00      3.126783e-03
          39      1.652493e+00      1.650947e+00      3.046874e-03
          40      1.659316e+00      1.651156e+00      2.977877e-03
          41      1.601796e+00      1.649952e+00      3.139186e-03
          42      1.622646e+00      1.649302e+00      3.131046e-03
          43      1.656447e+00      1.649468e+00      3.062637e-03
          44      1.702036e+00      1.650663e+00      3.217631e-03
          45      1.650496e+00      1.650659e+00      3.146131e-03
          46      1.675312e+00      1.651195e+00      3.123048e-03
          47      1.650347e+00      1.651177e+00      3.056652e-03
          48      1.676185e+00      1.651698e+00      3.037049e-03
          49      1.642591e+00      1.651512e+00      2.980750e-03
          50      1.674384e+00      1.651970e+00      2.956025e-03
