#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -4.977661e+00     -4.977661e+00      0.000000e+00
           2     -4.955744e+00     -4.966703e+00      7.748732e-03
           3     -4.967234e+00     -4.966880e+00      5.167846e-03
           4     -4.984256e+00     -4.971224e+00      5.401361e-03
           5     -4.972042e+00     -4.971387e+00      4.323567e-03
           6     -4.972949e+00     -4.971648e+00      3.610800e-03
           7     -4.958441e+00     -4.969761e+00      3.553861e-03
           8     -4.913223e+00     -4.962694e+00      7.305605e-03
           9     -4.977967e+00     -4.964391e+00      6.688078e-03
          10     -4.966762e+00     -4.964628e+00      6.023472e-03
          11     -4.942760e+00     -4.962640e+00      5.794681e-03
          12     -4.980851e+00     -4.964158e+00      5.506920e-03
          13     -4.950753e+00     -4.963126e+00      5.178940e-03
          14     -4.939135e+00     -4.961413e+00      5.084645e-03
          15     -4.977576e+00     -4.962490e+00      4.858513e-03
          16     -4.976608e+00     -4.963373e+00      4.634286e-03
          17     -4.949367e+00     -4.962549e+00      4.434304e-03
          18     -4.969013e+00     -4.962908e+00      4.202470e-03
          19     -4.964058e+00     -4.962968e+00      3.981723e-03
          20     -4.945252e+00     -4.962083e+00      3.879916e-03
          21     -4.958644e+00     -4.961919e+00      3.698612e-03
          22     -4.962400e+00     -4.961941e+00      3.530558e-03
          23     -4.981682e+00     -4.962799e+00      3.479824e-03
          24     -4.968149e+00     -4.963022e+00      3.341963e-03
          25     -4.970599e+00     -4.963325e+00      3.221999e-03
          26     -5.015996e+00     -4.965351e+00      3.680242e-03
          27     -4.966695e+00     -4.965401e+00      3.544273e-03
          28     -4.973873e+00     -4.965703e+00      3.430584e-03
          29     -4.982300e+00     -4.966276e+00      3.359687e-03
          30     -4.979120e+00     -4.966704e+00      3.274863e-03
          31     -4.987028e+00     -4.967359e+00      3.234186e-03
          32     -4.935873e+00     -4.966375e+00      3.279374e-03
          33     -4.960420e+00     -4.966195e+00      3.184961e-03
          34     -4.924897e+00     -4.964980e+00      3.314814e-03
          35     -4.945941e+00     -4.964436e+00      3.264437e-03
          36     -4.923171e+00     -4.963290e+00      3.368998e-03
          37     -4.992719e+00     -4.964085e+00      3.370525e-03
          38     -4.957209e+00     -4.963904e+00      3.286680e-03
          39     -4.978787e+00     -4.964286e+00      3.224484e-03
          40     -4.956026e+00     -4.964080e+00      3.150477e-03
          41     -4.950123e+00     -4.963739e+00      3.091971e-03
          42     -4.933675e+00     -4.963023e+00      3.100103e-03
          43     -4.983510e+00     -4.963500e+00      3.064400e-03
          44     -5.017873e+00     -4.964736e+00      3.234337e-03
          45     -4.970290e+00     -4.964859e+00      3.164817e-03
          46     -4.960880e+00     -4.964773e+00      3.097199e-03
          47     -4.943318e+00     -4.964316e+00      3.064755e-03
          48     -4.996258e+00     -4.964982e+00      3.072305e-03
          49     -4.987424e+00     -4.965440e+00      3.043552e-03
          50     -4.984509e+00     -4.965821e+00      3.006482e-03
