#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1      1.982363e+00      1.982363e+00      0.000000e+00
                 2      2.322985e+00      2.152674e+00      1.204282e-01
                 3      2.072397e+00      2.125915e+00      8.320533e-02
                 4      2.174638e+00      2.138096e+00      6.328933e-02
                 5      1.973321e+00      2.105141e+00      5.858643e-02
                 6      2.109651e+00      2.105892e+00      4.882685e-02
                 7      1.941050e+00      2.082344e+00      4.718987e-02
                 8      2.067768e+00      2.080522e+00      4.132629e-02
                 9      2.286972e+00      2.103461e+00      4.262804e-02
                10      2.201902e+00      2.113305e+00      3.948554e-02
                11      2.211197e+00      2.122204e+00      3.688518e-02
                12      2.207870e+00      2.129343e+00      3.449533e-02
                13      2.211852e+00      2.135690e+00      3.242047e-02
                14      1.933345e+00      2.121236e+00      3.317028e-02
                15      2.145744e+00      2.122870e+00      3.099914e-02
                16      2.030796e+00      2.117116e+00      2.959102e-02
                17      2.108964e+00      2.116636e+00      2.785425e-02
                18      2.233174e+00      2.123110e+00      2.704877e-02
                19      2.289711e+00      2.131879e+00      2.700901e-02
                20      2.389288e+00      2.144749e+00      2.856095e-02
                21      1.989562e+00      2.137359e+00      2.814070e-02
                22      2.294648e+00      2.144509e+00      2.775493e-02
                23      2.244217e+00      2.148844e+00      2.688462e-02
                24      2.108831e+00      2.147177e+00      2.581607e-02
                25      2.177935e+00      2.148407e+00      2.481273e-02
                26      2.202763e+00      2.150498e+00      2.394630e-02
                27      2.095420e+00      2.148458e+00      2.314613e-02
                28      2.060079e+00      2.145301e+00      2.253367e-02
                29      2.351914e+00      2.152426e+00      2.285521e-02
                30      2.362556e+00      2.159430e+00      2.314179e-02
                31      2.156197e+00      2.159326e+00      2.239552e-02
                32      2.141319e+00      2.158763e+00      2.170273e-02
                33      2.117445e+00      2.157511e+00      2.108115e-02
                34      2.173921e+00      2.157994e+00      2.046664e-02
                35      2.226708e+00      2.159957e+00      1.997582e-02
                36      2.098050e+00      2.158238e+00      1.949482e-02
                37      2.437029e+00      2.165772e+00      2.037211e-02
                38      2.208099e+00      2.166886e+00      1.986643e-02
                39      2.180322e+00      2.167231e+00      1.936002e-02
                40      2.221767e+00      2.168594e+00      1.892397e-02
                41      2.096077e+00      2.166826e+00      1.854488e-02
                42      2.022297e+00      2.163384e+00      1.841983e-02
                43      2.059342e+00      2.160965e+00      1.814968e-02
                44      2.130113e+00      2.160264e+00      1.775073e-02
                45      2.278193e+00      2.162884e+00      1.754866e-02
                46      2.193626e+00      2.163553e+00      1.717988e-02
                47      2.305305e+00      2.166569e+00      1.707704e-02
                48      2.474959e+00      2.172993e+00      1.788907e-02
                49      2.257015e+00      2.174708e+00      1.760597e-02
                50      1.919055e+00      2.169595e+00      1.798099e-02
