#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.091037e+00      1.091037e+00      0.000000e+00
           2      1.091920e+00      1.091479e+00      3.120983e-04
           3      1.111025e+00      1.097994e+00      5.323783e-03
           4      1.104948e+00      1.099733e+00      4.267254e-03
           5      1.101189e+00      1.100024e+00      3.423729e-03
           6      1.106424e+00      1.101090e+00      3.014699e-03
           7      1.083472e+00      1.098573e+00      3.479571e-03
           8      1.080399e+00      1.096302e+00      3.712941e-03
           9      1.108996e+00      1.097712e+00      3.558221e-03
          10      1.100441e+00      1.097985e+00      3.212849e-03
          11      1.083940e+00      1.096708e+00      3.164339e-03
          12      1.116391e+00      1.098348e+00      3.298477e-03
          13      1.086156e+00      1.097411e+00      3.175290e-03
          14      1.092966e+00      1.097093e+00      2.964312e-03
          15      1.113547e+00      1.098190e+00      2.962704e-03
          16      1.114647e+00      1.099219e+00      2.950675e-03
          17      1.090569e+00      1.098710e+00      2.820635e-03
          18      1.104249e+00      1.099017e+00      2.680666e-03
          19      1.092318e+00      1.098665e+00      2.562664e-03
          20      1.098577e+00      1.098660e+00      2.434534e-03
          21      1.092421e+00      1.098363e+00      2.336663e-03
          22      1.123986e+00      1.099528e+00      2.503937e-03
          23      1.112840e+00      1.100107e+00      2.461051e-03
          24      1.112969e+00      1.100643e+00      2.416152e-03
          25      1.102200e+00      1.100705e+00      2.320309e-03
          26      1.129444e+00      1.101810e+00      2.480418e-03
          27      1.099756e+00      1.101734e+00      2.389717e-03
          28      1.087972e+00      1.101243e+00      2.354376e-03
          29      1.092780e+00      1.100951e+00      2.291205e-03
          30      1.111988e+00      1.101319e+00      2.244175e-03
          31      1.123146e+00      1.102023e+00      2.279560e-03
          32      1.093647e+00      1.101761e+00      2.223301e-03
          33      1.087481e+00      1.101328e+00      2.197636e-03
          34      1.080100e+00      1.100704e+00      2.219919e-03
          35      1.096051e+00      1.100571e+00      2.160470e-03
          36      1.085063e+00      1.100140e+00      2.142976e-03
          37      1.118326e+00      1.100632e+00      2.140679e-03
          38      1.099586e+00      1.100604e+00      2.084522e-03
          39      1.101662e+00      1.100631e+00      2.031249e-03
          40      1.106211e+00      1.100771e+00      1.985252e-03
          41      1.067864e+00      1.099968e+00      2.092790e-03
          42      1.081764e+00      1.099535e+00      2.087364e-03
          43      1.104298e+00      1.099646e+00      2.041758e-03
          44      1.134691e+00      1.100442e+00      2.145088e-03
          45      1.100330e+00      1.100440e+00      2.097420e-03
          46      1.116874e+00      1.100797e+00      2.082032e-03
          47      1.100231e+00      1.100785e+00      2.037768e-03
          48      1.117457e+00      1.101132e+00      2.024699e-03
          49      1.095060e+00      1.101008e+00      1.987167e-03
          50      1.116256e+00      1.101313e+00      1.970683e-03
