#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.341105e+00     -3.341105e+00      0.000000e+00
           2     -3.317864e+00     -3.329485e+00      8.216879e-03
           3     -3.300697e+00     -3.319889e+00      9.559995e-03
           4     -3.326834e+00     -3.321625e+00      7.325959e-03
           5     -3.320259e+00     -3.321352e+00      5.865861e-03
           6     -3.313313e+00     -3.320012e+00      5.038888e-03
           7     -3.333234e+00     -3.321901e+00      4.659622e-03
           8     -3.292626e+00     -3.318241e+00      5.323590e-03
           9     -3.314474e+00     -3.317823e+00      4.748511e-03
          10     -3.316100e+00     -3.317651e+00      4.276784e-03
          11     -3.316850e+00     -3.317578e+00      3.888605e-03
          12     -3.306264e+00     -3.316635e+00      3.677075e-03
          13     -3.321520e+00     -3.317011e+00      3.413367e-03
          14     -3.299686e+00     -3.315773e+00      3.386453e-03
          15     -3.307256e+00     -3.315205e+00      3.207939e-03
          16     -3.304638e+00     -3.314545e+00      3.074679e-03
          17     -3.313514e+00     -3.314484e+00      2.894413e-03
          18     -3.312640e+00     -3.314382e+00      2.735425e-03
          19     -3.325581e+00     -3.314971e+00      2.654200e-03
          20     -3.297386e+00     -3.314092e+00      2.663142e-03
          21     -3.320012e+00     -3.314374e+00      2.551204e-03
          22     -3.276421e+00     -3.312649e+00      2.961624e-03
          23     -3.312422e+00     -3.312639e+00      2.832874e-03
          24     -3.298696e+00     -3.312058e+00      2.773768e-03
          25     -3.317300e+00     -3.312268e+00      2.670730e-03
          26     -3.321830e+00     -3.312635e+00      2.593210e-03
          27     -3.317060e+00     -3.312799e+00      2.502338e-03
          28     -3.341916e+00     -3.313839e+00      2.620138e-03
          29     -3.343131e+00     -3.314849e+00      2.717511e-03
          30     -3.311137e+00     -3.314725e+00      2.629742e-03
          31     -3.302310e+00     -3.314325e+00      2.575229e-03
          32     -3.295403e+00     -3.313734e+00      2.561740e-03
          33     -3.329198e+00     -3.314202e+00      2.526613e-03
          34     -3.304747e+00     -3.313924e+00      2.467559e-03
          35     -3.301865e+00     -3.313580e+00      2.420993e-03
          36     -3.295577e+00     -3.313080e+00      2.404836e-03
          37     -3.315230e+00     -3.313138e+00      2.340542e-03
          38     -3.307831e+00     -3.312998e+00      2.283112e-03
          39     -3.326294e+00     -3.313339e+00      2.249882e-03
          40     -3.296710e+00     -3.312923e+00      2.231713e-03
          41     -3.348327e+00     -3.313787e+00      2.338376e-03
          42     -3.311029e+00     -3.313721e+00      2.283622e-03
          43     -3.327063e+00     -3.314031e+00      2.251495e-03
          44     -3.315837e+00     -3.314072e+00      2.200699e-03
          45     -3.319794e+00     -3.314200e+00      2.155465e-03
          46     -3.285568e+00     -3.313577e+00      2.196637e-03
          47     -3.292971e+00     -3.313139e+00      2.193218e-03
          48     -3.320073e+00     -3.313283e+00      2.152279e-03
          49     -3.344833e+00     -3.313927e+00      2.202562e-03
          50     -3.310125e+00     -3.313851e+00      2.159823e-03
