#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.305190e+00      1.305190e+00      0.000000e+00
           2      1.304940e+00      1.305065e+00      8.814398e-05
           3      1.304525e+00      1.304885e+00      1.582287e-04
           4      1.303945e+00      1.304650e+00      2.356848e-04
           5      1.303199e+00      1.304360e+00      3.208448e-04
           6      1.302288e+00      1.304014e+00      4.132995e-04
           7      1.301214e+00      1.303614e+00      5.125776e-04
           8      1.299975e+00      1.303159e+00      6.182445e-04
           9      1.298574e+00      1.302650e+00      7.299143e-04
          10      1.297011e+00      1.302086e+00      8.471980e-04
          11      1.295286e+00      1.301468e+00      9.698352e-04
          12      1.293403e+00      1.300796e+00      1.097435e-03
          13      1.291366e+00      1.300070e+00      1.229598e-03
          14      1.289168e+00      1.299292e+00      1.366292e-03
          15      1.286816e+00      1.298460e+00      1.507242e-03
          16      1.284309e+00      1.297576e+00      1.652272e-03
          17      1.281651e+00      1.296639e+00      1.801142e-03
          18      1.278838e+00      1.295650e+00      1.953792e-03
          19      1.275878e+00      1.294609e+00      2.109969e-03
          20      1.272769e+00      1.293517e+00      2.269533e-03
          21      1.269513e+00      1.292374e+00      2.432340e-03
          22      1.266116e+00      1.291181e+00      2.598175e-03
          23      1.262492e+00      1.289933e+00      2.768473e-03
          24      1.258628e+00      1.288629e+00      2.944406e-03
          25      1.254590e+00      1.287267e+00      3.125626e-03
          26      1.250203e+00      1.285842e+00      3.314592e-03
          27      1.245621e+00      1.284352e+00      3.510649e-03
          28      1.240731e+00      1.282794e+00      3.714891e-03
          29      1.235686e+00      1.281170e+00      3.925917e-03
          30      1.230487e+00      1.279480e+00      4.142639e-03
          31      1.225138e+00      1.277727e+00      4.364163e-03
          32      1.219636e+00      1.275912e+00      4.589846e-03
          33      1.213987e+00      1.274036e+00      4.819110e-03
          34      1.208194e+00      1.272099e+00      5.051497e-03
          35      1.202260e+00      1.270104e+00      5.286602e-03
          36      1.196190e+00      1.268050e+00      5.524070e-03
          37      1.189856e+00      1.265937e+00      5.764872e-03
          38      1.183165e+00      1.263759e+00      6.010607e-03
          39      1.176336e+00      1.261517e+00      6.260551e-03
          40      1.169376e+00      1.259214e+00      6.514055e-03
          41      1.162218e+00      1.256848e+00      6.771153e-03
          42      1.154664e+00      1.254415e+00      7.033461e-03
          43      1.146985e+00      1.251917e+00      7.300148e-03
          44      1.139185e+00      1.249355e+00      7.570494e-03
          45      1.131272e+00      1.246731e+00      7.843857e-03
          46      1.123250e+00      1.244046e+00      8.119684e-03
          47      1.115124e+00      1.241303e+00      8.397479e-03
          48      1.106902e+00      1.238503e+00      8.676796e-03
          49      1.098591e+00      1.235648e+00      8.957222e-03
          50      1.090196e+00      1.232739e+00      9.238390e-03
          51      1.081725e+00      1.229778e+00      9.519959e-03
