#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -5.892448e+00     -5.892448e+00      0.000000e+00
           2     -5.892153e+00     -5.892300e+00      1.044021e-04
           3     -5.891661e+00     -5.892087e+00      1.873564e-04
           4     -5.890974e+00     -5.891809e+00      2.789920e-04
           5     -5.890092e+00     -5.891465e+00      3.797201e-04
           6     -5.889014e+00     -5.891057e+00      4.890831e-04
           7     -5.887742e+00     -5.890583e+00      6.065568e-04
           8     -5.886276e+00     -5.890045e+00      7.316669e-04
           9     -5.883970e+00     -5.889370e+00      9.099685e-04
          10     -5.882118e+00     -5.888645e+00      1.069572e-03
          11     -5.878782e+00     -5.887748e+00      1.294724e-03
          12     -5.875254e+00     -5.886707e+00      1.549937e-03
          13     -5.872177e+00     -5.885589e+00      1.788854e-03
          14     -5.868265e+00     -5.884352e+00      2.044776e-03
          15     -5.864158e+00     -5.883006e+00      2.309518e-03
          16     -5.858886e+00     -5.881498e+00      2.611204e-03
          17     -5.854392e+00     -5.879904e+00      2.903909e-03
          18     -5.848737e+00     -5.878172e+00      3.217648e-03
          19     -5.843532e+00     -5.876349e+00      3.527194e-03
          20     -5.836837e+00     -5.874373e+00      3.864709e-03
          21     -5.829947e+00     -5.872258e+00      4.220163e-03
          22     -5.823503e+00     -5.870042e+00      4.573339e-03
          23     -5.815691e+00     -5.867679e+00      4.947483e-03
          24     -5.810740e+00     -5.865306e+00      5.279612e-03
          25     -5.805636e+00     -5.862919e+00      5.581928e-03
          26     -5.797730e+00     -5.860412e+00      5.903553e-03
          27     -5.791007e+00     -5.857842e+00      6.219423e-03
          28     -5.783694e+00     -5.855193e+00      6.536799e-03
          29     -5.777182e+00     -5.852503e+00      6.842552e-03
          30     -5.769207e+00     -5.849727e+00      7.155654e-03
          31     -5.763002e+00     -5.846929e+00      7.451652e-03
          32     -5.756955e+00     -5.844118e+00      7.731077e-03
          33     -5.751379e+00     -5.841307e+00      7.991263e-03
          34     -5.744982e+00     -5.838474e+00      8.243141e-03
          35     -5.737762e+00     -5.835597e+00      8.495018e-03
          36     -5.731335e+00     -5.832701e+00      8.738801e-03
          37     -5.724278e+00     -5.829770e+00      8.980493e-03
          38     -5.717707e+00     -5.826821e+00      9.215653e-03
          39     -5.710651e+00     -5.823842e+00      9.448498e-03
          40     -5.703750e+00     -5.820840e+00      9.677536e-03
          41     -5.697435e+00     -5.817830e+00      9.898503e-03
          42     -5.690713e+00     -5.814804e+00      1.011496e-02
          43     -5.684157e+00     -5.811765e+00      1.032597e-02
          44     -5.676470e+00     -5.808690e+00      1.053917e-02
          45     -5.669592e+00     -5.805599e+00      1.074871e-02
          46     -5.662553e+00     -5.802490e+00      1.095565e-02
          47     -5.655350e+00     -5.799359e+00      1.116089e-02
          48     -5.647013e+00     -5.796185e+00      1.137070e-02
          49     -5.639803e+00     -5.792994e+00      1.157787e-02
          50     -5.632104e+00     -5.789776e+00      1.178499e-02
          51     -5.624561e+00     -5.786536e+00      1.199089e-02
          52     -5.616955e+00     -5.783275e+00      1.219571e-02
          53     -5.608022e+00     -5.779969e+00      1.240578e-02
          54     -5.600666e+00     -5.776648e+00      1.261258e-02
          55     -5.592991e+00     -5.773309e+00      1.281767e-02
          56     -5.584198e+00     -5.769932e+00      1.302605e-02
          57     -5.577198e+00     -5.766551e+00      1.322910e-02
          58     -5.569728e+00     -5.763157e+00      1.342921e-02
          59     -5.562110e+00     -5.759750e+00      1.362706e-02
          60     -5.554667e+00     -5.756331e+00      1.382197e-02
          61     -5.547077e+00     -5.752901e+00      1.401460e-02
          62     -5.539016e+00     -5.749451e+00      1.420680e-02
          63     -5.530807e+00     -5.745981e+00      1.439896e-02
          64     -5.523043e+00     -5.742497e+00      1.458925e-02
          65     -5.516742e+00     -5.739024e+00      1.477243e-02
          66     -5.511417e+00     -5.735576e+00      1.494572e-02
          67     -5.506402e+00     -5.732155e+00      1.510899e-02
          68     -5.500342e+00     -5.728746e+00      1.526654e-02
          69     -5.494854e+00     -5.725356e+00      1.541702e-02
          70     -5.489615e+00     -5.721989e+00      1.556026e-02
          71     -5.484047e+00     -5.718637e+00      1.569785e-02
          72     -5.478879e+00     -5.715307e+00      1.582907e-02
          73     -5.474295e+00     -5.712006e+00      1.595283e-02
          74     -5.469650e+00     -5.708731e+00      1.606992e-02
          75     -5.464619e+00     -5.705476e+00      1.618191e-02
          76     -5.459530e+00     -5.702240e+00      1.628937e-02
          77     -5.454706e+00     -5.699025e+00      1.639196e-02
          78     -5.450512e+00     -5.695839e+00      1.648853e-02
          79     -5.446791e+00     -5.692687e+00      1.657845e-02
          80     -5.442707e+00     -5.689562e+00      1.666310e-02
          81     -5.438909e+00     -5.686467e+00      1.674225e-02
          82     -5.434750e+00     -5.683398e+00      1.681714e-02
          83     -5.431206e+00     -5.680359e+00      1.688678e-02
          84     -5.427269e+00     -5.677346e+00      1.695241e-02
          85     -5.423877e+00     -5.674364e+00      1.701322e-02
          86     -5.420784e+00     -5.671416e+00      1.706899e-02
          87     -5.418955e+00     -5.668514e+00      1.711769e-02
          88     -5.418066e+00     -5.665668e+00      1.715813e-02
          89     -5.416523e+00     -5.662868e+00      1.719218e-02
          90     -5.414975e+00     -5.660114e+00      1.722039e-02
          91     -5.414068e+00     -5.657410e+00      1.724211e-02
          92     -5.413156e+00     -5.654755e+00      1.725789e-02
          93     -5.412238e+00     -5.652147e+00      1.726821e-02
          94     -5.410991e+00     -5.649582e+00      1.727403e-02
          95     -5.409739e+00     -5.647057e+00      1.727571e-02
          96     -5.408805e+00     -5.644576e+00      1.727310e-02
          97     -5.407866e+00     -5.642135e+00      1.726654e-02
          98     -5.406599e+00     -5.639732e+00      1.725682e-02
          99     -5.405003e+00     -5.637361e+00      1.724462e-02
         100     -5.404049e+00     -5.635028e+00      1.722928e-02
         101     -5.402444e+00     -5.632725e+00      1.721190e-02
         102     -5.401805e+00     -5.630461e+00      1.719140e-02
         103     -5.400516e+00     -5.628228e+00      1.716883e-02
         104     -5.399222e+00     -5.626026e+00      1.714437e-02
         105     -5.398247e+00     -5.623857e+00      1.711779e-02
         106     -5.397268e+00     -5.621720e+00      1.708925e-02
         107     -5.395962e+00     -5.619610e+00      1.705929e-02
         108     -5.394974e+00     -5.617530e+00      1.702766e-02
         109     -5.393982e+00     -5.615479e+00      1.699450e-02
         110     -5.393310e+00     -5.613459e+00      1.695960e-02
         111     -5.392310e+00     -5.611467e+00      1.692343e-02
         112     -5.391305e+00     -5.609501e+00      1.688611e-02
         113     -5.390298e+00     -5.607561e+00      1.684773e-02
         114     -5.389609e+00     -5.605649e+00      1.680807e-02
         115     -5.388270e+00     -5.603759e+00      1.676786e-02
         116     -5.387573e+00     -5.601895e+00      1.672656e-02
         117     -5.386549e+00     -5.600055e+00      1.668456e-02
         118     -5.384227e+00     -5.598226e+00      1.664312e-02
         119     -5.383194e+00     -5.596419e+00      1.660107e-02
         120     -5.381835e+00     -5.594631e+00      1.655875e-02
         121     -5.380147e+00     -5.592858e+00      1.651651e-02
         122     -5.379751e+00     -5.591111e+00      1.647324e-02
         123     -5.379352e+00     -5.589390e+00      1.642902e-02
         124     -5.378300e+00     -5.587687e+00      1.638449e-02
         125     -5.377959e+00     -5.586009e+00      1.633910e-02
         126     -5.377957e+00     -5.584358e+00      1.629264e-02
         127     -5.377954e+00     -5.582733e+00      1.624521e-02
         128     -5.377952e+00     -5.581133e+00      1.619688e-02
         129     -5.377626e+00     -5.579556e+00      1.614797e-02
         130     -5.377624e+00     -5.578002e+00      1.609829e-02
         131     -5.377621e+00     -5.576473e+00      1.604791e-02
         132     -5.377296e+00     -5.574964e+00      1.599712e-02
         133     -5.377941e+00     -5.573482e+00      1.594528e-02
         134     -5.378262e+00     -5.572025e+00      1.589270e-02
         135     -5.378260e+00     -5.570590e+00      1.583965e-02
         136     -5.378258e+00     -5.569176e+00      1.578619e-02
         137     -5.377932e+00     -5.567780e+00      1.573256e-02
         138     -5.377606e+00     -5.566402e+00      1.567880e-02
         139     -5.377928e+00     -5.565046e+00      1.562452e-02
         140     -5.377601e+00     -5.563707e+00      1.557018e-02
         141     -5.377277e+00     -5.562385e+00      1.551579e-02
         142     -5.377921e+00     -5.561086e+00      1.546081e-02
         143     -5.377919e+00     -5.559805e+00      1.540566e-02
         144     -5.377916e+00     -5.558542e+00      1.535037e-02
         145     -5.377267e+00     -5.557292e+00      1.529533e-02
         146     -5.377265e+00     -5.556059e+00      1.524019e-02
         147     -5.376939e+00     -5.554840e+00      1.518515e-02
         148     -5.376937e+00     -5.553638e+00      1.513005e-02
         149     -5.376612e+00     -5.552450e+00      1.507508e-02
         150     -5.376610e+00     -5.551278e+00      1.502009e-02
         151     -5.377784e+00     -5.550129e+00      1.496450e-02
         152     -5.378890e+00     -5.549002e+00      1.490839e-02
         153     -5.379967e+00     -5.547897e+00      1.485183e-02
         154     -5.381015e+00     -5.546814e+00      1.479487e-02
         155     -5.382036e+00     -5.545751e+00      1.473757e-02
         156     -5.383676e+00     -5.544712e+00      1.467967e-02
         157     -5.384965e+00     -5.543694e+00      1.462139e-02
         158     -5.385905e+00     -5.542696e+00      1.456291e-02
         159     -5.386494e+00     -5.541713e+00      1.450442e-02
         160     -5.387057e+00     -5.540747e+00      1.444594e-02
         161     -5.387272e+00     -5.539793e+00      1.438763e-02
         162     -5.388109e+00     -5.538857e+00      1.432925e-02
         163     -5.388598e+00     -5.537935e+00      1.427097e-02
         164     -5.389388e+00     -5.537029e+00      1.421266e-02
         165     -5.390152e+00     -5.536139e+00      1.415437e-02
         166     -5.390247e+00     -5.535260e+00      1.409637e-02
         167     -5.390965e+00     -5.534396e+00      1.403841e-02
         168     -5.391662e+00     -5.533547e+00      1.398054e-02
         169     -5.392660e+00     -5.532713e+00      1.392264e-02
         170     -5.393312e+00     -5.531893e+00      1.386487e-02
         171     -5.393942e+00     -5.531086e+00      1.380724e-02
         172     -5.394552e+00     -5.530292e+00      1.374977e-02
         173     -5.395139e+00     -5.529511e+00      1.369247e-02
         174     -5.395706e+00     -5.528742e+00      1.363535e-02
         175     -5.396253e+00     -5.527985e+00      1.357844e-02
         176     -5.396779e+00     -5.527240e+00      1.352173e-02
         177     -5.396960e+00     -5.526504e+00      1.346536e-02
         178     -5.397122e+00     -5.525777e+00      1.340931e-02
         179     -5.397700e+00     -5.525061e+00      1.335348e-02
         180     -5.398606e+00     -5.524359e+00      1.329776e-02
         181     -5.399459e+00     -5.523669e+00      1.324218e-02
         182     -5.400584e+00     -5.522992e+00      1.318668e-02
         183     -5.401331e+00     -5.522328e+00      1.313137e-02
         184     -5.402352e+00     -5.521676e+00      1.307618e-02
