#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                 1      1.201342e+00      1.201342e+00      0.000000e+00
                 2      1.201965e+00      1.201654e+00      2.203999e-04
                 3      1.206776e+00      1.203361e+00      1.401881e-03
                 4      1.204426e+00      1.203628e+00      1.076404e-03
                 5      1.192704e+00      1.201443e+00      2.135343e-03
                 6      1.203218e+00      1.201739e+00      1.799839e-03
                 7      1.200346e+00      1.201540e+00      1.553678e-03
                 8      1.212553e+00      1.202917e+00      1.872564e-03
                 9      1.180967e+00      1.200478e+00      2.838603e-03
                10      1.210802e+00      1.201510e+00      2.736056e-03
                11      1.208155e+00      1.202114e+00      2.553133e-03
                12      1.193350e+00      1.201384e+00      2.442594e-03
                13      1.208339e+00      1.201919e+00      2.312547e-03
                14      1.204562e+00      1.202108e+00      2.155057e-03
                15      1.205141e+00      1.202310e+00      2.020855e-03
                16      1.197721e+00      1.202023e+00      1.914794e-03
                17      1.204460e+00      1.202166e+00      1.807519e-03
                18      1.201685e+00      1.202140e+00      1.707299e-03
                19      1.191117e+00      1.201560e+00      1.713172e-03
                20      1.209710e+00      1.201967e+00      1.675287e-03
                21      1.189898e+00      1.201392e+00      1.691220e-03
                22      1.197621e+00      1.201221e+00      1.623010e-03
                23      1.201652e+00      1.201240e+00      1.552552e-03
                24      1.199086e+00      1.201150e+00      1.490455e-03
                25      1.200398e+00      1.201120e+00      1.431140e-03
                26      1.200069e+00      1.201079e+00      1.376666e-03
                27      1.208612e+00      1.201358e+00      1.353652e-03
                28      1.199434e+00      1.201290e+00      1.307051e-03
                29      1.203680e+00      1.201372e+00      1.264576e-03
                30      1.200788e+00      1.201353e+00      1.222573e-03
                31      1.203947e+00      1.201436e+00      1.185995e-03
                32      1.196194e+00      1.201273e+00      1.160192e-03
                33      1.197011e+00      1.201143e+00      1.132198e-03
                34      1.200770e+00      1.201132e+00      1.098951e-03
                35      1.205814e+00      1.201266e+00      1.075664e-03
                36      1.201806e+00      1.201281e+00      1.045889e-03
                37      1.208975e+00      1.201489e+00      1.038086e-03
                38      1.198575e+00      1.201412e+00      1.013596e-03
                39      1.199118e+00      1.201354e+00      9.893128e-04
                40      1.199394e+00      1.201305e+00      9.657922e-04
                41      1.212520e+00      1.201578e+00      9.802069e-04
                42      1.203955e+00      1.201635e+00      9.585011e-04
                43      1.183574e+00      1.201215e+00      1.024111e-03
                44      1.202599e+00      1.201246e+00      1.001318e-03
                45      1.191974e+00      1.201040e+00      1.000044e-03
                46      1.215178e+00      1.201347e+00      1.024445e-03
                47      1.191504e+00      1.201138e+00      1.023831e-03
                48      1.217387e+00      1.201477e+00      1.056984e-03
                49      1.194580e+00      1.201336e+00      1.044742e-03
                50      1.211193e+00      1.201533e+00      1.042281e-03
