#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -6.625862e+00     -6.625862e+00      0.000000e+00
           2     -6.626908e+00     -6.626385e+00      3.699126e-04
           3     -6.617242e+00     -6.623337e+00      2.500652e-03
           4     -6.609685e+00     -6.619924e+00      3.500539e-03
           5     -6.624991e+00     -6.620938e+00      2.943456e-03
           6     -6.619828e+00     -6.620753e+00      2.458679e-03
           7     -6.620805e+00     -6.620760e+00      2.107450e-03
           8     -6.618178e+00     -6.620437e+00      1.868578e-03
           9     -6.620348e+00     -6.620427e+00      1.660984e-03
          10     -6.621490e+00     -6.620534e+00      1.498278e-03
          11     -6.623247e+00     -6.620780e+00      1.382234e-03
          12     -6.617952e+00     -6.620545e+00      1.286988e-03
          13     -6.628481e+00     -6.621155e+00      1.324899e-03
          14     -6.626014e+00     -6.621502e+00      1.274909e-03
          15     -6.623201e+00     -6.621615e+00      1.194934e-03
          16     -6.618894e+00     -6.621445e+00      1.132292e-03
          17     -6.620265e+00     -6.621376e+00      1.067814e-03
          18     -6.627865e+00     -6.621736e+00      1.067615e-03
          19     -6.620614e+00     -6.621677e+00      1.013057e-03
          20     -6.619621e+00     -6.621575e+00      9.676096e-04
          21     -6.623661e+00     -6.621674e+00      9.266184e-04
          22     -6.620524e+00     -6.621622e+00      8.859731e-04
          23     -6.629732e+00     -6.621974e+00      9.149324e-04
          24     -6.628216e+00     -6.622234e+00      9.130265e-04
          25     -6.619577e+00     -6.622128e+00      8.826691e-04
          26     -6.623556e+00     -6.622183e+00      8.504284e-04
          27     -6.617134e+00     -6.621996e+00      8.392411e-04
          28     -6.628547e+00     -6.622230e+00      8.412498e-04
          29     -6.619401e+00     -6.622132e+00      8.178758e-04
          30     -6.629024e+00     -6.622362e+00      8.222380e-04
          31     -6.617359e+00     -6.622201e+00      8.113990e-04
          32     -6.624892e+00     -6.622285e+00      7.903891e-04
          33     -6.626125e+00     -6.622401e+00      7.749584e-04
          34     -6.621305e+00     -6.622369e+00      7.528363e-04
          35     -6.626161e+00     -6.622477e+00      7.390801e-04
          36     -6.619220e+00     -6.622387e+00      7.240683e-04
          37     -6.624212e+00     -6.622436e+00      7.061781e-04
          38     -6.621253e+00     -6.622405e+00      6.882808e-04
          39     -6.626564e+00     -6.622512e+00      6.788427e-04
          40     -6.616376e+00     -6.622358e+00      6.789807e-04
          41     -6.623151e+00     -6.622378e+00      6.626956e-04
          42     -6.623818e+00     -6.622412e+00      6.478042e-04
          43     -6.619989e+00     -6.622355e+00      6.351850e-04
          44     -6.619146e+00     -6.622283e+00      6.249221e-04
          45     -6.622608e+00     -6.622290e+00      6.110769e-04
          46     -6.629431e+00     -6.622445e+00      6.171992e-04
          47     -6.621087e+00     -6.622416e+00      6.047434e-04
          48     -6.623105e+00     -6.622430e+00      5.923148e-04
          49     -6.620140e+00     -6.622384e+00      5.820691e-04
          50     -6.613576e+00     -6.622208e+00      5.964871e-04
