#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      9.815762e+00      9.815762e+00      0.000000e+00
           2      9.798313e+00      9.807038e+00      6.169098e-03
           3      9.827951e+00      9.814009e+00      7.022197e-03
           4      9.874210e+00      9.829059e+00      1.405774e-02
           5      9.817017e+00      9.826651e+00      1.145063e-02
           6      9.851919e+00      9.830862e+00      1.028754e-02
           7      9.835503e+00      9.831525e+00      8.839222e-03
           8      9.856200e+00      9.834609e+00      8.254913e-03
           9      9.850350e+00      9.836358e+00      7.520698e-03
          10      9.841641e+00      9.836887e+00      6.787153e-03
          11      9.799147e+00      9.833456e+00      6.983661e-03
          12      9.819740e+00      9.832313e+00      6.494548e-03
          13      9.783566e+00      9.828563e+00      6.994204e-03
          14      9.821927e+00      9.828089e+00      6.510659e-03
          15      9.818094e+00      9.827423e+00      6.110619e-03
          16      9.853007e+00      9.829022e+00      5.934229e-03
          17      9.843406e+00      9.829868e+00      5.645155e-03
          18      9.792724e+00      9.827804e+00      5.696217e-03
          19      9.826361e+00      9.827728e+00      5.396922e-03
          20      9.829452e+00      9.827814e+00      5.127764e-03
          21      9.793664e+00      9.826188e+00      5.134975e-03
          22      9.825848e+00      9.826173e+00      4.901590e-03
          23      9.789247e+00      9.824567e+00      4.944415e-03
          24      9.829249e+00      9.824762e+00      4.742245e-03
          25      9.856744e+00      9.826042e+00      4.721954e-03
          26      9.807977e+00      9.825347e+00      4.591172e-03
          27      9.854051e+00      9.826410e+00      4.542547e-03
          28      9.800915e+00      9.825499e+00      4.470638e-03
          29      9.836736e+00      9.825887e+00      4.333237e-03
          30      9.796499e+00      9.824907e+00      4.298097e-03
          31      9.863341e+00      9.826147e+00      4.334569e-03
          32      9.791392e+00      9.825061e+00      4.333046e-03
          33      9.793535e+00      9.824106e+00      4.305769e-03
          34      9.852955e+00      9.824954e+00      4.261915e-03
          35      9.787608e+00      9.823887e+00      4.271630e-03
          36      9.833988e+00      9.824168e+00      4.162178e-03
          37      9.814926e+00      9.823918e+00      4.057174e-03
          38      9.814904e+00      9.823681e+00      3.957336e-03
          39      9.810293e+00      9.823337e+00      3.870725e-03
          40      9.848985e+00      9.823979e+00      3.826693e-03
          41      9.816469e+00      9.823795e+00      3.737740e-03
          42      9.809425e+00      9.823453e+00      3.664372e-03
          43      9.826933e+00      9.823534e+00      3.580048e-03
          44      9.834695e+00      9.823788e+00      3.507657e-03
          45      9.827543e+00      9.823871e+00      3.430701e-03
          46      9.797066e+00      9.823289e+00      3.405252e-03
          47      9.819897e+00      9.823216e+00      3.333564e-03
          48      9.812174e+00      9.822986e+00      3.272043e-03
          49      9.830703e+00      9.823144e+00      3.209055e-03
          50      9.854908e+00      9.823779e+00      3.207140e-03
