#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      8.049278e-01      8.049278e-01      0.000000e+00
           2      7.982888e-01      8.016083e-01      2.347256e-03
           3      7.976730e-01      8.002965e-01      1.896282e-03
           4      7.887563e-01      7.974115e-01      2.874946e-03
           5      8.026811e-01      7.984654e-01      2.485643e-03
           6      8.010369e-01      7.988940e-01      2.107994e-03
           7      7.975675e-01      7.987045e-01      1.815350e-03
           8      8.019533e-01      7.991106e-01      1.633224e-03
           9      8.075376e-01      8.000469e-01      1.699088e-03
          10      8.053206e-01      8.005743e-01      1.608942e-03
          11      7.946220e-01      8.000332e-01      1.551002e-03
          12      7.849067e-01      7.987726e-01      1.864918e-03
          13      8.076521e-01      7.994557e-01      1.842304e-03
          14      8.047304e-01      7.998324e-01      1.748812e-03
          15      7.976775e-01      7.996888e-01      1.638114e-03
          16      7.974667e-01      7.995499e-01      1.541608e-03
          17      8.032902e-01      7.997699e-01      1.466542e-03
          18      8.110890e-01      8.003987e-01      1.513895e-03
          19      8.056122e-01      8.006731e-01      1.458871e-03
          20      7.994990e-01      8.006144e-01      1.387108e-03
          21      7.993698e-01      8.005552e-01      1.322321e-03
          22      8.011455e-01      8.005820e-01      1.262488e-03
          23      7.994850e-01      8.005343e-01      1.208498e-03
          24      8.095904e-01      8.009116e-01      1.215627e-03
          25      8.009228e-01      8.009121e-01      1.167002e-03
          26      7.988037e-01      8.008310e-01      1.124931e-03
          27      8.036873e-01      8.009368e-01      1.088230e-03
          28      8.031988e-01      8.010176e-01      1.052359e-03
          29      7.970404e-01      8.008804e-01      1.024968e-03
          30      8.076606e-01      8.011064e-01      1.015414e-03
          31      7.960799e-01      8.009443e-01      9.955205e-04
          32      7.938682e-01      8.007232e-01      9.886642e-04
          33      8.101907e-01      8.010101e-01      9.994645e-04
          34      8.006559e-01      8.009996e-01      9.701227e-04
          35      7.977226e-01      8.009060e-01      9.469123e-04
          36      8.021583e-01      8.009408e-01      9.212479e-04
          37      7.974561e-01      8.008466e-01      9.011506e-04
          38      8.010637e-01      8.008523e-01      8.774542e-04
          39      8.090776e-01      8.010632e-01      8.799367e-04
          40      8.017233e-01      8.010797e-01      8.580930e-04
          41      8.010713e-01      8.010795e-01      8.371639e-04
          42      7.962208e-01      8.009638e-01      8.251858e-04
          43      8.001150e-01      8.009441e-01      8.062315e-04
          44      7.894934e-01      8.006839e-01      8.288462e-04
          45      7.999034e-01      8.006665e-01      8.106088e-04
          46      8.071508e-01      8.008075e-01      8.051503e-04
          47      7.894831e-01      8.005665e-01      8.232821e-04
          48      7.979781e-01      8.005126e-01      8.078945e-04
          49      8.038785e-01      8.005813e-01      7.943217e-04
          50      7.929553e-01      8.004288e-01      7.929431e-04
