#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -5.418470e+00     -5.418470e+00      0.000000e+00
           2     -5.429475e+00     -5.423972e+00      3.890797e-03
           3     -5.420732e+00     -5.422892e+00      2.739677e-03
           4     -5.426551e+00     -5.423807e+00      2.202134e-03
           5     -5.420969e+00     -5.423239e+00      1.833383e-03
           6     -5.418273e+00     -5.422412e+00      1.704462e-03
           7     -5.424454e+00     -5.422703e+00      1.485717e-03
           8     -5.415248e+00     -5.421771e+00      1.565249e-03
           9     -5.409042e+00     -5.420357e+00      1.927174e-03
          10     -5.413509e+00     -5.419672e+00      1.852146e-03
          11     -5.431314e+00     -5.420731e+00      1.963017e-03
          12     -5.440592e+00     -5.422386e+00      2.397716e-03
          13     -5.417003e+00     -5.421972e+00      2.248743e-03
          14     -5.418918e+00     -5.421754e+00      2.098667e-03
          15     -5.426685e+00     -5.422082e+00      1.984336e-03
          16     -5.422694e+00     -5.422121e+00      1.860683e-03
          17     -5.415330e+00     -5.421721e+00      1.793600e-03
          18     -5.411232e+00     -5.421138e+00      1.786116e-03
          19     -5.412196e+00     -5.420668e+00      1.753020e-03
          20     -5.420372e+00     -5.420653e+00      1.665431e-03
          21     -5.424606e+00     -5.420841e+00      1.596728e-03
          22     -5.418805e+00     -5.420749e+00      1.526828e-03
          23     -5.430504e+00     -5.421173e+00      1.518215e-03
          24     -5.413830e+00     -5.420867e+00      1.485460e-03
          25     -5.418193e+00     -5.420760e+00      1.429886e-03
          26     -5.425351e+00     -5.420936e+00      1.385751e-03
          27     -5.411603e+00     -5.420591e+00      1.376871e-03
          28     -5.423749e+00     -5.420704e+00      1.332309e-03
          29     -5.423841e+00     -5.420812e+00      1.290752e-03
          30     -5.417533e+00     -5.420702e+00      1.252346e-03
          31     -5.423239e+00     -5.420784e+00      1.214618e-03
          32     -5.434090e+00     -5.421200e+00      1.245797e-03
          33     -5.410839e+00     -5.420886e+00      1.246981e-03
          34     -5.420321e+00     -5.420869e+00      1.210416e-03
          35     -5.429577e+00     -5.421118e+00      1.201126e-03
          36     -5.415982e+00     -5.420976e+00      1.176203e-03
          37     -5.428028e+00     -5.421166e+00      1.159756e-03
          38     -5.419657e+00     -5.421126e+00      1.129916e-03
          39     -5.412947e+00     -5.420917e+00      1.120238e-03
          40     -5.413791e+00     -5.420739e+00      1.106306e-03
          41     -5.421544e+00     -5.420758e+00      1.079497e-03
          42     -5.429487e+00     -5.420966e+00      1.073614e-03
          43     -5.419816e+00     -5.420939e+00      1.048979e-03
          44     -5.434906e+00     -5.421257e+00      1.072092e-03
          45     -5.422753e+00     -5.421290e+00      1.048784e-03
          46     -5.418705e+00     -5.421234e+00      1.027488e-03
          47     -5.436862e+00     -5.421566e+00      1.058065e-03
          48     -5.426138e+00     -5.421662e+00      1.040300e-03
          49     -5.414322e+00     -5.421512e+00      1.029797e-03
          50     -5.424143e+00     -5.421564e+00      1.010545e-03
