#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     -1.600000e-01     -1.600000e-01      0.000000e+00
           2     -2.000000e-01     -1.800000e-01      1.414214e-02
           3     -2.800000e-01     -2.133333e-01      2.880329e-02
           4     -3.200000e-01     -2.400000e-01      3.162278e-02
           5     -2.400000e-01     -2.400000e-01      2.529822e-02
           6     -2.000000e-01     -2.333333e-01      2.194269e-02
           7     -1.200000e-01     -2.171429e-01      2.405048e-02
           8     -4.000000e-02     -1.950000e-01      2.952753e-02
           9      4.000000e-02     -1.688889e-01      3.598506e-02
          10     -4.000000e-02     -1.560000e-01      3.461791e-02
          11     -2.000000e-01     -1.600000e-01      3.170108e-02
          12     -1.200000e-01     -1.566667e-01      2.923405e-02
          13      0.000000e+00     -1.446154e-01      2.936438e-02
          14      8.000000e-02     -1.285714e-01      3.134497e-02
          15      1.200000e-01     -1.120000e-01      3.334933e-02
          16      2.400000e-01     -9.000000e-02      3.783186e-02
          17      8.000000e-02     -8.000000e-02      3.690444e-02
          18     -8.000000e-02     -8.000000e-02      3.485419e-02
          19     -4.000000e-02     -7.789474e-02      3.308328e-02
          20     -4.000000e-02     -7.600000e-02      3.148333e-02
          21     -1.200000e-01     -7.809524e-02      3.005376e-02
          22      0.000000e+00     -7.454545e-02      2.889656e-02
          23     -1.200000e-01     -7.652174e-02      2.770769e-02
          24     -2.000000e-01     -8.166667e-02      2.702665e-02
          25     -2.400000e-01     -8.800000e-02      2.667733e-02
          26     -2.800000e-01     -9.538462e-02      2.665377e-02
          27     -3.200000e-01     -1.037037e-01      2.693358e-02
          28     -3.600000e-01     -1.128571e-01      2.748310e-02
          29     -4.000000e-01     -1.227586e-01      2.826281e-02
          30     -5.200000e-01     -1.360000e-01      3.026402e-02
          31     -6.400000e-01     -1.522581e-01      3.337021e-02
          32     -7.600000e-01     -1.712500e-01      3.734277e-02
          33     -8.000000e-01     -1.903030e-01      4.078316e-02
          34     -8.400000e-01     -2.094118e-01      4.383230e-02
          35     -7.600000e-01     -2.251429e-01      4.531499e-02
          36     -6.800000e-01     -2.377778e-01      4.578383e-02
          37     -7.600000e-01     -2.518919e-01      4.667128e-02
          38     -7.200000e-01     -2.642105e-01      4.704073e-02
          39     -6.000000e-01     -2.728205e-01      4.661585e-02
          40     -5.600000e-01     -2.800000e-01      4.600000e-02
          41     -5.600000e-01     -2.868293e-01      4.538216e-02
          42     -6.000000e-01     -2.942857e-01      4.491002e-02
          43     -4.400000e-01     -2.976744e-01      4.399326e-02
          44     -4.800000e-01     -3.018182e-01      4.318812e-02
          45     -4.000000e-01     -3.040000e-01      4.228346e-02
          46     -2.800000e-01     -3.034783e-01      4.136748e-02
          47     -1.200000e-01     -2.995745e-01      4.067110e-02
          48      0.000000e+00     -2.933333e-01      4.029980e-02
          49     -4.000000e-02     -2.881633e-01      3.980761e-02
          50     -4.000000e-02     -2.832000e-01      3.931965e-02
          51     -1.200000e-01     -2.800000e-01      3.867868e-02
          52     -8.000000e-02     -2.761538e-01      3.812560e-02
          53     -2.000000e-01     -2.747170e-01      3.743332e-02
          54     -8.000000e-02     -2.711111e-01      3.691337e-02
          55     -8.000000e-02     -2.676364e-01      3.640540e-02
          56     -8.000000e-02     -2.642857e-01      3.590916e-02
          57     -2.000000e-01     -2.631579e-01      3.529688e-02
          58     -2.800000e-01     -2.634483e-01      3.468951e-02
          59     -1.600000e-01     -2.616949e-01      3.414584e-02
          60     -8.000000e-02     -2.586667e-01      3.371075e-02
          61      2.000000e-01     -2.511475e-01      3.398634e-02
          62      2.000000e-01     -2.438710e-01      3.420827e-02
          63      2.000000e-01     -2.368254e-01      3.438318e-02
          64      1.200000e-01     -2.312500e-01      3.429501e-02
          65      8.000000e-02     -2.264615e-01      3.410005e-02
          66      2.000000e-01     -2.200000e-01      3.419009e-02
          67      4.000000e-02     -2.161194e-01      3.389930e-02
          68      1.600000e-01     -2.105882e-01      3.384902e-02
          69      8.000000e-02     -2.063768e-01      3.361942e-02
          70      2.400000e-01     -2.000000e-01      3.373849e-02
          71      2.000000e-01     -1.943662e-01      3.373040e-02
          72      2.000000e-01     -1.888889e-01      3.370370e-02
          73      2.400000e-01     -1.830137e-01      3.375020e-02
          74      3.600000e-01     -1.756757e-01      3.408251e-02
          75      2.000000e-01     -1.706667e-01      3.399416e-02
          76      3.200000e-01     -1.642105e-01      3.415444e-02
          77      3.600000e-01     -1.574026e-01      3.438269e-02
          78      3.600000e-01     -1.507692e-01      3.457584e-02
          79      2.800000e-01     -1.453165e-01      3.456546e-02
          80      4.000000e-01     -1.385000e-01      3.479902e-02
          81      4.000000e-01     -1.318519e-01      3.499869e-02
          82      5.200000e-01     -1.239024e-01      3.546318e-02
          83      5.600000e-01     -1.156627e-01      3.598043e-02
          84      4.000000e-01     -1.095238e-01      3.607198e-02
          85      4.800000e-01     -1.025882e-01      3.630824e-02
          86      5.200000e-01     -9.534884e-02      3.660065e-02
          87      5.200000e-01     -8.827586e-02      3.685704e-02
          88      5.200000e-01     -8.136364e-02      3.708071e-02
          89      4.800000e-01     -7.505618e-02      3.719665e-02
          90      4.800000e-01     -6.888889e-02      3.729113e-02
          91      3.600000e-01     -6.417582e-02      3.717797e-02
          92      3.600000e-01     -5.956522e-02      3.705865e-02
          93      2.800000e-01     -5.591398e-02      3.683961e-02
          94      2.800000e-01     -5.234043e-02      3.662061e-02
          95      3.600000e-01     -4.800000e-02      3.649144e-02
          96      3.200000e-01     -4.416667e-02      3.631211e-02
          97      4.400000e-01     -3.917526e-02      3.627919e-02
          98      4.800000e-01     -3.387755e-02      3.629373e-02
          99      2.000000e-01     -3.151515e-02      3.600393e-02
         100      1.200000e-01     -3.000000e-02      3.567576e-02
         101      1.200000e-01     -2.851485e-02      3.535344e-02
         102      4.000000e-02     -2.784314e-02      3.501321e-02
         103     -4.000000e-02     -2.796117e-02      3.467348e-02
         104      0.000000e+00     -2.769231e-02      3.434112e-02
         105      4.000000e-02     -2.704762e-02      3.402012e-02
         106      1.600000e-01     -2.528302e-02      3.374490e-02
         107     -4.000000e-02     -2.542056e-02      3.342981e-02
         108     -1.200000e-01     -2.629630e-02      3.313174e-02
         109     -8.000000e-02     -2.678899e-02      3.283145e-02
         110     -1.200000e-01     -2.763636e-02      3.254391e-02
         111      0.000000e+00     -2.738739e-02      3.225168e-02
         112      0.000000e+00     -2.714286e-02      3.196464e-02
         113      8.000000e-02     -2.619469e-02      3.169583e-02
         114     -4.000000e-02     -2.631579e-02      3.141803e-02
         115     -8.000000e-02     -2.678261e-02      3.114829e-02
         116     -8.000000e-02     -2.724138e-02      3.088315e-02
         117     -1.600000e-01     -2.837607e-02      3.064003e-02
         118     -2.400000e-01     -3.016949e-02      3.043281e-02
         119     -4.000000e-01     -3.327731e-02      3.033535e-02
         120     -2.000000e-01     -3.466667e-02      3.011435e-02
         121     -1.600000e-01     -3.570248e-02      2.988328e-02
         122      4.000000e-02     -3.508197e-02      2.964478e-02
         123      1.600000e-01     -3.349593e-02      2.944616e-02
         124      2.400000e-01     -3.129032e-02      2.929118e-02
         125      2.800000e-01     -2.880000e-02      2.916252e-02
         126      1.200000e-01     -2.761905e-02      2.895497e-02
         127      4.000000e-02     -2.708661e-02      2.873187e-02
         128      4.000000e-02     -2.656250e-02      2.851219e-02
         129      8.000000e-02     -2.573643e-02      2.830313e-02
         130      1.600000e-01     -2.430769e-02      2.812145e-02
         131      1.200000e-01     -2.320611e-02      2.792835e-02
         132      1.600000e-01     -2.181818e-02      2.775124e-02
         133      2.000000e-01     -2.015038e-02      2.759265e-02
         134      2.000000e-01     -1.850746e-02      2.743560e-02
         135      2.800000e-01     -1.629630e-02      2.732133e-02
         136      1.200000e-01     -1.529412e-02      2.713882e-02
         137      1.600000e-01     -1.401460e-02      2.697087e-02
         138      1.200000e-01     -1.304348e-02      2.679291e-02
         139      2.400000e-01     -1.122302e-02      2.666192e-02
         140      1.200000e-01     -1.028571e-02      2.648795e-02
         141      2.000000e-01     -8.794326e-03      2.634205e-02
         142      2.000000e-01     -7.323944e-03      2.619755e-02
         143      2.000000e-01     -5.874126e-03      2.605443e-02
         144      2.400000e-01     -4.166667e-03      2.592939e-02
         145      3.200000e-01     -1.931034e-03      2.584676e-02
         146      2.800000e-01      1.482832e-17      2.574176e-02
         147      2.400000e-01      1.632653e-03      2.561837e-02
         148      2.400000e-01      3.243243e-03      2.549585e-02
         149      2.800000e-01      5.100671e-03      2.539231e-02
         150      2.800000e-01      6.933333e-03      2.528907e-02
         151      3.200000e-01      9.006623e-03      2.520644e-02
         152      2.000000e-01      1.026316e-02      2.507191e-02
         153      1.200000e-01      1.098039e-02      2.491830e-02
         154      1.200000e-01      1.168831e-02      2.476654e-02
         155     -4.000000e-02      1.135484e-02      2.460901e-02
         156     -1.600000e-01      1.025641e-02      2.447576e-02
         157     -1.200000e-01      9.426752e-03      2.433392e-02
         158     -8.000000e-02      8.860759e-03      2.418649e-02
         159     -4.000000e-02      8.553459e-03      2.403632e-02
         160     -8.000000e-02      8.000000e-03      2.389247e-02
         161      4.000000e-02      8.198758e-03      2.374489e-02
         162      1.200000e-01      8.888889e-03      2.360835e-02
         163      2.000000e-01      1.006135e-02      2.349261e-02
         164      1.200000e-01      1.073171e-02      2.335892e-02
         165      2.000000e-01      1.187879e-02      2.324550e-02
         166      2.000000e-01      1.301205e-02      2.313307e-02
         167      2.000000e-01      1.413174e-02      2.302163e-02
         168      2.000000e-01      1.523810e-02      2.291117e-02
         169      4.000000e-02      1.538462e-02      2.277607e-02
         170      8.000000e-02      1.576471e-02      2.264526e-02
         171      1.200000e-01      1.637427e-02      2.252104e-02
         172      1.600000e-01      1.720930e-02      2.240558e-02
         173      1.200000e-01      1.780347e-02      2.228394e-02
         174      8.000000e-02      1.816092e-02      2.215874e-02
         175      8.000000e-02      1.851429e-02      2.203494e-02
         176     -1.200000e-01      1.772727e-02      2.192379e-02
         177     -4.000000e-02      1.740113e-02      2.180235e-02
         178     -8.000000e-02      1.685393e-02      2.168673e-02
         179      8.000000e-02      1.720670e-02      2.156845e-02
         180      2.000000e-01      1.822222e-02      2.147251e-02
         181      3.200000e-01      1.988950e-02      2.141851e-02
         182      2.800000e-01      2.131868e-02      2.134846e-02
         183      2.000000e-01      2.229508e-02      2.125412e-02
         184      1.200000e-01      2.282609e-02      2.114524e-02
         185      2.000000e-01      2.378378e-02      2.105262e-02
         186      1.200000e-01      2.430108e-02      2.094578e-02
         187      2.800000e-01      2.566845e-02      2.087836e-02
         188      4.000000e-01      2.765957e-02      2.086203e-02
         189      5.200000e-01      3.026455e-02      2.091366e-02
         190      6.400000e-01      3.347368e-02      2.104836e-02
         191      6.000000e-01      3.643979e-02      2.114612e-02
         192      4.800000e-01      3.875000e-02      2.116180e-02
         193      5.200000e-01      4.124352e-02      2.119855e-02
         194      4.000000e-01      4.309278e-02      2.116979e-02
         195      4.800000e-01      4.533333e-02      2.117946e-02
         196      5.200000e-01      4.775510e-02      2.120941e-02
         197      4.800000e-01      4.994924e-02      2.121493e-02
         198      5.200000e-01      5.232323e-02      2.124020e-02
         199      5.200000e-01      5.467337e-02      2.126308e-02
         200      3.600000e-01      5.620000e-02      2.121150e-02
         201      5.200000e-01      5.850746e-02      2.123111e-02
         202      4.400000e-01      6.039604e-02      2.120983e-02
         203      3.600000e-01      6.187192e-02      2.115664e-02
         204      3.600000e-01      6.333333e-02      2.110334e-02
         205      6.000000e-01      6.595122e-02      2.116215e-02
         206      5.600000e-01      6.834951e-02      2.119489e-02
         207      5.600000e-01      7.072464e-02      2.122516e-02
         208      6.400000e-01      7.346154e-02      2.129884e-02
         209      7.200000e-01      7.655502e-02      2.142041e-02
         210      6.800000e-01      7.942857e-02      2.151028e-02
         211      5.600000e-01      8.170616e-02      2.152858e-02
         212      6.800000e-01      8.452830e-02      2.161121e-02
