#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -6.800000e-01     -6.800000e-01      0.000000e+00
           2     -6.800000e-01     -6.800000e-01      0.000000e+00
           3     -6.000000e-01     -6.533333e-01      2.177324e-02
           4     -6.800000e-01     -6.600000e-01      1.732051e-02
           5     -7.600000e-01     -6.800000e-01      2.262742e-02
           6     -6.800000e-01     -6.800000e-01      1.885618e-02
           7     -6.800000e-01     -6.800000e-01      1.616244e-02
           8     -5.200000e-01     -6.600000e-01      2.345208e-02
           9     -5.200000e-01     -6.444444e-01      2.548837e-02
          10     -5.200000e-01     -6.320000e-01      2.579922e-02
          11     -6.000000e-01     -6.290909e-01      2.361728e-02
          12     -7.600000e-01     -6.400000e-01      2.403701e-02
          13     -7.600000e-01     -6.492308e-01      2.389478e-02
          14     -8.400000e-01     -6.628571e-01      2.578222e-02
          15     -7.600000e-01     -6.693333e-01      2.486348e-02
          16     -7.600000e-01     -6.750000e-01      2.394656e-02
          17     -8.400000e-01     -6.847059e-01      2.442583e-02
          18     -7.600000e-01     -6.888889e-01      2.342428e-02
          19     -7.600000e-01     -6.926316e-01      2.248843e-02
          20     -7.600000e-01     -6.960000e-01      2.161481e-02
          21     -8.400000e-01     -7.028571e-01      2.164591e-02
          22     -8.400000e-01     -7.090909e-01      2.154094e-02
          23     -8.400000e-01     -7.147826e-01      2.134308e-02
          24     -8.400000e-01     -7.200000e-01      2.108185e-02
          25     -7.600000e-01     -7.216000e-01      2.029920e-02
          26     -7.600000e-01     -7.230769e-01      1.957212e-02
          27     -7.600000e-01     -7.244444e-01      1.889494e-02
          28     -6.800000e-01     -7.228571e-01      1.828667e-02
          29     -6.800000e-01     -7.213793e-01      1.771571e-02
          30     -8.400000e-01     -7.253333e-01      1.756090e-02
          31     -7.600000e-01     -7.264516e-01      1.702999e-02
          32     -8.400000e-01     -7.300000e-01      1.686342e-02
          33     -7.600000e-01     -7.309091e-01      1.637689e-02
          34     -6.000000e-01     -7.270588e-01      1.634156e-02
          35     -6.800000e-01     -7.257143e-01      1.592988e-02
          36     -6.800000e-01     -7.244444e-01      1.553791e-02
          37     -8.400000e-01     -7.275676e-01      1.542865e-02
          38     -8.400000e-01     -7.305263e-01      1.530370e-02
          39     -7.600000e-01     -7.312821e-01      1.492995e-02
          40     -7.600000e-01     -7.320000e-01      1.457395e-02
          41     -8.400000e-01     -7.346341e-01      1.445458e-02
          42     -8.400000e-01     -7.371429e-01      1.432647e-02
          43     -8.400000e-01     -7.395349e-01      1.419159e-02
          44     -8.400000e-01     -7.418182e-01      1.405153e-02
          45     -8.400000e-01     -7.440000e-01      1.390763e-02
          46     -8.400000e-01     -7.460870e-01      1.376098e-02
          47     -6.800000e-01     -7.446809e-01      1.353984e-02
          48     -6.800000e-01     -7.433333e-01      1.332465e-02
          49     -6.800000e-01     -7.420408e-01      1.311526e-02
          50     -6.800000e-01     -7.408000e-01      1.291151e-02
          51     -6.000000e-01     -7.380392e-01      1.295014e-02
          52     -5.200000e-01     -7.338462e-01      1.336270e-02
          53     -6.000000e-01     -7.313208e-01      1.334707e-02
          54     -6.000000e-01     -7.288889e-01      1.331961e-02
          55     -6.800000e-01     -7.280000e-01      1.310706e-02
          56     -5.200000e-01     -7.242857e-01      1.338895e-02
          57     -9.200000e-01     -7.277193e-01      1.358719e-02
