#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -4.400000e-01     -4.400000e-01      0.000000e+00
           2     -6.000000e-01     -5.200000e-01      5.656854e-02
           3     -6.000000e-01     -5.466667e-01      4.354648e-02
           4     -6.000000e-01     -5.600000e-01      3.464102e-02
           5     -6.800000e-01     -5.840000e-01      3.505424e-02
           6     -8.400000e-01     -6.266667e-01      4.868645e-02
           7     -8.400000e-01     -6.571429e-01      5.037469e-02
           8     -7.600000e-01     -6.700000e-01      4.568917e-02
           9     -7.600000e-01     -6.800000e-01      4.169258e-02
          10     -7.600000e-01     -6.880000e-01      3.828316e-02
          11     -6.800000e-01     -6.872727e-01      3.480978e-02
          12     -7.600000e-01     -6.933333e-01      3.243227e-02
          13     -7.600000e-01     -6.984615e-01      3.034020e-02
          14     -7.600000e-01     -7.028571e-01      2.848968e-02
          15     -8.400000e-01     -7.120000e-01      2.801904e-02
          16     -8.400000e-01     -7.200000e-01      2.738613e-02
          17     -7.600000e-01     -7.223529e-01      2.587606e-02
          18     -6.000000e-01     -7.155556e-01      2.531557e-02
          19     -6.000000e-01     -7.094737e-01      2.470293e-02
          20     -6.800000e-01     -7.080000e-01      2.351170e-02
          21     -6.000000e-01     -7.028571e-01      2.294767e-02
          22     -6.800000e-01     -7.018182e-01      2.192810e-02
          23     -6.800000e-01     -7.008696e-01      2.099521e-02
          24     -6.000000e-01     -6.966667e-01      2.053678e-02
          25     -6.800000e-01     -6.960000e-01      1.972612e-02
          26     -7.600000e-01     -6.984615e-01      1.912039e-02
          27     -6.800000e-01     -6.977778e-01      1.842445e-02
          28     -5.200000e-01     -6.914286e-01      1.882867e-02
          29     -6.800000e-01     -6.910345e-01      1.818353e-02
          30     -6.800000e-01     -6.906667e-01      1.758113e-02
          31     -7.600000e-01     -6.929032e-01      1.715567e-02
          32     -6.800000e-01     -6.925000e-01      1.662430e-02
          33     -6.800000e-01     -6.921212e-01      1.612484e-02
          34     -7.600000e-01     -6.941176e-01      1.577369e-02
          35     -7.600000e-01     -6.960000e-01      1.543492e-02
          36     -7.600000e-01     -6.977778e-01      1.510821e-02
          37     -8.400000e-01     -7.016216e-01      1.518098e-02
          38     -7.600000e-01     -7.031579e-01      1.485901e-02
          39     -6.800000e-01     -7.025641e-01      1.448987e-02
          40     -7.600000e-01     -7.040000e-01      1.419859e-02
          41     -7.600000e-01     -7.053659e-01      1.391782e-02
          42     -8.400000e-01     -7.085714e-01      1.395072e-02
          43     -7.600000e-01     -7.097674e-01      1.367746e-02
          44     -7.600000e-01     -7.109091e-01      1.341417e-02
          45     -6.800000e-01     -7.102222e-01      1.313365e-02
          46     -6.800000e-01     -7.095652e-01      1.286456e-02
          47     -6.000000e-01     -7.072340e-01      1.280032e-02
          48     -6.000000e-01     -7.050000e-01      1.272710e-02
          49     -6.800000e-01     -7.044898e-01      1.247759e-02
          50     -6.800000e-01     -7.040000e-01      1.223765e-02
          51     -6.800000e-01     -7.035294e-01      1.200674e-02
          52     -7.600000e-01     -7.046154e-01      1.182485e-02
          53     -8.400000e-01     -7.071698e-01      1.187444e-02
          54     -8.400000e-01     -7.096296e-01      1.190660e-02
          55     -8.400000e-01     -7.120000e-01      1.192372e-02
