#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     -1.600000e-01     -1.600000e-01      0.000000e+00
           2      4.000000e-02     -6.000000e-02      7.071068e-02
           3     -2.400000e-01     -1.200000e-01      6.798693e-02
           4     -4.000000e-01     -1.900000e-01      7.921490e-02
           5     -4.000000e-01     -2.320000e-01      7.366953e-02
           6     -4.000000e-01     -2.600000e-01      6.649979e-02
           7     -6.800000e-01     -3.200000e-01      7.959079e-02
           8      1.200000e-01     -2.650000e-01      8.658450e-02
           9     -1.200000e-01     -2.488889e-01      7.844861e-02
          10      2.000000e-01     -2.040000e-01      8.245241e-02
          11      2.000000e-01     -1.672727e-01      8.273318e-02
          12      2.400000e-01     -1.333333e-01      8.250701e-02
          13      4.000000e-02     -1.200000e-01      7.723016e-02
          14      4.000000e-02     -1.085714e-01      7.255439e-02
          15      1.600000e-01     -9.066667e-02      6.989177e-02
          16      2.400000e-01     -7.000000e-02      6.851095e-02
          17      1.600000e-01     -5.647059e-02      6.580321e-02
          18     -2.800000e-01     -6.888889e-02      6.330842e-02
          19     -2.800000e-01     -8.000000e-02      6.094364e-02
          20     -3.600000e-01     -9.400000e-02      5.948277e-02
          21     -4.800000e-01     -1.123810e-01      5.942241e-02
          22     -4.800000e-01     -1.290909e-01      5.902412e-02
          23     -2.000000e-01     -1.321739e-01      5.653831e-02
          24      0.000000e+00     -1.266667e-01      5.445011e-02
          25      1.600000e-01     -1.152000e-01      5.346586e-02
          26      8.000000e-02     -1.076923e-01      5.193392e-02
          27      2.000000e-01     -9.629630e-02      5.124552e-02
          28     -8.000000e-02     -9.571429e-02      4.941863e-02
          29     -3.600000e-01     -1.048276e-01      4.854756e-02
          30     -2.000000e-01     -1.080000e-01      4.703285e-02
          31      0.000000e+00     -1.045161e-01      4.564451e-02
          32      4.000000e-02     -1.000000e-01      4.444097e-02
          33      0.000000e+00     -9.696970e-02      4.319747e-02
          34      1.600000e-01     -8.941176e-02      4.258300e-02
          35      2.400000e-01     -8.000000e-02      4.239368e-02
