#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      6.646000e-03      6.646000e-03      0.000000e+00
           2     -7.560000e-04      2.945000e-03      2.617002e-03
           3     -1.000000e-03      1.630000e-03      2.048581e-03
           4     -5.008000e-03     -2.950000e-05      2.103827e-03
           5      8.384000e-03      1.653200e-03      2.257849e-03
           6      1.350000e-03      1.602667e-03      1.882106e-03
           7     -2.666000e-03      9.928571e-04      1.709171e-03
           8     -8.854000e-03     -2.380000e-04      1.887387e-03
           9     -3.748000e-03     -6.280000e-04      1.717498e-03
          10      7.542000e-03      1.890000e-04      1.729184e-03
          11      1.080200e-02      1.153818e-03      1.821370e-03
          12      2.738000e-03      1.285833e-03      1.674366e-03
          13     -9.122000e-03      4.852308e-04      1.726396e-03
          14     -5.640000e-04      4.102857e-04      1.604708e-03
          15     -7.988000e-03     -1.496000e-04      1.592407e-03
