#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      2.443330e-01      2.443330e-01      0.000000e+00
           2      2.479942e-01      2.461636e-01      1.294428e-03
           3      2.522463e-01      2.481912e-01      1.866911e-03
           4      2.461026e-01      2.476690e-01      1.471388e-03
           5      2.466247e-01      2.474601e-01      1.191843e-03
           6      2.508181e-01      2.480198e-01      1.116899e-03
           7      2.499917e-01      2.483015e-01      9.922299e-04
           8      2.478693e-01      2.482475e-01      8.696707e-04
           9      2.504000e-01      2.484866e-01      8.052564e-04
          10      2.498953e-01      2.486275e-01      7.369485e-04
          11      2.501294e-01      2.487640e-01      6.824845e-04
          12      2.516976e-01      2.490085e-01      6.679615e-04
          13      2.508844e-01      2.491528e-01      6.319741e-04
          14      2.491041e-01      2.491493e-01      5.868426e-04
          15      2.521683e-01      2.493506e-01      5.812091e-04
