#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.878859e+00      1.878859e+00      0.000000e+00
           2      1.911859e+00      1.895359e+00      1.166726e-02
           3      1.913953e+00      1.901557e+00      9.279572e-03
           4      1.876701e+00      1.895343e+00      8.797542e-03
           5      1.936555e+00      1.903585e+00      1.019238e-02
           6      1.888365e+00      1.901049e+00      8.803681e-03
           7      1.915979e+00      1.903182e+00      7.800103e-03
           8      1.868920e+00      1.898899e+00      7.913950e-03
           9      1.884861e+00      1.897339e+00      7.186681e-03
          10      1.914402e+00      1.899045e+00      6.667502e-03
          11      1.909965e+00      1.900038e+00      6.134815e-03
          12      1.863136e+00      1.896963e+00      6.347682e-03
          13      1.914515e+00      1.898313e+00      6.001276e-03
          14      1.945473e+00      1.901682e+00      6.449085e-03
          15      1.948014e+00      1.904771e+00      6.718253e-03
