#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -5.270280e-01     -5.270280e-01      0.000000e+00
           2     -5.292960e-01     -5.281620e-01      8.018591e-04
           3     -5.299280e-01     -5.287507e-01      7.188790e-04
           4     -5.294440e-01     -5.289240e-01      5.596660e-04
           5     -5.292160e-01     -5.289824e-01      4.507694e-04
           6     -5.272880e-01     -5.287000e-01      4.555924e-04
           7     -5.299640e-01     -5.288806e-01      4.247874e-04
           8     -5.290440e-01     -5.289010e-01      3.721799e-04
           9     -5.300160e-01     -5.290249e-01      3.508408e-04
          10     -5.303640e-01     -5.291588e-01      3.403547e-04
          11     -5.259160e-01     -5.288640e-01      4.180227e-04
          12     -5.292280e-01     -5.288943e-01      3.842865e-04
          13     -5.280400e-01     -5.288286e-01      3.603015e-04
          14     -5.322320e-01     -5.290717e-01      4.084238e-04
          15     -5.290880e-01     -5.290728e-01      3.811970e-04
