#   N_BLOCK:  ACCEPTANCE:
           1      6.154761e-01
           2      6.156118e-01
           3      6.153912e-01
           4      6.154614e-01
           5      6.154940e-01
           6      6.151915e-01
           7      6.151968e-01
           8      6.153526e-01
           9      6.153614e-01
          10      6.152824e-01
          11      6.151950e-01
          12      6.151378e-01
          13      6.150772e-01
          14      6.150285e-01
          15      6.149854e-01
          16      6.149226e-01
          17      6.148878e-01
          18      6.146926e-01
          19      6.146370e-01
          20      6.144965e-01
          21      6.145146e-01
          22      6.145821e-01
          23      6.145630e-01
          24      6.146406e-01
          25      6.146778e-01
          26      6.146192e-01
          27      6.145987e-01
          28      6.146267e-01
          29      6.146362e-01
          30      6.146667e-01
          31      6.146615e-01
          32      6.147086e-01
          33      6.147144e-01
          34      6.147749e-01
          35      6.147711e-01
          36      6.146855e-01
          37      6.147284e-01
          38      6.147209e-01
          39      6.146945e-01
          40      6.147361e-01
          41      6.147171e-01
          42      6.147683e-01
          43      6.147488e-01
          44      6.147482e-01
          45      6.147003e-01
          46      6.146798e-01
          47      6.147012e-01
          48      6.146837e-01
          49      6.147037e-01
          50      6.146859e-01
