# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
6.463304e-02      0.000000e+00      0.000000e+00
1.292661e-01      0.000000e+00      0.000000e+00
1.938991e-01      0.000000e+00      0.000000e+00
2.585322e-01      0.000000e+00      0.000000e+00
3.231652e-01      0.000000e+00      0.000000e+00
3.877982e-01      0.000000e+00      0.000000e+00
4.524313e-01      0.000000e+00      0.000000e+00
5.170643e-01      0.000000e+00      0.000000e+00
5.816974e-01      0.000000e+00      0.000000e+00
6.463304e-01      0.000000e+00      0.000000e+00
7.109634e-01      0.000000e+00      0.000000e+00
7.755965e-01      0.000000e+00      0.000000e+00
8.402295e-01      9.878261e-04      8.561369e-05
9.048626e-01      1.464730e-01      1.032485e-03
9.694956e-01      1.059648e+00      3.012185e-03
1.034129e+00      2.044653e+00      5.524200e-03
1.098762e+00      2.265391e+00      4.897561e-03
1.163395e+00      2.088339e+00      4.780931e-03
1.228028e+00      1.825865e+00      4.529755e-03
1.292661e+00      1.617332e+00      3.091150e-03
1.357294e+00      1.454648e+00      2.926194e-03
1.421927e+00      1.336952e+00      3.075257e-03
1.486560e+00      1.252572e+00      2.511279e-03
1.551193e+00      1.188954e+00      2.125809e-03
1.615826e+00      1.141023e+00      2.101335e-03
1.680459e+00      1.113158e+00      1.902139e-03
1.745092e+00      1.090295e+00      1.737819e-03
1.809725e+00      1.075699e+00      1.477304e-03
1.874358e+00      1.066607e+00      1.792101e-03
1.938991e+00      1.059853e+00      1.340273e-03
2.003624e+00      1.055700e+00      1.451893e-03
2.068257e+00      1.056511e+00      1.363805e-03
2.132890e+00      1.052154e+00      1.440020e-03
2.197523e+00      1.049728e+00      1.232550e-03
2.262156e+00      1.046201e+00      1.323296e-03
2.326789e+00      1.036559e+00      1.220731e-03
2.391423e+00      1.033144e+00      1.205962e-03
2.456056e+00      1.025002e+00      1.079114e-03
2.520689e+00      1.021449e+00      9.364671e-04
2.585322e+00      1.017080e+00      1.039100e-03
2.649955e+00      1.013491e+00      1.166063e-03
2.714588e+00      1.009894e+00      9.082248e-04
2.779221e+00      1.005171e+00      1.173490e-03
2.843854e+00      1.004962e+00      1.061186e-03
2.908487e+00      1.002916e+00      1.032348e-03
2.973120e+00      1.002423e+00      9.652774e-04
3.037753e+00      9.997325e-01      8.893463e-04
3.102386e+00      9.985989e-01      1.061228e-03
3.167019e+00      9.991433e-01      8.542958e-04
3.231652e+00      9.963983e-01      9.748526e-04
3.296285e+00      9.962977e-01      9.688093e-04
3.360918e+00      9.954864e-01      8.930055e-04
3.425551e+00      9.938179e-01      8.108742e-04
3.490184e+00      9.944452e-01      9.332062e-04
3.554817e+00      9.923881e-01      9.113501e-04
3.619450e+00      9.923673e-01      7.330691e-04
3.684083e+00      9.908288e-01      6.664487e-04
3.748716e+00      9.904251e-01      7.329454e-04
3.813349e+00      9.910546e-01      8.034477e-04
3.877982e+00      9.899168e-01      6.701240e-04
3.942615e+00      9.895970e-01      8.668731e-04
4.007249e+00      9.890445e-01      7.498938e-04
4.071882e+00      9.893638e-01      7.255926e-04
4.136515e+00      9.878425e-01      7.484775e-04
4.201148e+00      9.888326e-01      5.948510e-04
4.265781e+00      9.888715e-01      6.739259e-04
4.330414e+00      9.881543e-01      7.895091e-04
4.395047e+00      9.873884e-01      6.761966e-04
4.459680e+00      9.875184e-01      6.860066e-04
4.524313e+00      9.880174e-01      6.290538e-04
4.588946e+00      9.881714e-01      6.759197e-04
4.653579e+00      9.862448e-01      5.316674e-04
4.718212e+00      9.881977e-01      5.715414e-04
4.782845e+00      9.857267e-01      5.989804e-04
4.847478e+00      9.879159e-01      6.882691e-04
4.912111e+00      9.868897e-01      5.310342e-04
4.976744e+00      9.871381e-01      5.977083e-04
5.041377e+00      9.860751e-01      5.841124e-04
5.106010e+00      9.865837e-01      6.645273e-04
5.170643e+00      9.865981e-01      6.348205e-04
5.235276e+00      9.868205e-01      5.147263e-04
5.299909e+00      9.867736e-01      5.504395e-04
5.364542e+00      9.860659e-01      5.130134e-04
5.429175e+00      9.868185e-01      4.995962e-04
5.493808e+00      9.864825e-01      4.025354e-04
5.558442e+00      9.861427e-01      5.071695e-04
5.623075e+00      9.865472e-01      5.284240e-04
5.687708e+00      9.862044e-01      5.114143e-04
5.752341e+00      9.861784e-01      4.920664e-04
5.816974e+00      9.866786e-01      4.704307e-04
5.881607e+00      9.856891e-01      4.791189e-04
5.946240e+00      9.867148e-01      4.332521e-04
6.010873e+00      9.855414e-01      4.982979e-04
6.075506e+00      9.867377e-01      5.320873e-04
6.140139e+00      9.852876e-01      4.946650e-04
6.204772e+00      9.857187e-01      4.956683e-04
6.269405e+00      9.850048e-01      3.937292e-04
6.334038e+00      9.858324e-01      4.558908e-04
6.398671e+00      9.864951e-01      4.779207e-04
