#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.800000e+00      1.800000e+00      0.000000e+00
           2      1.800000e+00      1.800000e+00      0.000000e+00
           3      1.800000e+00      1.800000e+00      0.000000e+00
           4      1.800000e+00      1.800000e+00      0.000000e+00
           5      1.800000e+00      1.800000e+00      1.332800e-08
           6      1.800000e+00      1.800000e+00      1.216675e-08
           7      1.800000e+00      1.800000e+00      1.781029e-08
           8      1.800000e+00      1.800000e+00      1.666000e-08
           9      1.800000e+00      1.800000e+00      1.570720e-08
          10      1.800000e+00      1.800000e+00      1.490116e-08
          11      1.800000e+00      1.800000e+00      1.797148e-08
          12      1.800000e+00      1.800000e+00      1.720638e-08
          13      1.800000e+00      1.800000e+00      1.653135e-08
          14      1.800000e+00      1.800000e+00      1.593001e-08
          15      1.800000e+00      1.800000e+00      1.538985e-08
          16      1.800000e+00      1.800000e+00      1.490116e-08
          17      1.800000e+00      1.800000e+00      1.445625e-08
          18      1.800000e+00      1.800000e+00      1.216675e-08
          19      1.800000e+00      1.800000e+00      1.184224e-08
          20      1.800000e+00      1.800000e+00      1.053671e-08
          21      1.800000e+00      1.800000e+00      1.028278e-08
          22      1.800000e+00      1.800000e+00      1.100524e-08
          23      1.800000e+00      1.800000e+00      1.076333e-08
          24      1.800000e+00      1.800000e+00      9.618658e-09
          25      1.800000e+00      1.800000e+00      9.424322e-09
          26      1.800000e+00      1.800000e+00      8.265677e-09
          27      1.800000e+00      1.800000e+00      8.111165e-09
          28      1.800000e+00      1.800000e+00      6.897897e-09
          29      1.800000e+00      1.800000e+00      6.777925e-09
          30      1.800000e+00      1.800000e+00      6.664002e-09
          31      1.800000e+00      1.800000e+00      5.352655e-09
          32      1.800000e+00      1.800000e+00      5.268356e-09
          33      1.800000e+00      1.800000e+00      5.187918e-09
          34      1.800000e+00      1.800000e+00      3.614062e-09
          35      1.800000e+00      1.800000e+00      3.562059e-09
          36      1.800000e+00      1.800000e+00      3.512237e-09
          37      1.800000e+00      1.800000e+00      6.000603e-09
          38      1.800000e+00      1.800000e+00      5.921121e-09
          39      1.800000e+00      1.800000e+00      7.545496e-09
          40      1.800000e+00      1.800000e+00      8.161702e-09
          41      1.800000e+00      1.800000e+00      7.359159e-09
          42      1.800000e+00      1.800000e+00      8.603189e-09
          43      1.800000e+00      1.800000e+00      9.089623e-09
          44      1.800000e+00      1.800000e+00      8.985738e-09
          45      1.800000e+00      1.800000e+00      9.424322e-09
          46      1.800000e+00      1.800000e+00      9.321321e-09
          47      1.800000e+00      1.800000e+00      9.221625e-09
          48      1.800000e+00      1.800000e+00      9.125060e-09
          49      1.800000e+00      1.800000e+00      9.984663e-09
          50      1.800000e+00      1.800000e+00      9.424322e-09
