#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -4.147300e-01     -4.147300e-01      0.000000e+00
           2     -4.136552e-01     -4.141926e-01      3.799970e-04
           3     -4.150789e-01     -4.144881e-01      3.497995e-04
           4     -4.139746e-01     -4.143597e-01      2.849288e-04
           5     -4.112355e-01     -4.137349e-01      6.035684e-04
           6     -4.151177e-01     -4.139653e-01      5.452011e-04
           7     -4.141353e-01     -4.139896e-01      4.678557e-04
           8     -4.102070e-01     -4.135168e-01      6.026665e-04
           9     -4.136381e-01     -4.135303e-01      5.358542e-04
          10     -4.139377e-01     -4.135710e-01      4.838152e-04
          11     -4.187334e-01     -4.140403e-01      6.274369e-04
          12     -4.124068e-01     -4.139042e-01      5.897330e-04
          13     -4.159944e-01     -4.140650e-01      5.658624e-04
          14     -4.141718e-01     -4.140726e-01      5.254951e-04
          15     -4.129133e-01     -4.139953e-01      4.961127e-04
          16     -4.166615e-01     -4.141619e-01      4.922962e-04
          17     -4.167805e-01     -4.143160e-01      4.868387e-04
          18     -4.186662e-01     -4.145577e-01      5.163065e-04
          19     -4.182060e-01     -4.147497e-01      5.236235e-04
          20     -4.179211e-01     -4.149082e-01      5.209004e-04
          21     -4.117790e-01     -4.147592e-01      5.169701e-04
          22     -4.096774e-01     -4.145282e-01      5.426292e-04
          23     -4.135114e-01     -4.144840e-01      5.208345e-04
          24     -4.145746e-01     -4.144878e-01      4.991467e-04
          25     -4.136290e-01     -4.144535e-01      4.803615e-04
          26     -4.188629e-01     -4.146230e-01      4.909127e-04
          27     -4.114713e-01     -4.145063e-01      4.864111e-04
          28     -4.130932e-01     -4.144558e-01      4.716504e-04
          29     -4.108297e-01     -4.143308e-01      4.716697e-04
          30     -4.129741e-01     -4.142856e-01      4.581103e-04
          31     -4.129784e-01     -4.142434e-01      4.452690e-04
          32     -4.147471e-01     -4.142592e-01      4.316325e-04
          33     -4.146469e-01     -4.142709e-01      4.187126e-04
          34     -4.106508e-01     -4.141644e-01      4.197166e-04
          35     -4.110087e-01     -4.140743e-01      4.172972e-04
          36     -4.171593e-01     -4.141600e-01      4.144111e-04
          37     -4.134933e-01     -4.141419e-01      4.036024e-04
          38     -4.150611e-01     -4.141661e-01      3.937054e-04
          39     -4.170377e-01     -4.142398e-01      3.904348e-04
          40     -4.124258e-01     -4.141944e-01      3.832985e-04
          41     -4.142931e-01     -4.141968e-01      3.739573e-04
          42     -4.106956e-01     -4.141135e-01      3.742299e-04
          43     -4.147769e-01     -4.141289e-01      3.658447e-04
          44     -4.111812e-01     -4.140619e-01      3.636122e-04
          45     -4.184249e-01     -4.141589e-01      3.682313e-04
          46     -4.174268e-01     -4.142299e-01      3.670155e-04
          47     -4.128802e-01     -4.142012e-01      3.603284e-04
          48     -4.164188e-01     -4.142474e-01      3.557710e-04
          49     -4.150140e-01     -4.142630e-01      3.488542e-04
          50     -4.170299e-01     -4.143184e-01      3.462383e-04
