#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      4.223203e-02      4.223203e-02      0.000000e+00
           2      4.273598e-02      4.248400e-02      1.781735e-04
           3      4.273492e-02      4.256764e-02      1.370147e-04
           4      4.277293e-02      4.261896e-02      1.119610e-04
           5      4.285719e-02      4.266661e-02      9.919005e-05
           6      4.229521e-02      4.260471e-02      1.001269e-04
           7      4.323408e-02      4.269462e-02      1.195596e-04
           8      4.239030e-02      4.265658e-02      1.105005e-04
           9      4.282200e-02      4.267496e-02      9.973963e-05
          10      4.252346e-02      4.265981e-02      9.090899e-05
          11      4.252092e-02      4.264718e-02      8.351677e-05
          12      4.280062e-02      4.265997e-02      7.752965e-05
          13      4.309563e-02      4.269348e-02      7.847524e-05
          14      4.229454e-02      4.266499e-02      7.787201e-05
          15      4.289526e-02      4.268034e-02      7.417831e-05
          16      4.262085e-02      4.267662e-02      6.963527e-05
          17      4.228501e-02      4.265358e-02      6.924463e-05
          18      4.203683e-02      4.261932e-02      7.338708e-05
          19      4.240399e-02      4.260799e-02      7.039423e-05
          20      4.211060e-02      4.258312e-02      7.113206e-05
          21      4.267420e-02      4.258746e-02      6.787692e-05
          22      4.306020e-02      4.260894e-02      6.810811e-05
          23      4.248351e-02      4.260349e-02      6.536488e-05
          24      4.279091e-02      4.261130e-02      6.310612e-05
          25      4.313660e-02      4.263231e-02      6.398441e-05
          26      4.229275e-02      4.261925e-02      6.284217e-05
          27      4.270702e-02      4.262250e-02      6.059870e-05
          28      4.242730e-02      4.261553e-02      5.883410e-05
          29      4.237185e-02      4.260713e-02      5.740226e-05
          30      4.235442e-02      4.259870e-02      5.610351e-05
          31      4.291721e-02      4.260898e-02      5.522647e-05
          32      4.246509e-02      4.260448e-02      5.368337e-05
          33      4.248170e-02      4.260076e-02      5.218539e-05
          34      4.269109e-02      4.260342e-02      5.071811e-05
          35      4.262906e-02      4.260415e-02      4.927431e-05
          36      4.266666e-02      4.260589e-02      4.793616e-05
          37      4.242534e-02      4.260101e-02      4.688831e-05
          38      4.230492e-02      4.259322e-02      4.629728e-05
          39      4.265630e-02      4.259483e-02      4.513842e-05
          40      4.281138e-02      4.260025e-02      4.433341e-05
          41      4.267551e-02      4.260208e-02      4.329009e-05
          42      4.309482e-02      4.261381e-02      4.382025e-05
          43      4.283396e-02      4.261893e-02      4.309922e-05
          44      4.241984e-02      4.261441e-02      4.235656e-05
          45      4.238057e-02      4.260921e-02      4.173285e-05
          46      4.271143e-02      4.261143e-02      4.088472e-05
          47      4.239404e-02      4.260681e-02      4.027563e-05
          48      4.232869e-02      4.260101e-02      3.985115e-05
          49      4.277559e-02      4.260458e-02      3.919679e-05
          50      4.238687e-02      4.260022e-02      3.865394e-05
