#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.200000e+00      1.200000e+00      0.000000e+00
           2      1.200000e+00      1.200000e+00      0.000000e+00
           3      1.200000e+00      1.200000e+00      0.000000e+00
           4      1.200000e+00      1.200000e+00      0.000000e+00
           5      1.200000e+00      1.200000e+00      0.000000e+00
           6      1.200000e+00      1.200000e+00      8.603189e-09
           7      1.200000e+00      1.200000e+00      7.965006e-09
           8      1.200000e+00      1.200000e+00      7.450581e-09
           9      1.200000e+00      1.200000e+00      7.024475e-09
          10      1.200000e+00      1.200000e+00      6.664002e-09
          11      1.200000e+00      1.200000e+00      6.353876e-09
          12      1.200000e+00      1.200000e+00      6.083374e-09
          13      1.200000e+00      1.200000e+00      5.844716e-09
          14      1.200000e+00      1.200000e+00      5.632110e-09
          15      1.200000e+00      1.200000e+00      0.000000e+00
          16      1.200000e+00      1.200000e+00      0.000000e+00
          17      1.200000e+00      1.200000e+00      0.000000e+00
          18      1.200000e+00      1.200000e+00      4.967054e-09
          19      1.200000e+00      1.200000e+00      4.834575e-09
          20      1.200000e+00      1.200000e+00      4.712161e-09
          21      1.200000e+00      1.200000e+00      4.598598e-09
          22      1.200000e+00      1.200000e+00      7.103850e-09
          23      1.200000e+00      1.200000e+00      6.947702e-09
          24      1.200000e+00      1.200000e+00      6.801418e-09
          25      1.200000e+00      1.200000e+00      7.300048e-09
          26      1.200000e+00      1.200000e+00      7.158286e-09
          27      1.200000e+00      1.200000e+00      7.587300e-09
          28      1.200000e+00      1.200000e+00      5.632110e-09
          29      1.200000e+00      1.200000e+00      6.187370e-09
          30      1.200000e+00      1.200000e+00      6.083374e-09
          31      1.200000e+00      1.200000e+00      5.352655e-09
          32      1.200000e+00      1.200000e+00      5.268356e-09
          33      1.200000e+00      1.200000e+00      5.187918e-09
          34      1.200000e+00      1.200000e+00      4.426304e-09
          35      1.200000e+00      1.200000e+00      4.362613e-09
          36      1.200000e+00      1.200000e+00      4.301595e-09
          37      1.200000e+00      1.200000e+00      4.243067e-09
          38      1.200000e+00      1.200000e+00      2.417288e-09
          39      1.200000e+00      1.200000e+00      2.386095e-09
          40      1.200000e+00      1.200000e+00      2.356080e-09
          41      1.200000e+00      1.200000e+00      2.327170e-09
          42      1.200000e+00      1.200000e+00      3.251700e-09
          43      1.200000e+00      1.200000e+00      0.000000e+00
          44      1.200000e+00      1.200000e+00      0.000000e+00
          45      1.200000e+00      1.200000e+00      0.000000e+00
          46      1.200000e+00      1.200000e+00      0.000000e+00
          47      1.200000e+00      1.200000e+00      2.173558e-09
          48      1.200000e+00      1.200000e+00      2.150797e-09
          49      1.200000e+00      1.200000e+00      3.010489e-09
          50      1.200000e+00      1.200000e+00      4.712161e-09
