#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.385270e+00      1.385270e+00      0.000000e+00
           2      1.386345e+00      1.385807e+00      3.799970e-04
           3      1.384921e+00      1.385512e+00      3.497995e-04
           4      1.386025e+00      1.385640e+00      2.849288e-04
           5      1.388764e+00      1.386265e+00      6.035684e-04
           6      1.384882e+00      1.386035e+00      5.452011e-04
           7      1.385865e+00      1.386010e+00      4.678557e-04
           8      1.389793e+00      1.386483e+00      6.026665e-04
           9      1.386362e+00      1.386470e+00      5.358542e-04
          10      1.386062e+00      1.386429e+00      4.838152e-04
          11      1.381267e+00      1.385960e+00      6.274369e-04
          12      1.387593e+00      1.386096e+00      5.897330e-04
          13      1.384006e+00      1.385935e+00      5.658624e-04
          14      1.385828e+00      1.385927e+00      5.254951e-04
          15      1.387087e+00      1.386005e+00      4.961127e-04
          16      1.383339e+00      1.385838e+00      4.922962e-04
          17      1.383220e+00      1.385684e+00      4.868387e-04
          18      1.381334e+00      1.385442e+00      5.163065e-04
          19      1.381794e+00      1.385250e+00      5.236235e-04
          20      1.382079e+00      1.385092e+00      5.209004e-04
          21      1.388221e+00      1.385241e+00      5.169701e-04
          22      1.390323e+00      1.385472e+00      5.426292e-04
          23      1.386489e+00      1.385516e+00      5.208345e-04
          24      1.385425e+00      1.385512e+00      4.991467e-04
          25      1.386371e+00      1.385547e+00      4.803615e-04
          26      1.381137e+00      1.385377e+00      4.909127e-04
          27      1.388529e+00      1.385494e+00      4.864111e-04
          28      1.386907e+00      1.385544e+00      4.716504e-04
          29      1.389170e+00      1.385669e+00      4.716697e-04
          30      1.387026e+00      1.385714e+00      4.581103e-04
          31      1.387022e+00      1.385757e+00      4.452690e-04
          32      1.385253e+00      1.385741e+00      4.316325e-04
          33      1.385353e+00      1.385729e+00      4.187126e-04
          34      1.389349e+00      1.385836e+00      4.197166e-04
          35      1.388991e+00      1.385926e+00      4.172972e-04
          36      1.382841e+00      1.385840e+00      4.144111e-04
          37      1.386507e+00      1.385858e+00      4.036024e-04
          38      1.384939e+00      1.385834e+00      3.937054e-04
          39      1.382962e+00      1.385760e+00      3.904348e-04
          40      1.387574e+00      1.385806e+00      3.832985e-04
          41      1.385707e+00      1.385803e+00      3.739573e-04
          42      1.389304e+00      1.385887e+00      3.742299e-04
          43      1.385223e+00      1.385871e+00      3.658447e-04
          44      1.388819e+00      1.385938e+00      3.636122e-04
          45      1.381575e+00      1.385841e+00      3.682313e-04
          46      1.382573e+00      1.385770e+00      3.670155e-04
          47      1.387120e+00      1.385799e+00      3.603284e-04
          48      1.383581e+00      1.385753e+00      3.557710e-04
          49      1.384986e+00      1.385737e+00      3.488542e-04
          50      1.382970e+00      1.385682e+00      3.462383e-04
