#   N_BLOCK:  ACCEPTANCE:
           1      5.108356e-01
           2      5.098519e-01
           3      5.103634e-01
           4      5.105713e-01
           5      5.104838e-01
           6      5.108022e-01
           7      5.104034e-01
           8      5.101626e-01
           9      5.102829e-01
          10      5.100686e-01
          11      5.101613e-01
          12      5.104754e-01
          13      5.104358e-01
          14      5.102602e-01
          15      5.101892e-01
          16      5.102443e-01
          17      5.103971e-01
          18      5.104186e-01
          19      5.104759e-01
          20      5.104601e-01
          21      5.104238e-01
          22      5.102273e-01
          23      5.102625e-01
          24      5.103891e-01
          25      5.103155e-01
          26      5.104067e-01
          27      5.104208e-01
          28      5.104917e-01
          29      5.103742e-01
          30      5.103641e-01
          31      5.104929e-01
          32      5.103843e-01
          33      5.103942e-01
          34      5.104074e-01
          35      5.104585e-01
          36      5.104742e-01
          37      5.104393e-01
          38      5.104370e-01
          39      5.104405e-01
          40      5.104109e-01
          41      5.103490e-01
          42      5.103285e-01
          43      5.102706e-01
          44      5.102556e-01
          45      5.102499e-01
          46      5.102248e-01
          47      5.102715e-01
          48      5.102044e-01
          49      5.101702e-01
          50      5.101045e-01
