# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.564964e-02      0.000000e+00      0.000000e+00
5.129928e-02      0.000000e+00      0.000000e+00
7.694892e-02      0.000000e+00      0.000000e+00
1.025986e-01      0.000000e+00      0.000000e+00
1.282482e-01      0.000000e+00      0.000000e+00
1.538978e-01      0.000000e+00      0.000000e+00
1.795475e-01      0.000000e+00      0.000000e+00
2.051971e-01      0.000000e+00      0.000000e+00
2.308468e-01      0.000000e+00      0.000000e+00
2.564964e-01      0.000000e+00      0.000000e+00
2.821460e-01      0.000000e+00      0.000000e+00
3.077957e-01      0.000000e+00      0.000000e+00
3.334453e-01      0.000000e+00      0.000000e+00
3.590949e-01      0.000000e+00      0.000000e+00
3.847446e-01      0.000000e+00      0.000000e+00
4.103942e-01      0.000000e+00      0.000000e+00
4.360439e-01      0.000000e+00      0.000000e+00
4.616935e-01      0.000000e+00      0.000000e+00
4.873431e-01      0.000000e+00      0.000000e+00
5.129928e-01      0.000000e+00      0.000000e+00
5.386424e-01      0.000000e+00      0.000000e+00
5.642921e-01      0.000000e+00      0.000000e+00
5.899417e-01      0.000000e+00      0.000000e+00
6.155913e-01      0.000000e+00      0.000000e+00
6.412410e-01      0.000000e+00      0.000000e+00
6.668906e-01      0.000000e+00      0.000000e+00
6.925403e-01      0.000000e+00      0.000000e+00
7.181899e-01      0.000000e+00      0.000000e+00
7.438395e-01      0.000000e+00      0.000000e+00
7.694892e-01      0.000000e+00      0.000000e+00
7.951388e-01      0.000000e+00      0.000000e+00
8.207885e-01      0.000000e+00      0.000000e+00
8.464381e-01      1.167137e-05      4.469796e-06
8.720877e-01      1.215094e-03      4.715913e-05
8.977374e-01      2.430847e-02      2.867111e-04
9.233870e-01      1.640330e-01      6.772584e-04
9.490367e-01      5.634763e-01      1.677666e-03
9.746863e-01      1.197177e+00      2.448196e-03
1.000336e+00      1.861619e+00      2.901663e-03
1.025986e+00      2.335333e+00      2.209301e-03
1.051635e+00      2.552399e+00      2.092189e-03
1.077285e+00      2.550670e+00      1.959833e-03
1.102934e+00      2.409407e+00      1.823200e-03
1.128584e+00      2.202597e+00      2.075006e-03
1.154234e+00      1.973166e+00      2.204337e-03
1.179883e+00      1.757237e+00      2.205468e-03
1.205533e+00      1.558759e+00      2.327961e-03
1.231183e+00      1.388020e+00      1.768877e-03
1.256832e+00      1.246872e+00      1.783875e-03
1.282482e+00      1.125882e+00      1.475392e-03
1.308132e+00      1.023416e+00      1.498021e-03
1.333781e+00      9.415832e-01      1.466453e-03
1.359431e+00      8.741272e-01      1.191044e-03
1.385081e+00      8.178192e-01      1.087933e-03
1.410730e+00      7.741163e-01      1.020233e-03
1.436380e+00      7.383774e-01      1.081460e-03
1.462029e+00      7.113412e-01      1.123219e-03
1.487679e+00      6.913660e-01      9.615533e-04
1.513329e+00      6.783006e-01      8.908518e-04
1.538978e+00      6.710788e-01      8.397594e-04
1.564628e+00      6.706108e-01      9.176614e-04
1.590278e+00      6.751120e-01      1.125622e-03
1.615927e+00      6.844548e-01      1.005250e-03
1.641577e+00      7.008606e-01      7.986365e-04
1.667227e+00      7.224169e-01      9.711927e-04
1.692876e+00      7.480899e-01      9.957785e-04
1.718526e+00      7.790594e-01      1.146061e-03
1.744175e+00      8.145453e-01      1.074173e-03
1.769825e+00      8.518686e-01      8.628008e-04
1.795475e+00      8.931194e-01      9.944988e-04
1.821124e+00      9.352435e-01      9.159305e-04
1.846774e+00      9.773776e-01      8.611440e-04
1.872424e+00      1.019990e+00      1.109243e-03
1.898073e+00      1.058079e+00      1.034972e-03
1.923723e+00      1.096369e+00      1.289293e-03
1.949373e+00      1.128847e+00      1.014026e-03
1.975022e+00      1.162414e+00      9.424789e-04
2.000672e+00      1.186167e+00      1.016681e-03
2.026321e+00      1.203480e+00      1.009800e-03
2.051971e+00      1.214120e+00      9.341561e-04
2.077621e+00      1.216329e+00      9.316976e-04
2.103270e+00      1.210100e+00      9.317708e-04
2.128920e+00      1.194952e+00      9.263715e-04
2.154570e+00      1.175468e+00      9.428491e-04
2.180219e+00      1.152826e+00      9.965932e-04
2.205869e+00      1.124486e+00      8.867652e-04
2.231519e+00      1.096687e+00      9.727592e-04
2.257168e+00      1.067013e+00      8.668665e-04
2.282818e+00      1.039967e+00      9.180435e-04
2.308468e+00      1.012847e+00      7.540955e-04
2.334117e+00      9.885017e-01      9.230806e-04
2.359767e+00      9.658050e-01      7.432412e-04
2.385416e+00      9.470993e-01      8.336517e-04
2.411066e+00      9.308202e-01      6.944269e-04
2.436716e+00      9.172347e-01      8.007261e-04
2.462365e+00      9.079156e-01      7.288681e-04
2.488015e+00      8.936365e-01      7.533262e-04
2.513665e+00      8.849767e-01      8.026941e-04
2.539314e+00      8.843418e-01      8.854209e-04
