#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.650000e+00      1.650000e+00      0.000000e+00
           2      1.650000e+00      1.650000e+00      0.000000e+00
           3      1.650000e+00      1.650000e+00      1.720638e-08
           4      1.650000e+00      1.650000e+00      0.000000e+00
           5      1.650000e+00      1.650000e+00      0.000000e+00
           6      1.650000e+00      1.650000e+00      1.216675e-08
           7      1.650000e+00      1.650000e+00      1.379579e-08
           8      1.650000e+00      1.650000e+00      1.053671e-08
           9      1.650000e+00      1.650000e+00      9.934107e-09
          10      1.650000e+00      1.650000e+00      6.664002e-09
          11      1.650000e+00      1.650000e+00      6.353876e-09
          12      1.650000e+00      1.650000e+00      1.053671e-08
          13      1.650000e+00      1.650000e+00      1.168943e-08
          14      1.650000e+00      1.650000e+00      1.126422e-08
          15      1.650000e+00      1.650000e+00      1.216675e-08
          16      1.650000e+00      1.650000e+00      1.178040e-08
          17      1.650000e+00      1.650000e+00      1.142867e-08
          18      1.650000e+00      1.650000e+00      1.110667e-08
          19      1.650000e+00      1.650000e+00      1.279108e-08
          20      1.650000e+00      1.650000e+00      1.246721e-08
          21      1.650000e+00      1.650000e+00      1.028278e-08
          22      1.650000e+00      1.650000e+00      1.100524e-08
          23      1.650000e+00      1.650000e+00      9.825535e-09
          24      1.650000e+00      1.650000e+00      9.618658e-09
          25      1.650000e+00      1.650000e+00      5.960464e-09
          26      1.650000e+00      1.650000e+00      5.844716e-09
          27      1.650000e+00      1.650000e+00      4.055582e-09
          28      1.650000e+00      1.650000e+00      3.982503e-09
          29      1.650000e+00      1.650000e+00      5.534152e-09
          30      1.650000e+00      1.650000e+00      5.441135e-09
          31      1.650000e+00      1.650000e+00      7.569797e-09
          32      1.650000e+00      1.650000e+00      7.450581e-09
          33      1.650000e+00      1.650000e+00      7.336825e-09
          34      1.650000e+00      1.650000e+00      8.081289e-09
          35      1.650000e+00      1.650000e+00      9.424322e-09
          36      1.650000e+00      1.650000e+00      9.292507e-09
          37      1.650000e+00      1.650000e+00      9.166072e-09
          38      1.650000e+00      1.650000e+00      9.669150e-09
          39      1.650000e+00      1.650000e+00      9.544382e-09
          40      1.650000e+00      1.650000e+00      8.161702e-09
          41      1.650000e+00      1.650000e+00      7.359159e-09
          42      1.650000e+00      1.650000e+00      7.965006e-09
          43      1.650000e+00      1.650000e+00      6.427334e-09
          44      1.650000e+00      1.650000e+00      6.353876e-09
          45      1.650000e+00      1.650000e+00      4.442668e-09
          46      1.650000e+00      1.650000e+00      4.394113e-09
          47      1.650000e+00      1.650000e+00      4.347116e-09
          48      1.650000e+00      1.650000e+00      3.041687e-09
          49      1.650000e+00      1.650000e+00      3.010489e-09
          50      1.650000e+00      1.650000e+00      2.980232e-09
