#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.459631e+00     -5.459631e+00      0.000000e+00
           2     -5.448904e+00     -5.454268e+00      3.792584e-03
           3     -5.466593e+00     -5.458376e+00      4.200684e-03
           4     -5.473697e+00     -5.462206e+00      4.574738e-03
           5     -5.458846e+00     -5.461534e+00      3.708830e-03
           6     -5.488469e+00     -5.466023e+00      5.132877e-03
           7     -5.461628e+00     -5.465395e+00      4.437855e-03
           8     -5.451514e+00     -5.463660e+00      4.208699e-03
           9     -5.470578e+00     -5.464429e+00      3.810608e-03
          10     -5.459140e+00     -5.463900e+00      3.466050e-03
          11     -5.455600e+00     -5.463146e+00      3.232041e-03
          12     -5.480608e+00     -5.464601e+00      3.273963e-03
          13     -5.458266e+00     -5.464113e+00      3.058164e-03
          14     -5.461611e+00     -5.463935e+00      2.844944e-03
          15     -5.470002e+00     -5.464339e+00      2.683877e-03
          16     -5.473849e+00     -5.464934e+00      2.581103e-03
          17     -5.478732e+00     -5.465745e+00      2.553709e-03
          18     -5.477414e+00     -5.466393e+00      2.492762e-03
          19     -5.476712e+00     -5.466937e+00      2.419998e-03
          20     -5.474294e+00     -5.467304e+00      2.326790e-03
          21     -5.462641e+00     -5.467082e+00      2.226562e-03
          22     -5.462796e+00     -5.466887e+00      2.133861e-03
          23     -5.478207e+00     -5.467380e+00      2.097067e-03
          24     -5.478880e+00     -5.467859e+00      2.063713e-03
          25     -5.457633e+00     -5.467450e+00      2.021292e-03
          26     -5.490589e+00     -5.468340e+00      2.130488e-03
          27     -5.468787e+00     -5.468356e+00      2.051646e-03
          28     -5.466592e+00     -5.468293e+00      1.979340e-03
          29     -5.450265e+00     -5.467672e+00      2.006342e-03
          30     -5.479433e+00     -5.468064e+00      1.977396e-03
          31     -5.490177e+00     -5.468777e+00      2.038216e-03
          32     -5.450946e+00     -5.468220e+00      2.049275e-03
          33     -5.472457e+00     -5.468348e+00      1.991194e-03
          34     -5.458720e+00     -5.468065e+00      1.952665e-03
          35     -5.469171e+00     -5.468097e+00      1.897130e-03
          36     -5.469908e+00     -5.468147e+00      1.845099e-03
          37     -5.469373e+00     -5.468180e+00      1.795529e-03
          38     -5.473308e+00     -5.468315e+00      1.753341e-03
          39     -5.477923e+00     -5.468561e+00      1.725603e-03
          40     -5.459671e+00     -5.468339e+00      1.696716e-03
          41     -5.451999e+00     -5.467941e+00      1.701495e-03
          42     -5.464330e+00     -5.467855e+00      1.663153e-03
          43     -5.448982e+00     -5.467416e+00      1.681391e-03
          44     -5.465089e+00     -5.467363e+00      1.644009e-03
          45     -5.470933e+00     -5.467442e+00      1.609388e-03
          46     -5.441099e+00     -5.466869e+00      1.673192e-03
          47     -5.477842e+00     -5.467103e+00      1.653799e-03
          48     -5.467275e+00     -5.467107e+00      1.619349e-03
          49     -5.447085e+00     -5.466698e+00      1.637040e-03
          50     -5.461479e+00     -5.466594e+00      1.607623e-03
