#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      1.257379e+00      1.257379e+00      0.000000e+00
           2      1.312644e+00      1.285012e+00      1.953903e-02
           3      1.191566e+00      1.253863e+00      2.857430e-02
           4      1.196577e+00      1.239542e+00      2.476102e-02
           5      1.271159e+00      1.245865e+00      2.060044e-02
           6      1.118165e+00      1.224582e+00      2.592662e-02
           7      1.264938e+00      1.230347e+00      2.285481e-02
           8      1.308918e+00      1.240168e+00      2.200728e-02
           9      1.189748e+00      1.234566e+00      2.026253e-02
          10      1.265417e+00      1.237651e+00      1.846965e-02
          11      1.270202e+00      1.240610e+00      1.702599e-02
          12      1.155169e+00      1.233490e+00      1.703097e-02
          13      1.228813e+00      1.233130e+00      1.572470e-02
          14      1.241939e+00      1.233760e+00      1.461409e-02
          15      1.181267e+00      1.230260e+00      1.405257e-02
          16      1.181158e+00      1.227191e+00      1.350523e-02
          17      1.148382e+00      1.222555e+00      1.348301e-02
          18      1.171205e+00      1.219702e+00      1.303227e-02
          19      1.153956e+00      1.216242e+00      1.279751e-02
          20      1.173632e+00      1.214112e+00      1.233370e-02
          21      1.210938e+00      1.213961e+00      1.174731e-02
          22      1.255521e+00      1.215850e+00      1.136422e-02
          23      1.153571e+00      1.213142e+00      1.118807e-02
          24      1.133625e+00      1.209829e+00      1.120174e-02
          25      1.251755e+00      1.211506e+00      1.087849e-02
          26      1.079093e+00      1.206413e+00      1.159104e-02
          27      1.204329e+00      1.206336e+00      1.116200e-02
          28      1.175428e+00      1.205232e+00      1.081780e-02
          29      1.310328e+00      1.208856e+00      1.103512e-02
          30      1.164328e+00      1.207372e+00      1.076663e-02
          31      1.083385e+00      1.203372e+00      1.113745e-02
          32      1.306309e+00      1.206589e+00      1.124435e-02
          33      1.169309e+00      1.205459e+00      1.096022e-02
          34      1.282257e+00      1.207718e+00      1.086812e-02
          35      1.191082e+00      1.207243e+00      1.056799e-02
          36      1.180990e+00      1.206513e+00      1.029956e-02
          37      1.222890e+00      1.206956e+00      1.003070e-02
          38      1.206553e+00      1.206945e+00      9.766742e-03
          39      1.151226e+00      1.205517e+00      9.620244e-03
          40      1.247840e+00      1.206575e+00      9.437746e-03
          41      1.292885e+00      1.208680e+00      9.439416e-03
          42      1.236966e+00      1.209353e+00      9.238663e-03
          43      1.301563e+00      1.211498e+00      9.269343e-03
          44      1.216483e+00      1.211611e+00      9.059368e-03
          45      1.196679e+00      1.211279e+00      8.864124e-03
          46      1.315508e+00      1.213545e+00      8.956343e-03
          47      1.140664e+00      1.211994e+00      8.899006e-03
          48      1.218397e+00      1.212128e+00      8.714610e-03
          49      1.321158e+00      1.214353e+00      8.816255e-03
          50      1.252357e+00      1.215113e+00      8.672632e-03
