#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.100000e+00      1.100000e+00      0.000000e+00
           2      1.100000e+00      1.100000e+00      0.000000e+00
           3      1.100000e+00      1.100000e+00      0.000000e+00
           4      1.100000e+00      1.100000e+00      0.000000e+00
           5      1.100000e+00      1.100000e+00      0.000000e+00
           6      1.100000e+00      1.100000e+00      0.000000e+00
           7      1.100000e+00      1.100000e+00      5.632110e-09
           8      1.100000e+00      1.100000e+00      0.000000e+00
           9      1.100000e+00      1.100000e+00      0.000000e+00
          10      1.100000e+00      1.100000e+00      4.712161e-09
          11      1.100000e+00      1.100000e+00      4.492869e-09
          12      1.100000e+00      1.100000e+00      4.301595e-09
          13      1.100000e+00      1.100000e+00      5.844716e-09
          14      1.100000e+00      1.100000e+00      5.632110e-09
          15      1.100000e+00      1.100000e+00      5.441135e-09
          16      1.100000e+00      1.100000e+00      5.268356e-09
          17      1.100000e+00      1.100000e+00      5.111056e-09
          18      1.100000e+00      1.100000e+00      4.967054e-09
          19      1.100000e+00      1.100000e+00      4.834575e-09
          20      1.100000e+00      1.100000e+00      4.712161e-09
          21      1.100000e+00      1.100000e+00      4.598598e-09
          22      1.100000e+00      1.100000e+00      5.502618e-09
          23      1.100000e+00      1.100000e+00      5.381667e-09
          24      1.100000e+00      1.100000e+00      5.268356e-09
          25      1.100000e+00      1.100000e+00      5.161914e-09
          26      1.100000e+00      1.100000e+00      5.061673e-09
          27      1.100000e+00      1.100000e+00      4.967054e-09
          28      1.100000e+00      1.100000e+00      4.877550e-09
          29      1.100000e+00      1.100000e+00      4.792717e-09
          30      1.100000e+00      1.100000e+00      4.712161e-09
          31      1.100000e+00      1.100000e+00      4.635535e-09
          32      1.100000e+00      1.100000e+00      4.562530e-09
          33      1.100000e+00      1.100000e+00      4.492869e-09
          34      1.100000e+00      1.100000e+00      4.426304e-09
          35      1.100000e+00      1.100000e+00      4.362613e-09
          36      1.100000e+00      1.100000e+00      4.301595e-09
          37      1.100000e+00      1.100000e+00      4.243067e-09
          38      1.100000e+00      1.100000e+00      4.186865e-09
          39      1.100000e+00      1.100000e+00      4.132839e-09
          40      1.100000e+00      1.100000e+00      4.080851e-09
          41      1.100000e+00      1.100000e+00      4.030777e-09
          42      1.100000e+00      1.100000e+00      3.982503e-09
          43      1.100000e+00      1.100000e+00      3.935922e-09
          44      1.100000e+00      1.100000e+00      3.890939e-09
          45      1.100000e+00      1.100000e+00      3.847463e-09
          46      1.100000e+00      1.100000e+00      3.805413e-09
          47      1.100000e+00      1.100000e+00      3.764712e-09
          48      1.100000e+00      1.100000e+00      3.725290e-09
          49      1.100000e+00      1.100000e+00      3.687081e-09
          50      1.100000e+00      1.100000e+00      3.650024e-09
