#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.809631e+00     -3.809631e+00      0.000000e+00
           2     -3.798904e+00     -3.804268e+00      3.792584e-03
           3     -3.816593e+00     -3.808376e+00      4.200684e-03
           4     -3.823697e+00     -3.812206e+00      4.574738e-03
           5     -3.808846e+00     -3.811534e+00      3.708830e-03
           6     -3.838469e+00     -3.816023e+00      5.132877e-03
           7     -3.811628e+00     -3.815395e+00      4.437855e-03
           8     -3.801514e+00     -3.813660e+00      4.208699e-03
           9     -3.820578e+00     -3.814429e+00      3.810608e-03
          10     -3.809140e+00     -3.813900e+00      3.466050e-03
          11     -3.805600e+00     -3.813146e+00      3.232041e-03
          12     -3.830608e+00     -3.814601e+00      3.273963e-03
          13     -3.808266e+00     -3.814113e+00      3.058164e-03
          14     -3.811611e+00     -3.813935e+00      2.844944e-03
          15     -3.820002e+00     -3.814339e+00      2.683877e-03
          16     -3.823849e+00     -3.814934e+00      2.581103e-03
          17     -3.828732e+00     -3.815745e+00      2.553709e-03
          18     -3.827414e+00     -3.816393e+00      2.492762e-03
          19     -3.826712e+00     -3.816937e+00      2.419998e-03
          20     -3.824294e+00     -3.817304e+00      2.326790e-03
          21     -3.812641e+00     -3.817082e+00      2.226562e-03
          22     -3.812796e+00     -3.816887e+00      2.133861e-03
          23     -3.828207e+00     -3.817380e+00      2.097067e-03
          24     -3.828880e+00     -3.817859e+00      2.063713e-03
          25     -3.807633e+00     -3.817450e+00      2.021292e-03
          26     -3.840589e+00     -3.818340e+00      2.130488e-03
          27     -3.818787e+00     -3.818356e+00      2.051646e-03
          28     -3.816592e+00     -3.818293e+00      1.979340e-03
          29     -3.800265e+00     -3.817672e+00      2.006342e-03
          30     -3.829433e+00     -3.818064e+00      1.977396e-03
          31     -3.840177e+00     -3.818777e+00      2.038216e-03
          32     -3.800946e+00     -3.818220e+00      2.049275e-03
          33     -3.822457e+00     -3.818348e+00      1.991194e-03
          34     -3.808720e+00     -3.818065e+00      1.952665e-03
          35     -3.819171e+00     -3.818097e+00      1.897130e-03
          36     -3.819908e+00     -3.818147e+00      1.845099e-03
          37     -3.819373e+00     -3.818180e+00      1.795529e-03
          38     -3.823308e+00     -3.818315e+00      1.753341e-03
          39     -3.827923e+00     -3.818561e+00      1.725603e-03
          40     -3.809671e+00     -3.818339e+00      1.696716e-03
          41     -3.801999e+00     -3.817941e+00      1.701495e-03
          42     -3.814330e+00     -3.817855e+00      1.663153e-03
          43     -3.798982e+00     -3.817416e+00      1.681391e-03
          44     -3.815089e+00     -3.817363e+00      1.644009e-03
          45     -3.820933e+00     -3.817442e+00      1.609388e-03
          46     -3.791099e+00     -3.816869e+00      1.673192e-03
          47     -3.827842e+00     -3.817103e+00      1.653799e-03
          48     -3.817275e+00     -3.817107e+00      1.619349e-03
          49     -3.797085e+00     -3.816698e+00      1.637040e-03
          50     -3.811479e+00     -3.816594e+00      1.607623e-03
