#   N_BLOCK:  ACCEPTANCE:
           1      2.840278e-03
           2      3.067901e-03
           3      3.113426e-03
           4      3.152778e-03
           5      3.185957e-03
           6      3.253307e-03
           7      3.284144e-03
           8      3.291667e-03
           9      3.278241e-03
          10      3.278620e-03
          11      3.283565e-03
          12      3.298077e-03
          13      3.296958e-03
          14      3.305247e-03
          15      3.309317e-03
          16      3.307190e-03
          17      3.310957e-03
          18      3.301170e-03
          19      3.301157e-03
          20      3.298942e-03
          21      3.294613e-03
          22      3.307166e-03
          23      3.306327e-03
          24      3.311852e-03
          25      3.308761e-03
          26      3.321674e-03
          27      3.319279e-03
          28      3.331418e-03
          29      3.341975e-03
          30      3.344534e-03
          31      3.350550e-03
          32      3.355780e-03
          33      3.353350e-03
          34      3.360714e-03
          35      3.354167e-03
          36      3.356982e-03
          37      3.351243e-03
          38      3.346035e-03
          39      3.352431e-03
          40      3.348351e-03
          41      3.345128e-03
          42      3.336456e-03
          43      3.341014e-03
          44      3.345576e-03
          45      3.346719e-03
          46      3.343578e-03
          47      3.340278e-03
          48      3.340231e-03
          49      3.338148e-03
          50      3.336238e-03
