# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.306643e-02      0.000000e+00      0.000000e+00
4.613286e-02      0.000000e+00      0.000000e+00
6.919929e-02      0.000000e+00      0.000000e+00
9.226572e-02      0.000000e+00      0.000000e+00
1.153321e-01      0.000000e+00      0.000000e+00
1.383986e-01      0.000000e+00      0.000000e+00
1.614650e-01      0.000000e+00      0.000000e+00
1.845314e-01      0.000000e+00      0.000000e+00
2.075979e-01      0.000000e+00      0.000000e+00
2.306643e-01      0.000000e+00      0.000000e+00
2.537307e-01      0.000000e+00      0.000000e+00
2.767971e-01      0.000000e+00      0.000000e+00
2.998636e-01      0.000000e+00      0.000000e+00
3.229300e-01      0.000000e+00      0.000000e+00
3.459964e-01      0.000000e+00      0.000000e+00
3.690629e-01      0.000000e+00      0.000000e+00
3.921293e-01      0.000000e+00      0.000000e+00
4.151957e-01      0.000000e+00      0.000000e+00
4.382621e-01      0.000000e+00      0.000000e+00
4.613286e-01      0.000000e+00      0.000000e+00
4.843950e-01      0.000000e+00      0.000000e+00
5.074614e-01      0.000000e+00      0.000000e+00
5.305279e-01      0.000000e+00      0.000000e+00
5.535943e-01      0.000000e+00      0.000000e+00
5.766607e-01      0.000000e+00      0.000000e+00
5.997271e-01      0.000000e+00      0.000000e+00
6.227936e-01      0.000000e+00      0.000000e+00
6.458600e-01      0.000000e+00      0.000000e+00
6.689264e-01      0.000000e+00      0.000000e+00
6.919929e-01      0.000000e+00      0.000000e+00
7.150593e-01      0.000000e+00      0.000000e+00
7.381257e-01      0.000000e+00      0.000000e+00
7.611922e-01      0.000000e+00      0.000000e+00
7.842586e-01      0.000000e+00      0.000000e+00
8.073250e-01      0.000000e+00      0.000000e+00
8.303914e-01      0.000000e+00      0.000000e+00
8.534579e-01      0.000000e+00      0.000000e+00
8.765243e-01      5.817600e-05      2.960476e-05
8.995907e-01      3.467881e-03      5.677374e-04
9.226572e-01      4.366834e-02      2.220208e-03
9.457236e-01      2.889011e-01      7.755478e-03
9.687900e-01      9.969306e-01      1.709668e-02
9.918564e-01      2.225288e+00      2.090850e-02
1.014923e+00      3.631954e+00      1.924073e-02
1.037989e+00      4.628701e+00      2.801278e-02
1.061056e+00      4.885951e+00      3.291022e-02
1.084122e+00      4.505819e+00      2.965318e-02
1.107189e+00      3.689077e+00      2.324057e-02
1.130255e+00      2.711706e+00      1.581799e-02
1.153321e+00      1.816339e+00      1.391191e-02
1.176388e+00      1.121609e+00      1.085457e-02
1.199454e+00      6.526992e-01      8.623325e-03
1.222521e+00      3.472646e-01      7.920212e-03
1.245587e+00      1.690298e-01      4.298535e-03
1.268654e+00      8.520132e-02      3.346692e-03
1.291720e+00      4.601363e-02      1.827250e-03
1.314786e+00      4.213684e-02      2.570132e-03
1.337853e+00      5.809975e-02      2.611046e-03
1.360919e+00      1.033581e-01      3.310727e-03
1.383986e+00      1.834445e-01      4.384042e-03
1.407052e+00      3.000258e-01      5.769197e-03
1.430119e+00      4.548799e-01      5.668603e-03
1.453185e+00      6.286187e-01      6.714191e-03
1.476251e+00      7.955596e-01      7.933320e-03
1.499318e+00      9.329484e-01      9.296053e-03
1.522384e+00      9.673747e-01      1.098812e-02
1.545451e+00      9.448393e-01      1.072397e-02
1.568517e+00      8.050836e-01      6.121490e-03
1.591584e+00      6.287537e-01      5.571349e-03
1.614650e+00      4.686040e-01      5.667718e-03
1.637716e+00      3.100495e-01      5.047481e-03
1.660783e+00      2.133595e-01      4.113594e-03
1.683849e+00      1.907919e-01      4.774928e-03
1.706916e+00      2.532610e-01      5.677457e-03
1.729982e+00      4.417426e-01      7.806168e-03
1.753049e+00      7.413750e-01      8.873562e-03
1.776115e+00      1.194940e+00      1.000175e-02
1.799181e+00      1.711515e+00      8.714446e-03
1.822248e+00      2.223094e+00      8.931126e-03
1.845314e+00      2.625762e+00      1.531174e-02
1.868381e+00      2.729526e+00      1.677209e-02
1.891447e+00      2.562831e+00      1.358384e-02
1.914514e+00      2.186875e+00      1.224016e-02
1.937580e+00      1.695699e+00      7.992088e-03
1.960646e+00      1.195934e+00      6.588551e-03
1.983713e+00      8.023738e-01      7.913427e-03
2.006779e+00      5.365432e-01      6.945491e-03
2.029846e+00      4.276877e-01      7.224040e-03
2.052912e+00      4.573336e-01      5.958076e-03
2.075979e+00      5.737689e-01      4.392261e-03
2.099045e+00      7.566043e-01      4.684716e-03
2.122111e+00      9.224479e-01      5.705719e-03
2.145178e+00      1.014149e+00      7.460982e-03
2.168244e+00      1.036646e+00      6.677050e-03
2.191311e+00      9.283549e-01      5.879532e-03
2.214377e+00      7.828830e-01      4.438784e-03
2.237444e+00      6.448791e-01      5.722775e-03
2.260510e+00      5.631390e-01      6.607956e-03
2.283576e+00      5.768048e-01      6.891572e-03
