#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.542147e+00     -7.542147e+00      0.000000e+00
           2     -7.535351e+00     -7.538749e+00      2.402513e-03
           3     -7.543773e+00     -7.540424e+00      2.105967e-03
           4     -7.537849e+00     -7.539780e+00      1.674935e-03
           5     -7.556356e+00     -7.543095e+00      3.253869e-03
           6     -7.553310e+00     -7.544798e+00      3.125385e-03
           7     -7.534956e+00     -7.543392e+00      2.978392e-03
           8     -7.544033e+00     -7.543472e+00      2.607170e-03
           9     -7.549180e+00     -7.544106e+00      2.393380e-03
          10     -7.548492e+00     -7.544545e+00      2.193854e-03
          11     -7.550265e+00     -7.545065e+00      2.055116e-03
          12     -7.542549e+00     -7.544855e+00      1.894515e-03
          13     -7.546392e+00     -7.544973e+00      1.752470e-03
          14     -7.545046e+00     -7.544978e+00      1.627301e-03
          15     -7.559109e+00     -7.545920e+00      1.770608e-03
          16     -7.559842e+00     -7.546791e+00      1.861482e-03
          17     -7.537383e+00     -7.546237e+00      1.832387e-03
          18     -7.540901e+00     -7.545941e+00      1.754407e-03
          19     -7.554124e+00     -7.546371e+00      1.714125e-03
          20     -7.549941e+00     -7.546550e+00      1.637682e-03
          21     -7.549613e+00     -7.546696e+00      1.566179e-03
          22     -7.546614e+00     -7.546692e+00      1.494993e-03
          23     -7.542176e+00     -7.546496e+00      1.442832e-03
          24     -7.553407e+00     -7.546784e+00      1.411158e-03
          25     -7.539780e+00     -7.546503e+00      1.382242e-03
          26     -7.546163e+00     -7.546490e+00      1.329141e-03
          27     -7.541722e+00     -7.546314e+00      1.291595e-03
          28     -7.539543e+00     -7.546072e+00      1.267902e-03
          29     -7.535963e+00     -7.545723e+00      1.271192e-03
          30     -7.554698e+00     -7.546023e+00      1.263530e-03
          31     -7.555105e+00     -7.546315e+00      1.256278e-03
          32     -7.539595e+00     -7.546105e+00      1.234451e-03
          33     -7.555948e+00     -7.546404e+00      1.232550e-03
          34     -7.538688e+00     -7.546177e+00      1.217010e-03
          35     -7.555630e+00     -7.546447e+00      1.211836e-03
          36     -7.557601e+00     -7.546757e+00      1.217140e-03
          37     -7.529200e+00     -7.546282e+00      1.273382e-03
          38     -7.544984e+00     -7.546248e+00      1.240331e-03
          39     -7.556825e+00     -7.546519e+00      1.237822e-03
          40     -7.566460e+00     -7.547018e+00      1.303401e-03
          41     -7.538398e+00     -7.546808e+00      1.288456e-03
          42     -7.542192e+00     -7.546698e+00      1.262457e-03
          43     -7.552140e+00     -7.546824e+00      1.239426e-03
          44     -7.543626e+00     -7.546752e+00      1.213387e-03
          45     -7.553797e+00     -7.546908e+00      1.196481e-03
          46     -7.541355e+00     -7.546787e+00      1.176545e-03
          47     -7.560516e+00     -7.547079e+00      1.187217e-03
          48     -7.535870e+00     -7.546846e+00      1.185231e-03
          49     -7.535862e+00     -7.546622e+00      1.182051e-03
          50     -7.553067e+00     -7.546751e+00      1.165418e-03
