#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     -1.494131e+00     -1.494131e+00      0.000000e+00
           2     -1.239292e+00     -1.366711e+00      9.009924e-02
           3     -1.444237e+00     -1.392553e+00      6.366430e-02
           4     -1.621040e+00     -1.449675e+00      6.875366e-02
           5     -1.093584e+00     -1.378457e+00      8.416021e-02
           6     -1.754328e+00     -1.441102e+00      9.049344e-02
           7     -1.171338e+00     -1.402564e+00      8.537825e-02
           8     -1.418209e+00     -1.404520e+00      7.472836e-02
           9     -1.430771e+00     -1.407437e+00      6.648211e-02
          10     -1.797802e+00     -1.446473e+00      7.036733e-02
          11     -1.418505e+00     -1.443931e+00      6.401622e-02
          12     -1.335552e+00     -1.434899e+00      5.931521e-02
          13     -1.645154e+00     -1.451073e+00      5.691481e-02
          14     -1.718062e+00     -1.470143e+00      5.595338e-02
          15     -1.317338e+00     -1.459956e+00      5.314240e-02
          16     -1.621095e+00     -1.470027e+00      5.076634e-02
          17     -1.309152e+00     -1.460564e+00      4.865410e-02
          18     -2.108900e+00     -1.496583e+00      5.776480e-02
          19     -1.655404e+00     -1.504942e+00      5.532604e-02
          20     -1.351356e+00     -1.497262e+00      5.309001e-02
          21     -1.488490e+00     -1.496845e+00      5.056356e-02
          22     -8.305430e-01     -1.466558e+00      5.661365e-02
          23     -1.774140e+00     -1.479931e+00      5.570928e-02
          24     -1.790062e+00     -1.492854e+00      5.486628e-02
          25     -1.003771e+00     -1.473290e+00      5.605100e-02
          26     -8.878862e-01     -1.450775e+00      5.824211e-02
          27     -1.276984e+00     -1.444338e+00      5.643955e-02
          28     -1.260678e+00     -1.437779e+00      5.480368e-02
          29     -1.375982e+00     -1.435648e+00      5.295531e-02
          30     -1.322892e+00     -1.431889e+00      5.132334e-02
          31     -8.556121e-01     -1.413300e+00      5.292741e-02
          32     -1.545157e+00     -1.417420e+00      5.143358e-02
          33     -1.221396e+00     -1.411480e+00      5.021683e-02
          34     -1.381930e+00     -1.410611e+00      4.874738e-02
          35     -1.870049e+00     -1.423738e+00      4.909021e-02
          36     -1.638456e+00     -1.429702e+00      4.808756e-02
          37     -1.819702e+00     -1.440243e+00      4.792919e-02
          38     -1.627463e+00     -1.445170e+00      4.692044e-02
          39     -1.297925e+00     -1.441394e+00      4.586900e-02
          40     -1.446330e+00     -1.441517e+00      4.472244e-02
          41     -1.570157e+00     -1.444655e+00      4.374157e-02
          42     -2.185646e+00     -1.462298e+00      4.612104e-02
          43     -7.958989e-01     -1.446800e+00      4.758103e-02
          44     -1.198374e+00     -1.441154e+00      4.683343e-02
          45     -1.719922e+00     -1.447349e+00      4.620058e-02
          46     -1.880916e+00     -1.456774e+00      4.614764e-02
          47     -2.070990e+00     -1.469843e+00      4.697976e-02
          48     -1.826116e+00     -1.477265e+00      4.658365e-02
          49     -1.179203e+00     -1.471182e+00      4.602841e-02
          50     -1.768024e+00     -1.477119e+00      4.548910e-02
