#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      8.000000e-01      8.000000e-01      0.000000e+00
           2      8.000000e-01      8.000000e-01      0.000000e+00
           3      8.000000e-01      8.000000e-01      0.000000e+00
           4      8.000000e-01      8.000000e-01      0.000000e+00
           5      8.000000e-01      8.000000e-01      0.000000e+00
           6      8.000000e-01      8.000000e-01      0.000000e+00
           7      8.000000e-01      8.000000e-01      6.897897e-09
           8      8.000000e-01      8.000000e-01      5.268356e-09
           9      8.000000e-01      8.000000e-01      4.967054e-09
          10      8.000000e-01      8.000000e-01      3.332001e-09
          11      8.000000e-01      8.000000e-01      3.176938e-09
          12      8.000000e-01      8.000000e-01      3.041687e-09
          13      8.000000e-01      8.000000e-01      4.132839e-09
          14      8.000000e-01      8.000000e-01      3.982503e-09
          15      8.000000e-01      8.000000e-01      4.712161e-09
          16      8.000000e-01      8.000000e-01      4.562530e-09
          17      8.000000e-01      8.000000e-01      4.426304e-09
          18      8.000000e-01      8.000000e-01      4.301595e-09
          19      8.000000e-01      8.000000e-01      5.405219e-09
          20      8.000000e-01      8.000000e-01      5.268356e-09
          21      8.000000e-01      8.000000e-01      5.141389e-09
          22      8.000000e-01      8.000000e-01      5.502618e-09
          23      8.000000e-01      8.000000e-01      5.381667e-09
          24      8.000000e-01      8.000000e-01      5.268356e-09
          25      8.000000e-01      8.000000e-01      5.161914e-09
          26      8.000000e-01      8.000000e-01      5.467231e-09
          27      8.000000e-01      8.000000e-01      5.365031e-09
          28      8.000000e-01      8.000000e-01      5.268356e-09
          29      8.000000e-01      8.000000e-01      5.176725e-09
          30      8.000000e-01      8.000000e-01      5.089716e-09
          31      8.000000e-01      8.000000e-01      5.006950e-09
          32      8.000000e-01      8.000000e-01      4.928096e-09
          33      8.000000e-01      8.000000e-01      4.852853e-09
          34      8.000000e-01      8.000000e-01      4.780955e-09
          35      8.000000e-01      8.000000e-01      4.712161e-09
          36      8.000000e-01      8.000000e-01      4.646253e-09
          37      8.000000e-01      8.000000e-01      4.583036e-09
          38      8.000000e-01      8.000000e-01      4.522331e-09
          39      8.000000e-01      8.000000e-01      4.463976e-09
          40      8.000000e-01      8.000000e-01      4.407823e-09
          41      8.000000e-01      8.000000e-01      4.353737e-09
          42      8.000000e-01      8.000000e-01      3.982503e-09
          43      8.000000e-01      8.000000e-01      3.213667e-09
          44      8.000000e-01      8.000000e-01      3.176938e-09
          45      8.000000e-01      8.000000e-01      2.720567e-09
          46      8.000000e-01      8.000000e-01      1.553553e-09
          47      8.000000e-01      8.000000e-01      1.536937e-09
          48      8.000000e-01      8.000000e-01      1.520843e-09
          49      8.000000e-01      8.000000e-01      1.505245e-09
          50      8.000000e-01      8.000000e-01      2.107342e-09
