#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -6.342147e+00     -6.342147e+00      0.000000e+00
           2     -6.335351e+00     -6.338749e+00      2.402513e-03
           3     -6.343773e+00     -6.340424e+00      2.105967e-03
           4     -6.337849e+00     -6.339780e+00      1.674935e-03
           5     -6.356356e+00     -6.343095e+00      3.253869e-03
           6     -6.353310e+00     -6.344798e+00      3.125385e-03
           7     -6.334956e+00     -6.343392e+00      2.978392e-03
           8     -6.344033e+00     -6.343472e+00      2.607170e-03
           9     -6.349180e+00     -6.344106e+00      2.393380e-03
          10     -6.348492e+00     -6.344545e+00      2.193854e-03
          11     -6.350265e+00     -6.345065e+00      2.055116e-03
          12     -6.342549e+00     -6.344855e+00      1.894515e-03
          13     -6.346392e+00     -6.344973e+00      1.752470e-03
          14     -6.345046e+00     -6.344978e+00      1.627301e-03
          15     -6.359109e+00     -6.345920e+00      1.770608e-03
          16     -6.359842e+00     -6.346791e+00      1.861482e-03
          17     -6.337383e+00     -6.346237e+00      1.832387e-03
          18     -6.340901e+00     -6.345941e+00      1.754407e-03
          19     -6.354124e+00     -6.346371e+00      1.714125e-03
          20     -6.349941e+00     -6.346550e+00      1.637682e-03
          21     -6.349613e+00     -6.346696e+00      1.566179e-03
          22     -6.346614e+00     -6.346692e+00      1.494993e-03
          23     -6.342176e+00     -6.346496e+00      1.442832e-03
          24     -6.353407e+00     -6.346784e+00      1.411158e-03
          25     -6.339780e+00     -6.346503e+00      1.382242e-03
          26     -6.346163e+00     -6.346490e+00      1.329141e-03
          27     -6.341722e+00     -6.346314e+00      1.291595e-03
          28     -6.339543e+00     -6.346072e+00      1.267902e-03
          29     -6.335963e+00     -6.345723e+00      1.271192e-03
          30     -6.354698e+00     -6.346023e+00      1.263530e-03
          31     -6.355105e+00     -6.346315e+00      1.256278e-03
          32     -6.339595e+00     -6.346105e+00      1.234451e-03
          33     -6.355948e+00     -6.346404e+00      1.232550e-03
          34     -6.338688e+00     -6.346177e+00      1.217010e-03
          35     -6.355630e+00     -6.346447e+00      1.211836e-03
          36     -6.357601e+00     -6.346757e+00      1.217140e-03
          37     -6.329200e+00     -6.346282e+00      1.273382e-03
          38     -6.344984e+00     -6.346248e+00      1.240331e-03
          39     -6.356825e+00     -6.346519e+00      1.237822e-03
          40     -6.366460e+00     -6.347018e+00      1.303401e-03
          41     -6.338398e+00     -6.346808e+00      1.288456e-03
          42     -6.342192e+00     -6.346698e+00      1.262457e-03
          43     -6.352140e+00     -6.346824e+00      1.239426e-03
          44     -6.343626e+00     -6.346752e+00      1.213387e-03
          45     -6.353797e+00     -6.346908e+00      1.196481e-03
          46     -6.341355e+00     -6.346787e+00      1.176545e-03
          47     -6.360516e+00     -6.347079e+00      1.187217e-03
          48     -6.335870e+00     -6.346846e+00      1.185231e-03
          49     -6.335862e+00     -6.346622e+00      1.182051e-03
          50     -6.353067e+00     -6.346751e+00      1.165418e-03
