# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
6.463304e-02      0.000000e+00      0.000000e+00
1.292661e-01      0.000000e+00      0.000000e+00
1.938991e-01      0.000000e+00      0.000000e+00
2.585322e-01      0.000000e+00      0.000000e+00
3.231652e-01      0.000000e+00      0.000000e+00
3.877982e-01      0.000000e+00      0.000000e+00
4.524313e-01      0.000000e+00      0.000000e+00
5.170643e-01      0.000000e+00      0.000000e+00
5.816974e-01      0.000000e+00      0.000000e+00
6.463304e-01      0.000000e+00      0.000000e+00
7.109634e-01      0.000000e+00      0.000000e+00
7.755965e-01      0.000000e+00      0.000000e+00
8.402295e-01      1.215325e-03      4.361277e-04
9.048626e-01      1.410860e-01      6.794959e-03
9.694956e-01      1.026950e+00      2.943542e-02
1.034129e+00      1.873767e+00      4.002400e-02
1.098762e+00      2.062589e+00      5.437543e-02
1.163395e+00      1.901395e+00      4.241135e-02
1.228028e+00      1.690628e+00      3.357721e-02
1.292661e+00      1.498606e+00      2.973150e-02
1.357294e+00      1.374169e+00      2.607752e-02
1.421927e+00      1.318228e+00      2.343415e-02
1.486560e+00      1.216154e+00      2.433101e-02
1.551193e+00      1.152267e+00      2.262627e-02
1.615826e+00      1.112206e+00      2.173104e-02
1.680459e+00      1.064971e+00      1.916164e-02
1.745092e+00      1.047662e+00      1.880838e-02
1.809725e+00      1.055984e+00      1.908929e-02
1.874358e+00      1.049473e+00      2.041795e-02
1.938991e+00      1.023290e+00      1.830690e-02
2.003624e+00      1.036548e+00      1.996104e-02
2.068257e+00      1.015476e+00      1.834180e-02
2.132890e+00      1.022700e+00      1.529180e-02
2.197523e+00      1.006279e+00      1.396546e-02
2.262156e+00      1.003744e+00      1.552493e-02
2.326789e+00      1.050342e+00      1.426471e-02
2.391423e+00      1.028960e+00      1.419830e-02
2.456056e+00      1.045348e+00      1.375606e-02
2.520689e+00      1.041136e+00      1.226920e-02
2.585322e+00      1.030184e+00      1.334127e-02
2.649955e+00      1.046656e+00      1.231828e-02
2.714588e+00      1.047108e+00      1.157500e-02
2.779221e+00      1.039139e+00      1.233267e-02
2.843854e+00      1.026878e+00      1.050746e-02
2.908487e+00      1.019321e+00      1.290015e-02
2.973120e+00      1.010320e+00      1.213361e-02
3.037753e+00      9.953828e-01      1.261890e-02
3.102386e+00      9.973469e-01      1.333607e-02
3.167019e+00      9.933475e-01      1.183914e-02
3.231652e+00      9.799545e-01      1.170728e-02
3.296285e+00      9.860601e-01      1.041937e-02
3.360918e+00      9.808958e-01      1.132488e-02
3.425551e+00      9.843661e-01      1.045902e-02
3.490184e+00      9.872724e-01      1.107538e-02
3.554817e+00      9.851638e-01      1.072228e-02
3.619450e+00      9.811375e-01      1.083443e-02
3.684083e+00      9.911107e-01      9.812292e-03
3.748716e+00      9.884025e-01      8.572584e-03
3.813349e+00      9.881408e-01      8.626610e-03
3.877982e+00      9.880490e-01      8.556764e-03
3.942615e+00      9.767914e-01      8.477710e-03
4.007249e+00      9.823829e-01      8.828879e-03
4.071882e+00      9.797189e-01      8.516452e-03
4.136515e+00      9.941137e-01      9.506215e-03
4.201148e+00      9.858272e-01      7.107105e-03
4.265781e+00      9.869481e-01      6.924453e-03
4.330414e+00      9.821332e-01      6.860149e-03
4.395047e+00      9.840929e-01      8.157433e-03
4.459680e+00      9.882503e-01      7.660156e-03
4.524313e+00      9.975748e-01      8.555642e-03
4.588946e+00      1.005976e+00      8.634410e-03
4.653579e+00      9.960214e-01      8.810200e-03
4.718212e+00      1.001343e+00      7.994198e-03
4.782845e+00      1.003610e+00      7.610130e-03
4.847478e+00      1.004432e+00      7.631998e-03
4.912111e+00      9.984523e-01      7.139595e-03
4.976744e+00      9.926787e-01      7.161309e-03
5.041377e+00      9.922129e-01      6.120644e-03
5.106010e+00      9.796167e-01      5.544922e-03
5.170643e+00      9.788911e-01      5.980692e-03
5.235276e+00      9.932427e-01      6.293132e-03
5.299909e+00      9.947514e-01      5.666778e-03
5.364542e+00      9.927945e-01      6.010345e-03
5.429175e+00      9.890583e-01      5.254742e-03
5.493808e+00      9.877296e-01      5.585546e-03
5.558442e+00      9.841473e-01      5.111695e-03
5.623075e+00      9.867625e-01      4.155854e-03
5.687708e+00      9.855892e-01      4.820647e-03
5.752341e+00      9.831227e-01      4.886793e-03
5.816974e+00      9.861512e-01      5.386138e-03
5.881607e+00      9.830940e-01      5.768553e-03
5.946240e+00      9.940550e-01      4.821934e-03
6.010873e+00      9.935875e-01      5.506990e-03
6.075506e+00      9.920940e-01      5.819370e-03
6.140139e+00      9.865465e-01      5.366632e-03
6.204772e+00      9.908967e-01      6.228941e-03
6.269405e+00      9.898579e-01      5.143596e-03
6.334038e+00      9.862768e-01      4.864721e-03
6.398671e+00      9.817888e-01      4.846043e-03
