#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.758527e+00      1.758527e+00      0.000000e+00
           2      1.739530e+00      1.749028e+00      6.716645e-03
           3      1.734074e+00      1.744044e+00      6.051113e-03
           4      1.749433e+00      1.745391e+00      4.685939e-03
           5      1.708283e+00      1.737969e+00      7.623466e-03
           6      1.796307e+00      1.747692e+00      1.091513e-02
           7      1.862980e+00      1.764162e+00      1.788936e-02
           8      1.834938e+00      1.773009e+00      1.770614e-02
           9      1.825556e+00      1.778847e+00      1.667364e-02
          10      1.765828e+00      1.777546e+00      1.505702e-02
          11      1.766632e+00      1.776553e+00      1.372085e-02
          12      1.762616e+00      1.775392e+00      1.262651e-02
          13      1.717325e+00      1.770925e+00      1.242020e-02
          14      1.755821e+00      1.769846e+00      1.157980e-02
          15      1.777901e+00      1.770383e+00      1.082026e-02
          16      1.806534e+00      1.772643e+00      1.037721e-02
          17      1.784990e+00      1.773369e+00      9.792166e-03
          18      1.823133e+00      1.776134e+00      9.630525e-03
          19      1.796824e+00      1.777223e+00      9.185016e-03
          20      1.732498e+00      1.774986e+00      8.993870e-03
          21      1.794693e+00      1.775925e+00      8.614406e-03
          22      1.798606e+00      1.776956e+00      8.284307e-03
          23      1.781672e+00      1.777161e+00      7.926657e-03
          24      1.808226e+00      1.778455e+00      7.701335e-03
          25      1.814773e+00      1.779908e+00      7.529048e-03
          26      1.802787e+00      1.780788e+00      7.290710e-03
          27      1.810651e+00      1.781894e+00      7.104085e-03
          28      1.807617e+00      1.782813e+00      6.909515e-03
          29      1.856093e+00      1.785339e+00      7.118334e-03
          30      1.837009e+00      1.787062e+00      7.086359e-03
          31      1.821780e+00      1.788182e+00      6.945704e-03
          32      1.831612e+00      1.789539e+00      6.859966e-03
          33      1.829994e+00      1.790765e+00      6.760741e-03
          34      1.845717e+00      1.792381e+00      6.752325e-03
          35      1.810410e+00      1.792896e+00      6.579020e-03
          36      1.790832e+00      1.792839e+00      6.396520e-03
          37      1.756824e+00      1.791866e+00      6.297265e-03
          38      1.781107e+00      1.791582e+00      6.137908e-03
          39      1.818186e+00      1.792265e+00      6.018313e-03
          40      1.768488e+00      1.791670e+00      5.897136e-03
          41      1.796814e+00      1.791796e+00      5.754638e-03
          42      1.794845e+00      1.791868e+00      5.618081e-03
          43      1.722242e+00      1.790249e+00      5.716007e-03
          44      1.748264e+00      1.789295e+00      5.665184e-03
          45      1.761944e+00      1.788687e+00      5.571799e-03
          46      1.751031e+00      1.787868e+00      5.510480e-03
          47      1.728728e+00      1.786610e+00      5.535038e-03
          48      1.777156e+00      1.786413e+00      5.423228e-03
          49      1.793101e+00      1.786550e+00      5.314267e-03
          50      1.797366e+00      1.786766e+00      5.212383e-03
