#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -3.554160e-01     -3.554160e-01      0.000000e+00
           2     -3.757313e-01     -3.655736e-01      7.182568e-03
           3     -3.600733e-01     -3.637402e-01      5.016933e-03
           4     -3.699810e-01     -3.653004e-01      3.997947e-03
           5     -3.637912e-01     -3.649985e-01      3.209732e-03
           6     -3.857186e-01     -3.684519e-01      4.134301e-03
           7     -4.134930e-01     -3.748863e-01      6.931465e-03
           8     -4.273901e-01     -3.814493e-01      8.629783e-03
           9     -4.091352e-01     -3.845255e-01      8.200890e-03
          10     -5.032240e-01     -3.963954e-01      1.346403e-02
          11     -4.397285e-01     -4.003347e-01      1.280337e-02
          12     -4.156894e-01     -4.016143e-01      1.180019e-02
          13     -4.397712e-01     -4.045495e-01      1.125160e-02
          14     -4.480443e-01     -4.076562e-01      1.086837e-02
          15     -3.736031e-01     -4.053860e-01      1.037821e-02
          16     -3.761732e-01     -4.035602e-01      9.888871e-03
          17     -4.592205e-01     -4.068344e-01      9.834268e-03
          18     -4.226005e-01     -4.077103e-01      9.326845e-03
          19     -4.173756e-01     -4.082190e-01      8.849820e-03
          20     -4.901859e-01     -4.123173e-01      9.308051e-03
          21     -3.942983e-01     -4.114593e-01      8.904272e-03
          22     -4.843706e-01     -4.147734e-01      9.095404e-03
          23     -4.243002e-01     -4.151876e-01      8.709379e-03
          24     -4.093503e-01     -4.149444e-01      8.349883e-03
          25     -3.817326e-01     -4.136159e-01      8.120881e-03
          26     -3.939216e-01     -4.128584e-01      7.843786e-03
          27     -4.221357e-01     -4.132020e-01      7.560798e-03
          28     -4.263011e-01     -4.136699e-01      7.305228e-03
          29     -4.110780e-01     -4.135805e-01      7.053870e-03
          30     -4.965239e-01     -4.163453e-01      7.340603e-03
          31     -4.409289e-01     -4.171383e-01      7.146517e-03
          32     -4.353354e-01     -4.177070e-01      6.945776e-03
          33     -3.950790e-01     -4.170213e-01      6.769060e-03
          34     -4.135038e-01     -4.169178e-01      6.570760e-03
          35     -3.981141e-01     -4.163806e-01      6.404950e-03
          36     -4.201677e-01     -4.164858e-01      6.227899e-03
          37     -3.861289e-01     -4.156653e-01      6.113381e-03
          38     -4.534724e-01     -4.166602e-01      6.032919e-03
          39     -4.307913e-01     -4.170226e-01      5.889100e-03
          40     -4.049785e-01     -4.167215e-01      5.749565e-03
          41     -3.918690e-01     -4.161153e-01      5.641194e-03
          42     -3.630496e-01     -4.148518e-01      5.646598e-03
          43     -3.329693e-01     -4.129476e-01      5.827534e-03
          44     -3.133439e-01     -4.106839e-01      6.118987e-03
          45     -3.316986e-01     -4.089286e-01      6.229669e-03
          46     -3.121376e-01     -4.068245e-01      6.439797e-03
          47     -2.909117e-01     -4.043583e-01      6.758544e-03
          48     -3.716901e-01     -4.036777e-01      6.651920e-03
          49     -4.103710e-01     -4.038143e-01      6.517569e-03
          50     -4.031225e-01     -4.038004e-01      6.387232e-03
