#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      4.340394e-02      4.340394e-02      0.000000e+00
           2      4.071884e-02      4.206139e-02      9.493284e-04
           3      4.061859e-02      4.158046e-02      7.448104e-04
           4      4.318976e-02      4.198278e-02      6.583636e-04
           5      3.907089e-02      4.140040e-02      7.407659e-04
           6      4.060946e-02      4.126858e-02      6.289249e-04
           7      4.524676e-02      4.183689e-02      7.532885e-04
           8      4.330086e-02      4.201989e-02      6.809922e-04
           9      4.127396e-02      4.193701e-02      6.103491e-04
          10      4.111311e-02      4.185462e-02      5.548470e-04
          11      4.362486e-02      4.201555e-02      5.272287e-04
          12      4.390726e-02      4.217319e-02      5.063124e-04
          13      4.285841e-02      4.222590e-02      4.701009e-04
          14      4.115786e-02      4.214961e-02      4.426691e-04
          15      4.105196e-02      4.207644e-02      4.191625e-04
          16      4.371935e-02      4.217912e-02      4.053467e-04
          17      3.648487e-02      4.184416e-02      5.011388e-04
          18      4.212641e-02      4.185984e-02      4.735430e-04
          19      4.298902e-02      4.191927e-02      4.523336e-04
          20      3.971582e-02      4.180910e-02      4.429309e-04
          21      4.471500e-02      4.194748e-02      4.429270e-04
          22      4.508236e-02      4.208997e-02      4.451253e-04
          23      4.533637e-02      4.223112e-02      4.475916e-04
          24      4.185428e-02      4.221542e-02      4.292173e-04
          25      4.194018e-02      4.220441e-02      4.121898e-04
          26      4.360571e-02      4.225830e-02      3.998444e-04
          27      4.382898e-02      4.231648e-02      3.892441e-04
          28      4.219170e-02      4.231202e-02      3.753681e-04
          29      4.506358e-02      4.240690e-02      3.742238e-04
          30      4.491894e-02      4.249064e-02      3.709994e-04
          31      4.595811e-02      4.260249e-02      3.755150e-04
          32      4.199441e-02      4.258349e-02      3.642606e-04
          33      4.232809e-02      4.257575e-02      3.533046e-04
          34      4.325890e-02      4.259584e-02      3.434842e-04
          35      4.627897e-02      4.270107e-02      3.494185e-04
          36      4.113654e-02      4.265761e-02      3.424044e-04
          37      3.938598e-02      4.256919e-02      3.443782e-04
          38      4.319520e-02      4.258567e-02      3.357094e-04
          39      4.243196e-02      4.258172e-02      3.271246e-04
          40      4.286013e-02      4.258868e-02      3.190205e-04
          41      4.250204e-02      4.258657e-02      3.112465e-04
          42      4.294712e-02      4.259516e-02      3.039543e-04
          43      4.042212e-02      4.254462e-02      3.010573e-04
          44      4.443344e-02      4.258755e-02      2.972599e-04
          45      4.267173e-02      4.258942e-02      2.906600e-04
          46      4.436980e-02      4.262812e-02      2.869066e-04
          47      3.802545e-02      4.253019e-02      2.970454e-04
          48      4.210569e-02      4.252135e-02      2.909886e-04
          49      4.280709e-02      4.252718e-02      2.851085e-04
          50      4.299008e-02      4.253644e-02      2.795566e-04
