#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.172351e+00      1.172351e+00      0.000000e+00
           2      1.159686e+00      1.166019e+00      4.477763e-03
           3      1.156049e+00      1.162696e+00      4.034075e-03
           4      1.166289e+00      1.163594e+00      3.123959e-03
           5      1.138855e+00      1.158646e+00      5.082311e-03
           6      1.197538e+00      1.165128e+00      7.276752e-03
           7      1.241986e+00      1.176108e+00      1.192624e-02
           8      1.223292e+00      1.182006e+00      1.180409e-02
           9      1.217037e+00      1.185898e+00      1.111576e-02
          10      1.177219e+00      1.185030e+00      1.003801e-02
          11      1.177755e+00      1.184369e+00      9.147235e-03
          12      1.175077e+00      1.183595e+00      8.417675e-03
          13      1.144883e+00      1.180617e+00      8.280132e-03
          14      1.170547e+00      1.179898e+00      7.719869e-03
          15      1.185267e+00      1.180256e+00      7.213506e-03
          16      1.204356e+00      1.181762e+00      6.918137e-03
          17      1.189993e+00      1.182246e+00      6.528111e-03
          18      1.215422e+00      1.184089e+00      6.420350e-03
          19      1.197883e+00      1.184815e+00      6.123344e-03
          20      1.154999e+00      1.183324e+00      5.995913e-03
          21      1.196462e+00      1.183950e+00      5.742937e-03
          22      1.199071e+00      1.184637e+00      5.522871e-03
          23      1.187781e+00      1.184774e+00      5.284438e-03
          24      1.205484e+00      1.185637e+00      5.134223e-03
          25      1.209849e+00      1.186605e+00      5.019365e-03
          26      1.201858e+00      1.187192e+00      4.860473e-03
          27      1.207101e+00      1.187929e+00      4.736057e-03
          28      1.205078e+00      1.188542e+00      4.606343e-03
          29      1.237395e+00      1.190226e+00      4.745556e-03
          30      1.224673e+00      1.191375e+00      4.724239e-03
          31      1.214520e+00      1.192121e+00      4.630469e-03
          32      1.221074e+00      1.193026e+00      4.573310e-03
          33      1.219996e+00      1.193843e+00      4.507161e-03
          34      1.230478e+00      1.194921e+00      4.501550e-03
          35      1.206940e+00      1.195264e+00      4.386014e-03
          36      1.193888e+00      1.195226e+00      4.264346e-03
          37      1.171216e+00      1.194577e+00      4.198176e-03
          38      1.187405e+00      1.194388e+00      4.091939e-03
          39      1.212124e+00      1.194843e+00      4.012208e-03
          40      1.178992e+00      1.194447e+00      3.931424e-03
          41      1.197876e+00      1.194530e+00      3.836425e-03
          42      1.196563e+00      1.194579e+00      3.745387e-03
          43      1.148161e+00      1.193499e+00      3.810672e-03
          44      1.165509e+00      1.192863e+00      3.776789e-03
          45      1.174630e+00      1.192458e+00      3.714532e-03
          46      1.167354e+00      1.191912e+00      3.673653e-03
          47      1.152485e+00      1.191073e+00      3.690026e-03
          48      1.184771e+00      1.190942e+00      3.615485e-03
          49      1.195400e+00      1.191033e+00      3.542845e-03
          50      1.198244e+00      1.191177e+00      3.474922e-03
