#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.375311e+00      1.375311e+00      0.000000e+00
           2      1.375290e+00      1.375300e+00      7.714809e-06
           3      1.375335e+00      1.375312e+00      1.065887e-05
           4      1.375373e+00      1.375327e+00      1.545703e-05
           5      1.375338e+00      1.375329e+00      1.252859e-05
           6      1.375233e+00      1.375313e+00      1.805163e-05
           7      1.375210e+00      1.375299e+00      2.062629e-05
           8      1.375185e+00      1.375284e+00      2.243891e-05
           9      1.375195e+00      1.375274e+00      2.204032e-05
          10      1.375193e+00      1.375266e+00      2.129085e-05
          11      1.375120e+00      1.375253e+00      2.312814e-05
          12      1.375161e+00      1.375245e+00      2.243444e-05
          13      1.375191e+00      1.375241e+00      2.109402e-05
          14      1.375206e+00      1.375239e+00      1.973562e-05
          15      1.375179e+00      1.375235e+00      1.881994e-05
          16      1.375150e+00      1.375229e+00      1.837984e-05
          17      1.375124e+00      1.375223e+00      1.830548e-05
          18      1.375227e+00      1.375223e+00      1.728996e-05
          19      1.375281e+00      1.375226e+00      1.664126e-05
          20      1.375258e+00      1.375228e+00      1.588271e-05
          21      1.375279e+00      1.375230e+00      1.531007e-05
          22      1.375367e+00      1.375237e+00      1.582280e-05
          23      1.375310e+00      1.375240e+00      1.545410e-05
          24      1.375303e+00      1.375242e+00      1.503232e-05
          25      1.375354e+00      1.375247e+00      1.507745e-05
          26      1.375333e+00      1.375250e+00      1.485396e-05
          27      1.375339e+00      1.375253e+00      1.466764e-05
          28      1.375309e+00      1.375255e+00      1.427925e-05
          29      1.375257e+00      1.375256e+00      1.378703e-05
          30      1.375211e+00      1.375254e+00      1.340727e-05
          31      1.375015e+00      1.375246e+00      1.503332e-05
          32      1.375031e+00      1.375240e+00      1.599628e-05
          33      1.375141e+00      1.375237e+00      1.579063e-05
          34      1.375210e+00      1.375236e+00      1.534493e-05
          35      1.375234e+00      1.375236e+00      1.490660e-05
          36      1.375171e+00      1.375234e+00      1.459950e-05
          37      1.375162e+00      1.375232e+00      1.433506e-05
          38      1.375269e+00      1.375233e+00      1.399151e-05
          39      1.375261e+00      1.375234e+00      1.365128e-05
          40      1.375264e+00      1.375234e+00      1.333084e-05
          41      1.375200e+00      1.375234e+00      1.303292e-05
          42      1.375192e+00      1.375233e+00      1.276065e-05
          43      1.375226e+00      1.375232e+00      1.246491e-05
          44      1.375311e+00      1.375234e+00      1.231015e-05
          45      1.375351e+00      1.375237e+00      1.230526e-05
          46      1.375400e+00      1.375240e+00      1.254027e-05
          47      1.375352e+00      1.375243e+00      1.249555e-05
          48      1.375345e+00      1.375245e+00      1.241365e-05
          49      1.375340e+00      1.375247e+00      1.231091e-05
          50      1.375262e+00      1.375247e+00      1.206867e-05
