# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.564964e-02      0.000000e+00      0.000000e+00
5.129928e-02      0.000000e+00      0.000000e+00
7.694892e-02      0.000000e+00      0.000000e+00
1.025986e-01      0.000000e+00      0.000000e+00
1.282482e-01      0.000000e+00      0.000000e+00
1.538978e-01      0.000000e+00      0.000000e+00
1.795475e-01      0.000000e+00      0.000000e+00
2.051971e-01      0.000000e+00      0.000000e+00
2.308468e-01      0.000000e+00      0.000000e+00
2.564964e-01      0.000000e+00      0.000000e+00
2.821460e-01      0.000000e+00      0.000000e+00
3.077957e-01      0.000000e+00      0.000000e+00
3.334453e-01      0.000000e+00      0.000000e+00
3.590949e-01      0.000000e+00      0.000000e+00
3.847446e-01      0.000000e+00      0.000000e+00
4.103942e-01      0.000000e+00      0.000000e+00
4.360439e-01      0.000000e+00      0.000000e+00
4.616935e-01      0.000000e+00      0.000000e+00
4.873431e-01      0.000000e+00      0.000000e+00
5.129928e-01      0.000000e+00      0.000000e+00
5.386424e-01      0.000000e+00      0.000000e+00
5.642921e-01      0.000000e+00      0.000000e+00
5.899417e-01      0.000000e+00      0.000000e+00
6.155913e-01      0.000000e+00      0.000000e+00
6.412410e-01      0.000000e+00      0.000000e+00
6.668906e-01      0.000000e+00      0.000000e+00
6.925403e-01      0.000000e+00      0.000000e+00
7.181899e-01      0.000000e+00      0.000000e+00
7.438395e-01      0.000000e+00      0.000000e+00
7.694892e-01      0.000000e+00      0.000000e+00
7.951388e-01      0.000000e+00      0.000000e+00
8.207885e-01      0.000000e+00      0.000000e+00
8.464381e-01      2.334275e-05      2.310814e-05
8.720877e-01      1.342564e-03      1.700089e-04
8.977374e-01      2.594197e-02      9.441451e-04
9.233870e-01      1.677461e-01      2.190069e-03
9.490367e-01      5.687762e-01      3.827810e-03
9.746863e-01      1.226092e+00      6.115527e-03
1.000336e+00      1.890694e+00      8.437243e-03
1.025986e+00      2.356320e+00      9.134087e-03
1.051635e+00      2.558238e+00      8.395913e-03
1.077285e+00      2.540897e+00      7.956173e-03
1.102934e+00      2.402938e+00      9.315929e-03
1.128584e+00      2.179551e+00      7.593795e-03
1.154234e+00      1.958543e+00      7.520971e-03
1.179883e+00      1.741685e+00      6.833341e-03
1.205533e+00      1.556616e+00      6.790337e-03
1.231183e+00      1.385375e+00      6.766116e-03
1.256832e+00      1.241384e+00      6.546755e-03
1.282482e+00      1.122711e+00      6.307390e-03
1.308132e+00      1.020435e+00      6.688001e-03
1.333781e+00      9.373429e-01      4.760589e-03
1.359431e+00      8.693830e-01      4.354920e-03
1.385081e+00      8.210708e-01      4.653243e-03
1.410730e+00      7.695540e-01      4.594162e-03
1.436380e+00      7.319971e-01      3.869612e-03
1.462029e+00      7.120478e-01      3.977751e-03
1.487679e+00      6.933043e-01      4.177238e-03
1.513329e+00      6.773182e-01      4.010970e-03
1.538978e+00      6.721214e-01      3.927813e-03
1.564628e+00      6.671441e-01      4.297490e-03
1.590278e+00      6.668573e-01      4.039123e-03
1.615927e+00      6.819361e-01      4.036313e-03
1.641577e+00      7.034873e-01      3.927473e-03
1.667227e+00      7.253067e-01      3.895360e-03
1.692876e+00      7.457018e-01      3.881432e-03
1.718526e+00      7.881760e-01      4.387266e-03
1.744175e+00      8.225902e-01      4.208328e-03
1.769825e+00      8.601122e-01      4.630904e-03
1.795475e+00      8.968855e-01      3.999071e-03
1.821124e+00      9.405570e-01      4.475862e-03
1.846774e+00      9.840817e-01      3.465961e-03
1.872424e+00      1.028183e+00      3.776030e-03
1.898073e+00      1.064622e+00      4.266863e-03
1.923723e+00      1.097046e+00      4.606385e-03
1.949373e+00      1.133711e+00      4.522173e-03
1.975022e+00      1.164517e+00      3.960808e-03
2.000672e+00      1.191602e+00      3.893093e-03
2.026321e+00      1.203253e+00      4.048403e-03
2.051971e+00      1.216044e+00      3.805413e-03
2.077621e+00      1.214198e+00      4.712826e-03
2.103270e+00      1.211704e+00      4.213577e-03
2.128920e+00      1.192928e+00      3.892215e-03
2.154570e+00      1.176132e+00      3.989760e-03
2.180219e+00      1.147434e+00      4.094305e-03
2.205869e+00      1.120227e+00      4.117274e-03
2.231519e+00      1.084364e+00      3.464372e-03
2.257168e+00      1.060349e+00      3.453307e-03
2.282818e+00      1.031873e+00      3.413710e-03
2.308468e+00      1.004467e+00      3.918440e-03
2.334117e+00      9.787858e-01      3.347351e-03
2.359767e+00      9.625988e-01      3.076197e-03
2.385416e+00      9.400937e-01      3.634889e-03
2.411066e+00      9.228976e-01      2.921896e-03
2.436716e+00      9.102425e-01      3.201347e-03
2.462365e+00      8.997731e-01      2.699560e-03
2.488015e+00      8.967554e-01      2.891856e-03
2.513665e+00      8.917542e-01      2.951584e-03
2.539314e+00      8.874317e-01      3.307110e-03
