#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.736741e+00      1.736741e+00      0.000000e+00
           2      1.732973e+00      1.734857e+00      1.332234e-03
           3      1.743893e+00      1.737869e+00      2.614759e-03
           4      1.777413e+00      1.747755e+00      8.783315e-03
           5      1.741869e+00      1.746578e+00      7.105088e-03
           6      1.758501e+00      1.748565e+00      6.192556e-03
           7      1.683864e+00      1.739322e+00      1.006985e-02
           8      1.728159e+00      1.737927e+00      8.907268e-03
           9      1.766009e+00      1.741047e+00      8.446416e-03
          10      1.721555e+00      1.739098e+00      7.823457e-03
          11      1.752482e+00      1.740314e+00      7.206227e-03
          12      1.719942e+00      1.738617e+00      6.802755e-03
          13      1.738199e+00      1.738584e+00      6.279542e-03
          14      1.740140e+00      1.738696e+00      5.831986e-03
          15      1.764133e+00      1.740391e+00      5.684391e-03
          16      1.726343e+00      1.739513e+00      5.396502e-03
          17      1.736623e+00      1.739343e+00      5.081739e-03
          18      1.748249e+00      1.739838e+00      4.823445e-03
          19      1.716998e+00      1.738636e+00      4.716996e-03
          20      1.735679e+00      1.738488e+00      4.483463e-03
          21      1.757413e+00      1.739389e+00      4.359594e-03
          22      1.753155e+00      1.740015e+00      4.206091e-03
          23      1.758645e+00      1.740825e+00      4.100469e-03
          24      1.735426e+00      1.740600e+00      3.935781e-03
          25      1.784347e+00      1.742350e+00      4.149153e-03
          26      1.761985e+00      1.743105e+00      4.057716e-03
          27      1.741106e+00      1.743031e+00      3.908106e-03
          28      1.754680e+00      1.743447e+00      3.790610e-03
          29      1.754883e+00      1.743841e+00      3.680354e-03
          30      1.775511e+00      1.744897e+00      3.705984e-03
          31      1.716242e+00      1.743973e+00      3.699918e-03
          32      1.736798e+00      1.743749e+00      3.591083e-03
          33      1.703815e+00      1.742538e+00      3.680503e-03
          34      1.735833e+00      1.742341e+00      3.577533e-03
          35      1.700874e+00      1.741156e+00      3.666259e-03
          36      1.751393e+00      1.741441e+00      3.575428e-03
          37      1.764669e+00      1.742069e+00      3.533478e-03
          38      1.732155e+00      1.741808e+00      3.450109e-03
          39      1.729708e+00      1.741497e+00      3.375566e-03
          40      1.742188e+00      1.741515e+00      3.291221e-03
          41      1.716917e+00      1.740915e+00      3.265169e-03
          42      1.744366e+00      1.740997e+00      3.188461e-03
          43      1.788148e+00      1.742093e+00      3.297481e-03
          44      1.748157e+00      1.742231e+00      3.225416e-03
          45      1.757717e+00      1.742575e+00      3.172045e-03
          46      1.710972e+00      1.741888e+00      3.176620e-03
          47      1.779214e+00      1.742682e+00      3.206767e-03
          48      1.784917e+00      1.743562e+00      3.258435e-03
          49      1.742399e+00      1.743539e+00      3.192023e-03
          50      1.750888e+00      1.743686e+00      3.131565e-03
