#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.388600e+00     -5.388600e+00      0.000000e+00
           2     -5.382347e+00     -5.385473e+00      2.210961e-03
           3     -5.394851e+00     -5.388599e+00      2.947314e-03
           4     -5.430628e+00     -5.399107e+00      9.364170e-03
           5     -5.390021e+00     -5.397289e+00      7.665633e-03
           6     -5.407174e+00     -5.398937e+00      6.562658e-03
           7     -5.333785e+00     -5.389629e+00      1.029046e-02
           8     -5.378216e+00     -5.388203e+00      9.102524e-03
           9     -5.417371e+00     -5.391444e+00      8.648859e-03
          10     -5.371803e+00     -5.389480e+00      8.003869e-03
          11     -5.402842e+00     -5.390694e+00      7.367848e-03
          12     -5.371604e+00     -5.389103e+00      6.923487e-03
          13     -5.389428e+00     -5.389128e+00      6.390956e-03
          14     -5.390159e+00     -5.389202e+00      5.934883e-03
          15     -5.414596e+00     -5.390895e+00      5.775631e-03
          16     -5.377127e+00     -5.390034e+00      5.478379e-03
          17     -5.385180e+00     -5.389749e+00      5.163558e-03
          18     -5.398712e+00     -5.390247e+00      4.900646e-03
          19     -5.366304e+00     -5.388987e+00      4.801997e-03
          20     -5.384901e+00     -5.388782e+00      4.566241e-03
          21     -5.406284e+00     -5.389616e+00      4.424204e-03
          22     -5.402005e+00     -5.390179e+00      4.258795e-03
          23     -5.408355e+00     -5.390969e+00      4.146303e-03
          24     -5.385598e+00     -5.390745e+00      3.979575e-03
          25     -5.435423e+00     -5.392533e+00      4.202546e-03
          26     -5.413194e+00     -5.393327e+00      4.115357e-03
          27     -5.390880e+00     -5.393237e+00      3.963934e-03
          28     -5.404962e+00     -5.393655e+00      3.844421e-03
          29     -5.406478e+00     -5.394098e+00      3.737195e-03
          30     -5.426249e+00     -5.395169e+00      3.763151e-03
          31     -5.366301e+00     -5.394238e+00      3.755215e-03
          32     -5.387720e+00     -5.394034e+00      3.643384e-03
          33     -5.355078e+00     -5.392854e+00      3.719311e-03
          34     -5.385372e+00     -5.392634e+00      3.616423e-03
          35     -5.350193e+00     -5.391421e+00      3.710822e-03
          36     -5.403695e+00     -5.391762e+00      3.623372e-03
          37     -5.415600e+00     -5.392406e+00      3.582265e-03
          38     -5.381328e+00     -5.392115e+00      3.499838e-03
          39     -5.380575e+00     -5.391819e+00      3.422584e-03
          40     -5.390008e+00     -5.391774e+00      3.337319e-03
          41     -5.368361e+00     -5.391203e+00      3.304416e-03
          42     -5.393444e+00     -5.391256e+00      3.226171e-03
          43     -5.440447e+00     -5.392400e+00      3.347825e-03
          44     -5.396343e+00     -5.392490e+00      3.272937e-03
          45     -5.408391e+00     -5.392843e+00      3.219225e-03
          46     -5.360706e+00     -5.392144e+00      3.224160e-03
          47     -5.427987e+00     -5.392907e+00      3.244495e-03
          48     -5.435837e+00     -5.393801e+00      3.297868e-03
          49     -5.392904e+00     -5.393783e+00      3.230615e-03
          50     -5.403976e+00     -5.393987e+00      3.172428e-03
