#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      1.297152e+00      1.297152e+00      0.000000e+00
           2      1.267996e+00      1.282574e+00      1.030841e-02
           3      1.185964e+00      1.250371e+00      2.717714e-02
           4      1.148887e+00      1.225000e+00      2.997031e-02
           5      1.388915e+00      1.257783e+00      3.787670e-02
           6      1.354012e+00      1.273821e+00      3.479414e-02
           7      1.217077e+00      1.265715e+00      3.075336e-02
           8      1.232748e+00      1.261594e+00      2.718387e-02
           9      1.315547e+00      1.267589e+00      2.481565e-02
          10      1.483977e+00      1.289228e+00      3.033525e-02
          11      1.286584e+00      1.288987e+00      2.757846e-02
          12      1.321002e+00      1.291655e+00      2.540897e-02
          13      1.334827e+00      1.294976e+00      2.367046e-02
          14      1.222228e+00      1.289780e+00      2.254286e-02
          15      1.501713e+00      1.303909e+00      2.507986e-02
          16      1.293236e+00      1.303242e+00      2.352124e-02
          17      1.290161e+00      1.302472e+00      2.215022e-02
          18      1.306857e+00      1.302716e+00      2.092099e-02
          19      1.467043e+00      1.311365e+00      2.153352e-02
          20      1.345522e+00      1.313073e+00      2.052446e-02
          21      1.203665e+00      1.307863e+00      2.019751e-02
          22      1.239206e+00      1.304742e+00      1.951905e-02
          23      1.380388e+00      1.308031e+00      1.894546e-02
          24      1.534610e+00      1.317472e+00      2.037296e-02
          25      1.232513e+00      1.314073e+00      1.983945e-02
          26      1.360294e+00      1.315851e+00      1.915588e-02
          27      1.348193e+00      1.317049e+00      1.848382e-02
          28      1.268696e+00      1.315322e+00      1.790417e-02
          29      1.407441e+00      1.318499e+00      1.756631e-02
          30      1.068898e+00      1.310179e+00      1.884838e-02
          31      1.441104e+00      1.314402e+00      1.870756e-02
          32      1.202465e+00      1.310904e+00      1.844709e-02
          33      1.235412e+00      1.308616e+00      1.802937e-02
          34      1.393540e+00      1.311114e+00      1.767126e-02
          35      1.373524e+00      1.312897e+00      1.725610e-02
          36      1.343696e+00      1.313753e+00      1.679796e-02
          37      1.351098e+00      1.314762e+00      1.637426e-02
          38      1.280269e+00      1.313854e+00      1.596850e-02
          39      1.276943e+00      1.312908e+00      1.558707e-02
          40      1.293806e+00      1.312430e+00      1.520471e-02
          41      1.198032e+00      1.309640e+00      1.508770e-02
          42      1.190999e+00      1.306815e+00      1.499057e-02
          43      1.282206e+00      1.306243e+00      1.465288e-02
          44      1.114367e+00      1.301882e+00      1.495469e-02
          45      1.136080e+00      1.298198e+00      1.506941e-02
          46      1.297135e+00      1.298175e+00      1.474184e-02
          47      1.179176e+00      1.295643e+00      1.464399e-02
          48      1.534881e+00      1.300627e+00      1.516338e-02
          49      1.437668e+00      1.303424e+00      1.510965e-02
          50      1.340014e+00      1.304155e+00      1.482516e-02
