#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.157827e+00      1.157827e+00      0.000000e+00
           2      1.155315e+00      1.156571e+00      8.881560e-04
           3      1.162595e+00      1.158579e+00      1.743173e-03
           4      1.184942e+00      1.165170e+00      5.855543e-03
           5      1.161246e+00      1.164385e+00      4.736725e-03
           6      1.172334e+00      1.165710e+00      4.128370e-03
           7      1.122576e+00      1.159548e+00      6.713231e-03
           8      1.152106e+00      1.158618e+00      5.938178e-03
           9      1.177339e+00      1.160698e+00      5.630944e-03
          10      1.147703e+00      1.159398e+00      5.215638e-03
          11      1.168321e+00      1.160210e+00      4.804152e-03
          12      1.146628e+00      1.159078e+00      4.535170e-03
          13      1.158799e+00      1.159056e+00      4.186361e-03
          14      1.160093e+00      1.159130e+00      3.887990e-03
          15      1.176088e+00      1.160261e+00      3.789594e-03
          16      1.150895e+00      1.159676e+00      3.597668e-03
          17      1.157749e+00      1.159562e+00      3.387826e-03
          18      1.165499e+00      1.159892e+00      3.215630e-03
          19      1.144665e+00      1.159091e+00      3.144664e-03
          20      1.157119e+00      1.158992e+00      2.988975e-03
          21      1.171609e+00      1.159593e+00      2.906396e-03
          22      1.168770e+00      1.160010e+00      2.804061e-03
          23      1.172430e+00      1.160550e+00      2.733646e-03
          24      1.156951e+00      1.160400e+00      2.623854e-03
          25      1.189564e+00      1.161567e+00      2.766102e-03
          26      1.174657e+00      1.162070e+00      2.705144e-03
          27      1.160737e+00      1.162021e+00      2.605404e-03
          28      1.169787e+00      1.162298e+00      2.527074e-03
          29      1.169922e+00      1.162561e+00      2.453570e-03
          30      1.183674e+00      1.163265e+00      2.470656e-03
          31      1.144161e+00      1.162648e+00      2.466612e-03
          32      1.157865e+00      1.162499e+00      2.394055e-03
          33      1.135877e+00      1.161692e+00      2.453668e-03
          34      1.157222e+00      1.161561e+00      2.385022e-03
          35      1.133916e+00      1.160771e+00      2.444173e-03
          36      1.167595e+00      1.160960e+00      2.383619e-03
          37      1.176446e+00      1.161379e+00      2.355652e-03
          38      1.154770e+00      1.161205e+00      2.300073e-03
          39      1.153138e+00      1.160998e+00      2.250377e-03
          40      1.161458e+00      1.161010e+00      2.194147e-03
          41      1.144611e+00      1.160610e+00      2.176779e-03
          42      1.162911e+00      1.160665e+00      2.125640e-03
          43      1.192099e+00      1.161396e+00      2.198321e-03
          44      1.165438e+00      1.161487e+00      2.150278e-03
          45      1.171811e+00      1.161717e+00      2.114697e-03
          46      1.140648e+00      1.161259e+00      2.117747e-03
          47      1.186143e+00      1.161788e+00      2.137844e-03
          48      1.189944e+00      1.162375e+00      2.172290e-03
          49      1.161599e+00      1.162359e+00      2.128016e-03
          50      1.167259e+00      1.162457e+00      2.087710e-03
