#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.795726e+00     -3.795726e+00      0.000000e+00
           2     -3.796869e+00     -3.796297e+00      4.040077e-04
           3     -3.797430e+00     -3.796675e+00      4.094678e-04
           4     -3.798372e+00     -3.797099e+00      4.788673e-04
           5     -3.798147e+00     -3.797309e+00      4.264670e-04
           6     -3.795632e+00     -3.797029e+00      4.375044e-04
           7     -3.797699e+00     -3.797125e+00      3.853177e-04
           8     -3.797302e+00     -3.797147e+00      3.377853e-04
           9     -3.796467e+00     -3.797071e+00      3.085742e-04
          10     -3.796179e+00     -3.796982e+00      2.903330e-04
          11     -3.794935e+00     -3.796796e+00      3.180375e-04
          12     -3.796998e+00     -3.796813e+00      2.919802e-04
          13     -3.797027e+00     -3.796829e+00      2.699835e-04
          14     -3.795854e+00     -3.796760e+00      2.595307e-04
          15     -3.796136e+00     -3.796718e+00      2.455373e-04
          16     -3.796900e+00     -3.796730e+00      2.304548e-04
          17     -3.796781e+00     -3.796733e+00      2.169189e-04
          18     -3.797630e+00     -3.796782e+00      2.105205e-04
          19     -3.796861e+00     -3.796787e+00      1.994806e-04
          20     -3.796487e+00     -3.796772e+00      1.900677e-04
          21     -3.795941e+00     -3.796732e+00      1.850904e-04
          22     -3.799063e+00     -3.796838e+00      2.047748e-04
          23     -3.796488e+00     -3.796823e+00      1.964369e-04
          24     -3.796730e+00     -3.796819e+00      1.882900e-04
          25     -3.798751e+00     -3.796896e+00      1.959791e-04
          26     -3.796719e+00     -3.796889e+00      1.885605e-04
          27     -3.796617e+00     -3.796879e+00      1.818457e-04
          28     -3.796526e+00     -3.796867e+00      1.757879e-04
          29     -3.795120e+00     -3.796806e+00      1.797466e-04
          30     -3.798779e+00     -3.796872e+00      1.853886e-04
          31     -3.797174e+00     -3.796882e+00      1.796641e-04
          32     -3.797574e+00     -3.796904e+00      1.753460e-04
          33     -3.794844e+00     -3.796841e+00      1.807964e-04
          34     -3.795931e+00     -3.796814e+00      1.774494e-04
          35     -3.795727e+00     -3.796783e+00      1.750761e-04
          36     -3.797746e+00     -3.796810e+00      1.722436e-04
          37     -3.795563e+00     -3.796776e+00      1.708547e-04
          38     -3.797579e+00     -3.796797e+00      1.676584e-04
          39     -3.797193e+00     -3.796808e+00      1.636664e-04
          40     -3.797328e+00     -3.796821e+00      1.600914e-04
          41     -3.799206e+00     -3.796879e+00      1.664268e-04
          42     -3.796500e+00     -3.796870e+00      1.627084e-04
          43     -3.797958e+00     -3.796895e+00      1.608811e-04
          44     -3.799069e+00     -3.796945e+00      1.646379e-04
          45     -3.797967e+00     -3.796967e+00      1.625408e-04
          46     -3.798284e+00     -3.796996e+00      1.615096e-04
          47     -3.798070e+00     -3.797019e+00      1.596807e-04
          48     -3.796495e+00     -3.797008e+00      1.567265e-04
          49     -3.795542e+00     -3.796978e+00      1.563586e-04
          50     -3.797381e+00     -3.796986e+00      1.534389e-04
