# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.306643e-02      0.000000e+00      0.000000e+00
4.613286e-02      0.000000e+00      0.000000e+00
6.919929e-02      0.000000e+00      0.000000e+00
9.226572e-02      0.000000e+00      0.000000e+00
1.153321e-01      0.000000e+00      0.000000e+00
1.383986e-01      0.000000e+00      0.000000e+00
1.614650e-01      0.000000e+00      0.000000e+00
1.845314e-01      0.000000e+00      0.000000e+00
2.075979e-01      0.000000e+00      0.000000e+00
2.306643e-01      0.000000e+00      0.000000e+00
2.537307e-01      0.000000e+00      0.000000e+00
2.767971e-01      0.000000e+00      0.000000e+00
2.998636e-01      0.000000e+00      0.000000e+00
3.229300e-01      0.000000e+00      0.000000e+00
3.459964e-01      0.000000e+00      0.000000e+00
3.690629e-01      0.000000e+00      0.000000e+00
3.921293e-01      0.000000e+00      0.000000e+00
4.151957e-01      0.000000e+00      0.000000e+00
4.382621e-01      0.000000e+00      0.000000e+00
4.613286e-01      0.000000e+00      0.000000e+00
4.843950e-01      0.000000e+00      0.000000e+00
5.074614e-01      0.000000e+00      0.000000e+00
5.305279e-01      0.000000e+00      0.000000e+00
5.535943e-01      0.000000e+00      0.000000e+00
5.766607e-01      0.000000e+00      0.000000e+00
5.997271e-01      0.000000e+00      0.000000e+00
6.227936e-01      0.000000e+00      0.000000e+00
6.458600e-01      0.000000e+00      0.000000e+00
6.689264e-01      0.000000e+00      0.000000e+00
6.919929e-01      0.000000e+00      0.000000e+00
7.150593e-01      0.000000e+00      0.000000e+00
7.381257e-01      0.000000e+00      0.000000e+00
7.611922e-01      0.000000e+00      0.000000e+00
7.842586e-01      0.000000e+00      0.000000e+00
8.073250e-01      0.000000e+00      0.000000e+00
8.303914e-01      0.000000e+00      0.000000e+00
8.534579e-01      0.000000e+00      0.000000e+00
8.765243e-01      9.499625e-05      4.061713e-05
8.995907e-01      4.217144e-03      2.981663e-04
9.226572e-01      5.329774e-02      1.065291e-03
9.457236e-01      3.035873e-01      2.437842e-03
9.687900e-01      1.035274e+00      4.842942e-03
9.918564e-01      2.288006e+00      6.923419e-03
1.014923e+00      3.639760e+00      6.933527e-03
1.037989e+00      4.581046e+00      8.857915e-03
1.061056e+00      4.845246e+00      9.464424e-03
1.084122e+00      4.449312e+00      9.028200e-03
1.107189e+00      3.626886e+00      9.746612e-03
1.130255e+00      2.675436e+00      7.846417e-03
1.153321e+00      1.825066e+00      6.148810e-03
1.176388e+00      1.148830e+00      4.669741e-03
1.199454e+00      6.744854e-01      3.936424e-03
1.222521e+00      3.672329e-01      3.194846e-03
1.245587e+00      1.852998e-01      2.350782e-03
1.268654e+00      9.213718e-02      1.577700e-03
1.291720e+00      5.227940e-02      1.090217e-03
1.314786e+00      4.362616e-02      1.241680e-03
1.337853e+00      6.393199e-02      1.670200e-03
1.360919e+00      1.104285e-01      1.780531e-03
1.383986e+00      1.893058e-01      2.197340e-03
1.407052e+00      3.033586e-01      2.768845e-03
1.430119e+00      4.615868e-01      3.262473e-03
1.453185e+00      6.255096e-01      2.665227e-03
1.476251e+00      7.950379e-01      3.291706e-03
1.499318e+00      9.117863e-01      5.446537e-03
1.522384e+00      9.568651e-01      4.967584e-03
1.545451e+00      9.139219e-01      4.379670e-03
1.568517e+00      8.073241e-01      3.523091e-03
1.591584e+00      6.463519e-01      2.573189e-03
1.614650e+00      4.669353e-01      2.468417e-03
1.637716e+00      3.213768e-01      2.552617e-03
1.660783e+00      2.251649e-01      2.341519e-03
1.683849e+00      2.023362e-01      2.621734e-03
1.706916e+00      2.678883e-01      2.527833e-03
1.729982e+00      4.464238e-01      2.933838e-03
1.753049e+00      7.641025e-01      3.651580e-03
1.776115e+00      1.211159e+00      3.385504e-03
1.799181e+00      1.725970e+00      3.092162e-03
1.822248e+00      2.230181e+00      4.242121e-03
1.845314e+00      2.579138e+00      6.253184e-03
1.868381e+00      2.669449e+00      6.701617e-03
1.891447e+00      2.527722e+00      5.635844e-03
1.914514e+00      2.165586e+00      4.892045e-03
1.937580e+00      1.687160e+00      3.481838e-03
1.960646e+00      1.213939e+00      2.829769e-03
1.983713e+00      8.177315e-01      3.073083e-03
2.006779e+00      5.598795e-01      2.884138e-03
2.029846e+00      4.551606e-01      3.320585e-03
2.052912e+00      4.807902e-01      3.245269e-03
2.075979e+00      5.997820e-01      2.316031e-03
2.099045e+00      7.574376e-01      2.144594e-03
2.122111e+00      9.025939e-01      2.781973e-03
2.145178e+00      9.901948e-01      2.944422e-03
2.168244e+00      9.924392e-01      2.939401e-03
2.191311e+00      9.129256e-01      3.046887e-03
2.214377e+00      7.845126e-01      2.755194e-03
2.237444e+00      6.623791e-01      2.484749e-03
2.260510e+00      5.855252e-01      3.393315e-03
2.283576e+00      5.879792e-01      3.727898e-03
