#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.201654e+00      1.201654e+00      0.000000e+00
           2      1.205601e+00      1.203628e+00      1.395669e-03
           3      1.197961e+00      1.201739e+00      1.801100e-03
           4      1.206450e+00      1.202917e+00      1.692623e-03
           5      1.195884e+00      1.201510e+00      1.848251e-03
           6      1.200752e+00      1.201384e+00      1.544517e-03
           7      1.206450e+00      1.202108e+00      1.483797e-03
           8      1.201431e+00      1.202023e+00      1.300729e-03
           9      1.203073e+00      1.202140e+00      1.161419e-03
          10      1.200414e+00      1.201967e+00      1.058024e-03
          11      1.193760e+00      1.201221e+00      1.196338e-03
          12      1.200369e+00      1.201150e+00      1.098747e-03
          13      1.200234e+00      1.201079e+00      1.016486e-03
          14      1.204023e+00      1.201290e+00      9.653786e-04
          15      1.202234e+00      1.201353e+00      9.030707e-04
          16      1.200070e+00      1.201273e+00      8.501782e-04
          17      1.198891e+00      1.201132e+00      8.116295e-04
          18      1.203810e+00      1.201281e+00      7.800517e-04
          19      1.203775e+00      1.201412e+00      7.499566e-04
          20      1.199256e+00      1.201305e+00      7.201683e-04
          21      1.208237e+00      1.201635e+00      7.577725e-04
          22      1.193086e+00      1.201246e+00      8.168985e-04
          23      1.203576e+00      1.201347e+00      7.876360e-04
          24      1.204446e+00      1.201477e+00      7.653227e-04
          25      1.202886e+00      1.201533e+00      7.367843e-04
          26      1.198985e+00      1.201435e+00      7.149342e-04
          27      1.199090e+00      1.201348e+00      6.937081e-04
          28      1.201744e+00      1.201362e+00      6.690771e-04
          29      1.201500e+00      1.201367e+00      6.460224e-04
          30      1.197728e+00      1.201246e+00      6.357764e-04
          31      1.197435e+00      1.201123e+00      6.270395e-04
          32      1.199539e+00      1.201073e+00      6.093946e-04
          33      1.207224e+00      1.201260e+00      6.187745e-04
          34      1.202395e+00      1.201293e+00      6.014760e-04
          35      1.198520e+00      1.201214e+00      5.894845e-04
          36      1.195599e+00      1.201058e+00      5.933875e-04
          37      1.191199e+00      1.200791e+00      6.343646e-04
          38      1.204908e+00      1.200900e+00      6.268546e-04
          39      1.197693e+00      1.200818e+00      6.161513e-04
          40      1.194872e+00      1.200669e+00      6.184159e-04
          41      1.205303e+00      1.200782e+00      6.135738e-04
          42      1.206979e+00      1.200929e+00      6.164531e-04
          43      1.200692e+00      1.200924e+00      6.021417e-04
          44      1.201927e+00      1.200947e+00      5.888879e-04
          45      1.202117e+00      1.200973e+00      5.763757e-04
          46      1.198555e+00      1.200920e+00      5.662380e-04
          47      1.201727e+00      1.200937e+00      5.544507e-04
          48      1.205017e+00      1.201022e+00      5.493754e-04
          49      1.198872e+00      1.200978e+00      5.399136e-04
          50      1.202528e+00      1.201009e+00      5.300036e-04
