#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.487880e+00     -7.487880e+00      0.000000e+00
           2     -7.483631e+00     -7.485755e+00      1.502132e-03
           3     -7.479559e+00     -7.483690e+00      1.961445e-03
           4     -7.482492e+00     -7.483390e+00      1.493753e-03
           5     -7.489606e+00     -7.484634e+00      1.632306e-03
           6     -7.477164e+00     -7.483389e+00      1.772515e-03
           7     -7.481229e+00     -7.483080e+00      1.545912e-03
           8     -7.486198e+00     -7.483470e+00      1.400944e-03
           9     -7.484692e+00     -7.483606e+00      1.251846e-03
          10     -7.477109e+00     -7.482956e+00      1.284215e-03
          11     -7.484728e+00     -7.483117e+00      1.177528e-03
          12     -7.487965e+00     -7.483521e+00      1.146602e-03
          13     -7.491790e+00     -7.484157e+00      1.222158e-03
          14     -7.490537e+00     -7.484613e+00      1.216853e-03
          15     -7.483911e+00     -7.484566e+00      1.136628e-03
          16     -7.482080e+00     -7.484411e+00      1.076161e-03
          17     -7.488164e+00     -7.484632e+00      1.035259e-03
          18     -7.485362e+00     -7.484672e+00      9.785391e-04
          19     -7.480039e+00     -7.484428e+00      9.569361e-04
          20     -7.482259e+00     -7.484320e+00      9.152181e-04
          21     -7.487396e+00     -7.484466e+00      8.832804e-04
          22     -7.491091e+00     -7.484767e+00      8.929800e-04
          23     -7.491244e+00     -7.485049e+00      8.974589e-04
          24     -7.484019e+00     -7.485006e+00      8.610903e-04
          25     -7.484976e+00     -7.485005e+00      8.266476e-04
          26     -7.484187e+00     -7.484973e+00      7.954523e-04
          27     -7.487036e+00     -7.485050e+00      7.696513e-04
          28     -7.485940e+00     -7.485082e+00      7.428203e-04
          29     -7.489985e+00     -7.485251e+00      7.361965e-04
          30     -7.487712e+00     -7.485333e+00      7.162147e-04
          31     -7.478664e+00     -7.485118e+00      7.246975e-04
          32     -7.486354e+00     -7.485156e+00      7.030792e-04
          33     -7.489767e+00     -7.485296e+00      6.955212e-04
          34     -7.485456e+00     -7.485301e+00      6.750806e-04
          35     -7.483651e+00     -7.485253e+00      6.574368e-04
          36     -7.489341e+00     -7.485367e+00      6.489049e-04
          37     -7.486438e+00     -7.485396e+00      6.320121e-04
          38     -7.488091e+00     -7.485467e+00      6.193476e-04
          39     -7.481470e+00     -7.485364e+00      6.118862e-04
          40     -7.486316e+00     -7.485388e+00      5.970509e-04
          41     -7.481918e+00     -7.485304e+00      5.884576e-04
          42     -7.483354e+00     -7.485257e+00      5.762747e-04
          43     -7.485806e+00     -7.485270e+00      5.630143e-04
          44     -7.482929e+00     -7.485217e+00      5.527257e-04
          45     -7.492953e+00     -7.485389e+00      5.665512e-04
          46     -7.487792e+00     -7.485441e+00      5.566385e-04
          47     -7.478556e+00     -7.485294e+00      5.637380e-04
          48     -7.482692e+00     -7.485240e+00      5.545944e-04
          49     -7.483341e+00     -7.485201e+00      5.446284e-04
          50     -7.476697e+00     -7.485031e+00      5.596634e-04
