#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      8.127056e+00      8.127056e+00      0.000000e+00
           2      8.130553e+00      8.128805e+00      1.236505e-03
           3      8.145236e+00      8.134282e+00      4.547469e-03
           4      8.153349e+00      8.139049e+00      5.354851e-03
           5      8.128652e+00      8.136969e+00      4.670204e-03
           6      8.179472e+00      8.144053e+00      7.547365e-03
           7      8.160261e+00      8.146369e+00      6.815107e-03
           8      8.145928e+00      8.146314e+00      5.963441e-03
           9      8.142090e+00      8.145844e+00      5.319272e-03
          10      8.161046e+00      8.147364e+00      4.999857e-03
          11      8.130394e+00      8.145822e+00      4.777416e-03
          12      8.108273e+00      8.142693e+00      5.305947e-03
          13      8.110473e+00      8.140214e+00      5.445958e-03
          14      8.109022e+00      8.137986e+00      5.493851e-03
          15      8.152880e+00      8.138979e+00      5.216545e-03
          16      8.158180e+00      8.140179e+00      5.026652e-03
          17      8.111742e+00      8.138506e+00      5.001558e-03
          18      8.124414e+00      8.137723e+00      4.784574e-03
          19      8.150420e+00      8.138392e+00      4.579178e-03
          20      8.126842e+00      8.137814e+00      4.386483e-03
          21      8.114010e+00      8.136681e+00      4.321586e-03
          22      8.109318e+00      8.135437e+00      4.300399e-03
          23      8.126059e+00      8.135029e+00      4.132711e-03
          24      8.165038e+00      8.136280e+00      4.145350e-03
          25      8.129271e+00      8.135999e+00      3.989003e-03
          26      8.137421e+00      8.136054e+00      3.835954e-03
          27      8.138658e+00      8.136150e+00      3.695094e-03
          28      8.132104e+00      8.136006e+00      3.565952e-03
          29      8.105933e+00      8.134969e+00      3.590607e-03
          30      8.138353e+00      8.135082e+00      3.472692e-03
          31      8.169165e+00      8.136181e+00      3.530426e-03
          32      8.104807e+00      8.135201e+00      3.553637e-03
          33      8.130828e+00      8.135068e+00      3.448420e-03
          34      8.129129e+00      8.134893e+00      3.351418e-03
          35      8.130011e+00      8.134754e+00      3.258565e-03
          36      8.121471e+00      8.134385e+00      3.188872e-03
          37      8.112365e+00      8.133790e+00      3.157733e-03
          38      8.123415e+00      8.133517e+00      3.086416e-03
          39      8.138820e+00      8.133653e+00      3.010272e-03
          40      8.130288e+00      8.133569e+00      2.936190e-03
          41      8.148778e+00      8.133940e+00      2.887916e-03
          42      8.139299e+00      8.134067e+00      2.821973e-03
          43      8.134675e+00      8.134081e+00      2.756381e-03
          44      8.150198e+00      8.134448e+00      2.717965e-03
          45      8.099285e+00      8.133666e+00      2.767607e-03
          46      8.124019e+00      8.133457e+00      2.715376e-03
          47      8.166667e+00      8.134163e+00      2.748001e-03
          48      8.134299e+00      8.134166e+00      2.690752e-03
          49      8.140141e+00      8.134288e+00      2.638601e-03
          50      8.154469e+00      8.134692e+00      2.616519e-03
