#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      8.304353e-01      8.304353e-01      0.000000e+00
           2      8.286759e-01      8.295556e-01      6.220521e-04
           3      8.259992e-01      8.283702e-01      1.053022e-03
           4      8.276277e-01      8.281845e-01      8.059590e-04
           5      8.320886e-01      8.289654e-01      9.505108e-04
           6      8.241400e-01      8.281611e-01      1.079996e-03
           7      8.270984e-01      8.280093e-01      9.363204e-04
           8      8.295961e-01      8.282077e-01      8.400256e-04
           9      8.294146e-01      8.283418e-01      7.573179e-04
          10      8.241373e-01      8.279213e-01      7.897181e-04
          11      8.288024e-01      8.280014e-01      7.219761e-04
          12      8.313531e-01      8.282807e-01      7.137966e-04
          13      8.333723e-01      8.286724e-01      7.587711e-04
          14      8.323044e-01      8.289318e-01      7.476091e-04
          15      8.285009e-01      8.289031e-01      6.983201e-04
          16      8.273485e-01      8.288059e-01      6.614004e-04
          17      8.309910e-01      8.289345e-01      6.348604e-04
          18      8.296192e-01      8.289725e-01      6.007289e-04
          19      8.259306e-01      8.288124e-01      5.900607e-04
          20      8.273553e-01      8.287395e-01      5.650374e-04
          21      8.305195e-01      8.288243e-01      5.444514e-04
          22      8.331078e-01      8.290190e-01      5.534243e-04
          23      8.321994e-01      8.291573e-01      5.463640e-04
          24      8.277868e-01      8.291002e-01      5.265743e-04
          25      8.292892e-01      8.291077e-01      5.055656e-04
          26      8.284882e-01      8.290839e-01      4.866821e-04
          27      8.304302e-01      8.291338e-01      4.712044e-04
          28      8.287867e-01      8.291214e-01      4.545386e-04
          29      8.322928e-01      8.292307e-01      4.518290e-04
          30      8.305713e-01      8.292754e-01      4.389721e-04
          31      8.251355e-01      8.291419e-01      4.446619e-04
          32      8.304843e-01      8.291838e-01      4.327405e-04
          33      8.322479e-01      8.292767e-01      4.294728e-04
          34      8.292756e-01      8.292766e-01      4.168413e-04
          35      8.288675e-01      8.292650e-01      4.050954e-04
          36      8.316581e-01      8.293314e-01      3.992599e-04
          37      8.306570e-01      8.293673e-01      3.900730e-04
          38      8.309249e-01      8.294083e-01      3.819557e-04
          39      8.271715e-01      8.293509e-01      3.764433e-04
          40      8.301190e-01      8.293701e-01      3.675216e-04
          41      8.271459e-01      8.293159e-01      3.625392e-04
          42      8.284237e-01      8.292946e-01      3.545291e-04
          43      8.300671e-01      8.293126e-01      3.467391e-04
          44      8.276245e-01      8.292742e-01      3.409744e-04
          45      8.336284e-01      8.293710e-01      3.468549e-04
          46      8.305913e-01      8.293975e-01      3.403275e-04
          47      8.250586e-01      8.293052e-01      3.453805e-04
          48      8.284952e-01      8.292883e-01      3.385971e-04
          49      8.283529e-01      8.292692e-01      3.322247e-04
          50      8.239105e-01      8.291620e-01      3.424314e-04
